rule_id,category,category_support,category_positive,category_negative,category_baseline,category_effect_median,category_effect_low_95,category_effect_high_95,category_effect_sd,category_shrinkage_weight,category_effect_shrunk,category_support_eligible,category_discovery_class,validation_category_support,validation_category_positive,validation_category_negative,validation_category_baseline,validation_category_effect_median,validation_category_effect_low_95,validation_category_effect_high_95,validation_category_effect_sd,category_registry_coverage
rule_2927e486f6832204,Хобби и творчество,24.0,0.0,24.0,0.4642241379310345,-4.535969178199249,-10.546158064886285,-2.0946321096761498,2.2245668583256757,0.0,-1.4333229819603244,True,NEGATIVE,1.0,0.0,1.0,0.42151162790697677,-1.383514539276514,-7.4168950099096165,2.0352681074380055,2.3822506766053664,BOTH
rule_2927e486f6832204,Электроника,57.0,0.0,57.0,0.17328234624865685,-4.034441122155489,-9.924931028431411,-1.5366536353331037,2.2364553490064663,0.0,-1.4333229819603244,True,NEGATIVE,3.0,0.0,3.0,0.1408839779005525,-0.8354874112418937,-6.9220721715848255,2.008613487325707,2.2710037458853316,BOTH
rule_3dafe3e882f84fb0,Красота и гигиена,73.0,0.0,73.0,0.3639698458639025,-5.209314185715604,-11.180111107544041,-2.7524928647691573,2.233289155112681,0.0,-5.710554740516514,True,NEGATIVE,5.0,1.0,4.0,0.347682119205298,-0.6378778443933018,-3.1912479407258556,1.1826066999807534,1.1042320952468847,BOTH
rule_4027fb60fec7ff28,Бытовая химия,99.0,31.0,68.0,0.4694687020865276,-0.6563437583490039,-1.1015586832942288,-0.2388709565485026,0.219924923169279,0.0,-0.6266052508355171,True,NEGATIVE,5.0,2.0,3.0,0.434640522875817,-0.12339513166424787,-2.048842431834792,1.6160270760085813,0.9308191932802352,BOTH
rule_43e773fb47a2bb7c,Канцелярские товары,24.0,0.0,24.0,0.34019692635220544,-4.021185871923043,-10.251898127659183,-1.5775357906798186,2.2294115030815305,0.0,-4.710395220870719,True,NEGATIVE,2.0,0.0,2.0,0.3235294117647059,-1.5309799490885863,-7.8574838802491165,1.4025543235332627,2.3447789200101217,BOTH
rule_6571ad3b5ba7aa38,Музыкальные инструменты,20.0,1.0,19.0,0.2219675833665471,-1.549649074225717,-4.0165759297381305,-0.039165314117528154,1.017041700637854,0.0,-1.6577493348858376,True,NEGATIVE,4.0,0.0,4.0,0.19476744186046513,-1.4302809189164407,-7.400070779482553,1.304118568112241,2.254274055401569,BOTH
rule_6781877044ead9dd,Аптека,368.0,3.0,365.0,0.07272669706180344,-2.2037251722078057,-3.5246616539935296,-1.2944691756908726,0.5766935845163814,0.0,-2.2576059577090843,True,NEGATIVE,14.0,1.0,13.0,0.12732919254658384,-0.4910832824350214,-2.9699511073257154,1.109456754166267,1.0431315983286669,BOTH
rule_755fccc70551246d,Строительство и ремонт,38.0,0.0,38.0,0.21627665780773966,-3.8702481980409766,-10.318281169788188,-1.445237510138688,2.2325614174852224,0.01719049127094567,-2.2528462674685708,True,NEGATIVE,,,,,,,,,DISCOVERY_ONLY
rule_755fccc70551246d,Хобби и творчество,38.0,1.0,37.0,0.4642241379310345,-3.303655660124617,-5.710364619621722,-1.8763585548457684,0.9960234030662456,0.08078039307642423,-2.3117261041632693,True,NEGATIVE,3.0,0.0,3.0,0.42151162790697677,-2.299601422309596,-8.914625122216993,0.5269832255569458,2.4150294844747306,BOTH
rule_755fccc70551246d,Электроника,81.0,4.0,77.0,0.17328234624865685,-1.3535429688889442,-2.4854984907249356,-0.5043311337305754,0.5127588029881622,0.24901727040247812,-2.007658720227993,True,NEGATIVE,1.0,0.0,1.0,0.1408839779005525,0.2064454784329539,-5.677003967380958,3.612690860135556,2.376285629001407,BOTH
rule_7cf1ef1fdf525008,Красота и гигиена,37.0,7.0,30.0,0.3639698458639025,-0.8802013340805672,-1.793414662965841,-0.12463888504517603,0.42341807682253474,0.4493591784073534,-0.8495876414880538,True,NEGATIVE,4.0,0.0,4.0,0.347682119205298,-2.2787111270979583,-8.455121587658587,0.49238775730832723,2.288121158026074,BOTH
rule_7cf1ef1fdf525008,Спорт и отдых,26.0,1.0,25.0,0.25957657955673175,-2.0157976625500673,-4.413843474231163,-0.5498513691351409,0.9881207825836614,0.13031800279812217,-0.9798387199836056,True,NEGATIVE,1.0,0.0,1.0,0.26878612716763006,-0.6291433119640766,-6.863968615787537,2.8459294047521846,2.4540993132469784,BOTH
rule_7e16fc9f13e7410f,Аптека,324.0,12.0,312.0,0.07272669706180344,-0.6943707624736208,-1.329799163599893,-0.16498525804298111,0.2988024366511109,0.0,-0.7057329829089606,True,NEGATIVE,16.0,1.0,15.0,0.12732919254658384,-0.6095922490105821,-3.0860048276737864,0.9733992702293645,1.0395140595086616,BOTH
rule_8066b3533bb1cfe1,Галантерея и аксессуары,31.0,1.0,30.0,0.16807399767951528,-1.6096302292886469,-4.045347441211468,-0.20312649199038227,0.9856179915465858,0.0,-2.117313115890778,True,NEGATIVE,1.0,0.0,1.0,0.17405063291139242,-0.040771488993983085,-6.148128045413291,3.39350514815568,2.3832138362930197,BOTH
