rule_id,concept,category,pair_id,human_label,semantic_fact_count,value_a,value_b,title_a,title_b
rule_2927e486f6832204,design_pattern,Хобби и творчество,rp_6eecc494a75e51789ddfbb0e,0.0,1,"{""raw_value"": ""розовый сад"", ""normalized_value"": ""розовый сад"", ""unit"": null}","{""raw_value"": ""розы и шиповник"", ""normalized_value"": ""розы и шиповник"", ""unit"": null}","трафарет пластик ""розовый сад"" 13х14 см","no name трафарет пластик ""розы и шиповник"" 13х14 см"
rule_2927e486f6832204,design_pattern,Хобби и творчество,rp_c012602c4a6b7c3ffa9e0a31,0.0,1,"{""raw_value"": ""эйфелева башня. париж"", ""normalized_value"": ""эйфелева башня"", ""unit"": null}","{""raw_value"": ""тауэрский мост. лондон"", ""normalized_value"": ""тауэрский мост"", ""unit"": null}","сималенд / трафарет ""эйфелева башня. париж"" 29х20,8 см","трафарет пластик ""тауэрский мост. лондон"" 29х20,8 см"
rule_2927e486f6832204,design_pattern,Электроника,rp_c2d3ff11ea869d4b717bbc64,0.0,1,"{""raw_value"": ""дизайнерский принт"", ""normalized_value"": ""designer print"", ""unit"": null}","{""raw_value"": ""аниме1"", ""normalized_value"": ""anime"", ""unit"": null}","onlinecase / чехол на redmi note 13 pro 4g , poco m6 pro 4g",чехол на телефон infinix hot 30i
rule_3dafe3e882f84fb0,curl_type,Красота и гигиена,rp_2bd186244847fbffcbbd86ea,0.0,2,"{""raw_value"": ""c+"", ""normalized_value"": ""C+"", ""unit"": null}","{""raw_value"": ""l"", ""normalized_value"": ""L"", ""unit"": null}",черные ресницы lovely (лавли) серия silicone - 20 линий c+ 0.10 13 мм / ресницы для наращивания серии силикон,lovely / ресницы чёрные лавли серия silicone - l 0.10 15мм 20линий
rule_3dafe3e882f84fb0,curl_type,Красота и гигиена,rp_3123e910e86fb946e40d4fb9,0.0,2,"{""raw_value"": ""cc"", ""normalized_value"": ""CC"", ""unit"": null}","{""raw_value"": ""c"", ""normalized_value"": ""C"", ""unit"": null}",ресницы be perfect коричневые dark chocolate cc 0.10 12 16 линий,"be perfect ресницы коричневые (dark chocolate), отд. длины, 16 лент c 0,10 08 mm"
rule_3dafe3e882f84fb0,curl_type,Красота и гигиена,rp_37095e624fdf1c9b75e3ae5d,0.0,2,"{""raw_value"": ""d"", ""normalized_value"": ""D"", ""unit"": null}","{""raw_value"": ""c"", ""normalized_value"": ""C"", ""unit"": null}",ресницы для наращивания темно-коричневые rili choco 16 линий d 0.07 09мм,ресницы темно-коричневые rili choco - 16 линий (c 0.07 05мм)
rule_4027fb60fec7ff28,target_surface,Бытовая химия,rp_09a9973fce909fdf580ab7d9,0.0,1,"{""raw_value"": ""для кухни"", ""normalized_value"": ""kitchen"", ""unit"": null}","{""raw_value"": ""для ванн"", ""normalized_value"": ""bathrooms"", ""unit"": null}","чистящее экосредство для кухни grass crispi, 600 мл (125714)","чистящее экосредство для ванн grass crispi 600 мл,"
rule_4027fb60fec7ff28,target_surface,Бытовая химия,rp_6e6e8ac3ef068745565f9205,0.0,1,"{""raw_value"": ""для окон и зеркал"", ""normalized_value"": ""glass_mirrors"", ""unit"": null}","{""raw_value"": ""для ванн"", ""normalized_value"": ""bathtubs"", ""unit"": null}",crispi экосредство для окон и зеркал (флакон 600мл),grass / экосредство для ванн crispi 600мл
rule_4027fb60fec7ff28,target_surface,Бытовая химия,rp_088f7581ace2c0d4901d52b3,0.0,2,"{""raw_value"": ""ковров и мебели"", ""normalized_value"": ""carpets and furniture"", ""unit"": null}","{""raw_value"": ""цветного"", ""normalized_value"": ""colored fabrics"", ""unit"": null}",vanish oxi action pet clean expert пятновыводитель для ковров и мебели 450 мл.,vanish / пятновыводитель oxi action для цветного 450 мл
rule_43e773fb47a2bb7c,custom_name,Канцелярские товары,rp_cc3498c748dc54858372c24c,0.0,2,"{""raw_value"": ""елизавета"", ""normalized_value"": ""елизавета"", ""unit"": null}","{""raw_value"": ""лариса"", ""normalized_value"": ""лариса"", ""unit"": null}",papriq / экоручка с именем елизавета. ручка из бамбука елизавета.,экоручка с именем лариса. ручка из бамбука лариса.
rule_43e773fb47a2bb7c,custom_name,Канцелярские товары,rp_216a10ce54f4de44201d7faf,0.0,3,"{""raw_value"": ""абай"", ""normalized_value"": ""абай"", ""unit"": null}","{""raw_value"": ""арсений"", ""normalized_value"": ""арсений"", ""unit"": null}","именная ручка с надписью ""абай""","/ именная ручка с надписью ""арсений"""
rule_43e773fb47a2bb7c,custom_name,Канцелярские товары,rp_4d55b5de992e1d0e9890455d,0.0,3,"{""raw_value"": ""римма"", ""normalized_value"": ""римма"", ""unit"": null}","{""raw_value"": ""филимон"", ""normalized_value"": ""филимон"", ""unit"": null}","шариковая ручка с именем ""римма""","без бренда шариковая ручка с именем ""филимон"""
rule_6571ad3b5ba7aa38,key_tuning,Музыкальные инструменты,rp_47ee89f92be25d14e44c5045,0.0,1,"{""raw_value"": ""c"", ""normalized_value"": ""C"", ""unit"": null}","{""raw_value"": ""bb"", ""normalized_value"": ""Bb"", ""unit"": null}","губная гармошка, session standard c seydel sohne 10201c","c. a. seydel sohne 10201bb session standard bb губная гармошка, seydel sohne"
rule_6571ad3b5ba7aa38,key_tuning,Музыкальные инструменты,rp_0ede497241779a5c91d51a0b,0.0,2,"{""raw_value"": ""f"", ""normalized_value"": ""F"", ""unit"": null}","{""raw_value"": ""c"", ""normalized_value"": ""C"", ""unit"": null}",hohner / губная гармоника диатоническая hohner meisterklasse 580/20 f / тональность: f,губная гармоника hohner meister klasse 580/20 c (m581016)
rule_6571ad3b5ba7aa38,key_tuning,Музыкальные инструменты,rp_234a6dbe9de4ca88c8df2db1,0.0,2,"{""raw_value"": ""db"", ""normalized_value"": ""db"", ""unit"": null}","{""raw_value"": ""f#"", ""normalized_value"": ""f#"", ""unit"": null}","(1910-df) db-major губная гармошка, lee oskar 1910-db",губная гармошка lee oskar 1910-f# major diatonic
rule_6781877044ead9dd,axis,Аптека,rp_002393fd7b703537586bb8f3,0.0,1,"{""raw_value"": ""170"", ""normalized_value"": ""170"", ""unit"": ""deg""}","{""raw_value"": ""20"", ""normalized_value"": ""20"", ""unit"": ""deg""}","контаткнтые линзы alcon air optix plus hydraglyde astigmatism, 3 шт, r 8,7 +3,00 -1,25 170","air optix астигматические линзы plus hydraglyde for astigmatism, 3 шт., -3.00 / 8.7/-1.25/20, 1 месяц"
rule_6781877044ead9dd,axis,Аптека,rp_524d5d760adb03eb0580afe2,0.0,1,"{""raw_value"": ""20"", ""normalized_value"": ""20"", ""unit"": ""deg""}","{""raw_value"": ""160"", ""normalized_value"": ""160"", ""unit"": ""deg""}","acuvue астигматические линзы 1-day moist for astigmatism 90 линз/8.5/цилиндр -0.75/ось 20, 90 шт., -5.25 / 8.5/-0.75/20, 1 день","контактные линзы acuvue 1-day moist for astigmatism, 90 шт., r 8,5, d -5,25, cyl: -0,75, aх: 160"
rule_6781877044ead9dd,axis,Аптека,rp_575f85e284d5415f8977d3ad,0.0,1,"{""raw_value"": ""140"", ""normalized_value"": ""140"", ""unit"": ""deg""}","{""raw_value"": ""40"", ""normalized_value"": ""40"", ""unit"": ""deg""}","coopervision астигматические линзы biofinity toric -1,75, 140, 3 шт. , -7.00, 8.7, -1.75, 140, 1 месяц ","cooper vision / линзы biofinity toric pwr:-7.00, cyl:-1.75, ax:40"
rule_755fccc70551246d,cable_length,Электроника,rp_5600c832349439e810379648,0.0,1,"{""raw_value"": ""1.8 м"", ""normalized_value"": ""1.8"", ""unit"": ""m""}","{""raw_value"": ""3м"", ""normalized_value"": ""3"", ""unit"": ""m""}","сетевой фильтр topon top-pws4 4 розетки, 3 usb, type-c, pd 20w qc3.0, 4000w, 1.8 м черный top-pws4b","сетевой фильтр topon top-pws4 4 розетки, 3 usb, type-c, pd 20w qc3.0, 4000w, 3м черный"
rule_755fccc70551246d,cable_length,Строительство и ремонт,rp_d3e087aa889d3ba58b508caf,0.0,1,"{""raw_value"": ""80"", ""normalized_value"": ""80"", ""unit"": ""m""}","{""raw_value"": ""20"", ""normalized_value"": ""20"", ""unit"": ""m""}",теплый пол nunicho 80 м 20 вт/м с программируемым белым терморегулятором в комплекте,теплый пол nunicho 20 м 20 вт/м с программируемым белым терморегулятором в комплекте
rule_755fccc70551246d,cable_length,Строительство и ремонт,rp_dd180bc79a735888beadd210,0.0,1,"{""raw_value"": ""4м"", ""normalized_value"": ""4"", ""unit"": ""m""}","{""raw_value"": ""9 м"", ""normalized_value"": ""9"", ""unit"": ""m""}",кабель кг силовой 4м 380в 1x25 сварочный гибкий медный с резиновой изоляцией электрический,без бренда кабель кг силовой 9м 380в 1x25 сварочный гибкий медный с резиновой изоляцией электрический
rule_7cf1ef1fdf525008,active_ingredient,Спорт и отдых,rp_8ba08592558cd1d21a699c9d,0.0,1,"{""raw_value"": ""корень солодки"", ""normalized_value"": ""licorice root"", ""unit"": null}","{""raw_value"": ""корень имбиря"", ""normalized_value"": ""ginger root"", ""unit"": null}",корень солодки now/нау капсулы 550мг 100шт,корень имбиря now ginger root 550 мг 100 капсул
rule_7cf1ef1fdf525008,active_ingredient,Красота и гигиена,rp_126812c943c151ce374f8db0,0.0,2,"{""raw_value"": ""ядра фисташки"", ""normalized_value"": ""pistachio kernel"", ""unit"": null}","{""raw_value"": ""цветки монарды"", ""normalized_value"": ""monarda flowers"", ""unit"": null}","flavoila cosmo флавойла космо масло ядер фисташки 30 мл.,сашера-мед","сашера-мед масло цветков монарды cosmo, 30 мл"
rule_7cf1ef1fdf525008,active_ingredient,Спорт и отдых,rp_1d8762a21cf53dede947d2f6,0.0,2,"{""raw_value"": ""бенфотиамин с тиамином"", ""normalized_value"": ""benfotiamine with thiamine"", ""unit"": null}","{""raw_value"": ""pyridoxal 5-phosphate"", ""normalized_value"": ""pyridoxal 5-phosphate"", ""unit"": null}",life extension / бенфотиамин с тиамином 100 мг 120 вегетарианских капсул,life extension pyridoxal 5-phosphate 100mg (60 вег.кап.)
