category,concept,relation,label,attribute_key,attribute_key_source,observed_attribute_key_support,top_observed_attribute_keys,all_pair_support,all_label0,all_label1,all_occurrence_target_probability,singleton_support,singleton_label0,singleton_label1,singleton_target_probability,discovery_singleton_support,validation_singleton_support,example_pair_ids,example_value_pairs,rejection_reason
Автотовары,manufacturer_part_number,different_value,0,партномер (артикул производителя),dominant_singleton_evidence,61,"[{'attribute_key': 'партномер (артикул производителя)', 'support': 61}, {'attribute_key': 'артикул производителя', 'support': 54}, {'attribute_key': 'артикул', 'support': 1}]",273,257,16,0.9413919413919414,75,66,9,0.88,59,16,rp_76030b366d328c215aa2eafe;rp_893e5dd702ffe1b8fa5c9840;rp_f88fa5d0f77384d218dc46d8,111211200501999 | pbk3615 | l11060,forbidden_identifier_concept
Автотовары,part_number,different_value,0,артикул производителя,dominant_singleton_evidence,84,"[{'attribute_key': 'артикул производителя', 'support': 84}, {'attribute_key': 'партномер (артикул производителя)', 'support': 75}, {'attribute_key': 'артикул', 'support': 17}, {'attribute_key': 'код производителя', 'support': 4}, {'attribute_key': 'oem-номер', 'support': 1}]",618,568,50,0.919093851132686,127,111,16,0.8740157480314961,105,22,rp_8c68a3a7013db8ffa2a15036;rp_7d946815337263578dafb82f;rp_23364383a3e61aed18e9d11e,801015 | nab-353 | teb1734r,forbidden_identifier_concept
Бытовая химия,intended_surface,different_value,0,,,1,"[{'attribute_key': 'назначение моющего, чистящего средства', 'support': 1}, {'attribute_key': 'назначение', 'support': 1}]",3,3,0,1.0,2,2,0,1.0,2,0,rp_f4b4c1520116b3a016a15a94;rp_c3e20d5ffdef1f46fcd9c4a4;rp_74915f6a85c1fe6d1ba58462,духовки и микроволновые печи | для стекла | ванна и душевая кабина,no_reliable_attribute_key
Детские товары,model_type,different_value,0,,,0,[],24,19,5,0.7916666666666666,2,2,0,1.0,2,0,rp_eaaa5085f696040857c4cada;rp_a832a3f146c5a4f7243c1545;rp_dc39bc873b2426a0ba082ef5,классическая | механический конструктор с подсветкой | кукла,no_reliable_attribute_key
Дом и сад,name,different_value,0,,,0,[],6,6,0,1.0,4,4,0,1.0,4,0,rp_fa821ba92fa4bc51c375ca04;rp_3721588d11ff8435faf42574;rp_8520b77ce994542c1571a8a2,дарья | ева | олега,generic_concept
Дом и сад,tomato_variety,different_value,0,,,0,[],3,3,0,1.0,2,2,0,1.0,1,1,rp_b858c37180a373e0d6473138;rp_d978f30a9ae7efb1755ae76c;rp_fa142b61183a4b6ecbdd9ba5,розовое вино биф | аэлита-71 f1 | дикая роза,no_reliable_attribute_key
Канцелярские товары,color_count,different_value,0,,,1,"[{'attribute_key': 'количество фломастеров, шт', 'support': 1}]",27,24,3,0.8888888888888888,5,5,0,1.0,3,2,rp_bb84ae4e1c943c7acfb510d6;rp_fcb19765bbc5a4e098b9bb87;rp_502d4fafd49186bd5aab2042,60 | 18 цветов | 6 цветов,no_reliable_attribute_key
Канцелярские товары,name_on_cover,different_value,0,,,0,[],11,11,0,1.0,8,8,0,1.0,8,0,rp_3677f96dfdb1720f4c01f83c;rp_dec08f14ba034cb4785d6371;rp_4bf2bce742c58557dc3107e0,маруф | флорид | лариса,generic_concept
Канцелярские товары,name_on_item,different_value,0,,,0,[],6,6,0,1.0,2,2,0,1.0,2,0,rp_cc3498c748dc54858372c24c;rp_85193c5c2ded5035da11a130;rp_db337a499f0316a35a88ae24,елизавета | екатерина | михеил,generic_concept
Красота и гигиена,scent_ingredients,different_value,0,,,0,[],3,3,0,1.0,2,2,0,1.0,2,0,rp_364d8993686322cdf289309d;rp_cd0f2fb32993157895cd47ed;rp_6042a5d3c73727e180482e92,"экстракты инжира, белой орхидеи и масла | можжевельник и кедровое молочко | хна и масло арганы",no_reliable_attribute_key
Музыкальные инструменты,reed_strength,different_value,0,,,0,[],18,17,1,0.9444444444444444,2,2,0,1.0,2,0,rp_dcdaf4a334d2ef5d240e3007;rp_f7003b176d1eb1801d83f9bf;rp_a8d3303eb6fa816066323a51,2 | 3.5 | 4.5,no_reliable_attribute_key
Музыкальные инструменты,saxophone_type,different_value,0,,,0,[],4,4,0,1.0,3,3,0,1.0,2,1,rp_f589c781a3f5774fb2fa6392;rp_6b2faea777d723bb4032e86a;rp_d6537422b7b96c3850e47cf4,сопрано | альт | сопрано,no_reliable_attribute_key
Музыкальные инструменты,strength,different_value,0,,,0,[],13,13,0,1.0,4,4,0,1.0,3,1,rp_f04136875bf0325f728acbca;rp_d1110dbd34c3524d1ab5438e;rp_81216d0f595984b715eed481,№3 | 4-1/2 | 1025,no_reliable_attribute_key
Музыкальные инструменты,string_note,different_value,0,,,0,[],11,11,0,1.0,2,2,0,1.0,2,0,rp_766c699c88feebe366460919;rp_9464b11f675533a78f3480b4;rp_68c75289ca47e4102c9cbe64,d | g2 | a,no_reliable_attribute_key
