category,concept,relation,label,attribute_key,attribute_key_source,observed_attribute_key_support,top_observed_attribute_keys,all_pair_support,all_label0,all_label1,all_occurrence_target_probability,singleton_support,singleton_label0,singleton_label1,singleton_target_probability,discovery_singleton_support,validation_singleton_support,example_pair_ids,example_value_pairs,anchor_profiles,allowed_product_types,source_examples,profile_diagnostics,semantic_review_required,mutation_mode,forbidden_anchor_attribute_patterns,target_value_pattern,forbidden_target_value_pattern,rejection_reason
Автотовары,car_brand,different_value,0,Марка автомобиля,override,2,"[{'attribute_key': 'марка автомобиля', 'support': 2}]",183,164,19,0.8961748633879781,3,3,0,1.0,3,0,rp_71f58f533df975967b04ce58;rp_1c105cb2a0ff309bbfaa1af9;rp_319cfc328851cb4cc29310e9,ford | toyota | nissan,"[{'product_type': 'средство для ремонта царапин', 'normalized_product_type': 'средство для ремонта царапин', 'singleton_pair_support': 2, 'singleton_target_support': 2, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_cc8e1caed386053725bfa1da', 'rp_c6d640e7fe48f31b44796464']}]",['средство для ремонта царапин'],"[{'source_pair_id': 'rp_cc8e1caed386053725bfa1da', 'product_type': 'средство для ремонта царапин', 'title_a': 'ремонт сколов кузова (подкраска) renault d94 krypton green 20 мл', 'title_b': 'краска для сколов kiwix opel/vauxhall 81l anthracite/anthrazit 20 мл/81l-039017k', 'target_value_a': 'opel', 'target_value_b': 'renault'}, {'source_pair_id': 'rp_c6d640e7fe48f31b44796464', 'product_type': 'средство для ремонта царапин', 'title_a': 'краска ( подкраска) для сколов + лак + грунт комплект lexus 4s7 beige 60 мл и перламутр', 'title_b': 'краска для сколов kiwix mazda 22l glacial silver+лак 20 мл+грунт 20 мл к-т', 'target_value_a': 'lexus', 'target_value_b': 'mazda'}]","{'source_singleton_pairs': 3, 'source_pairs_with_explicit_type': 3, 'observed_exact_product_types': 2, 'supported_product_type_profiles': 1}",True,identity_value,['(?<!\\w)(?:модель|model|серия|series|линейка|line)(?!\\w)'],,,semantic_review_required
Автотовары,manufacturer_part_number,different_value,0,партномер (артикул производителя),dominant_singleton_evidence,61,"[{'attribute_key': 'партномер (артикул производителя)', 'support': 61}, {'attribute_key': 'артикул производителя', 'support': 54}, {'attribute_key': 'артикул', 'support': 1}]",273,257,16,0.9413919413919414,75,66,9,0.88,59,16,rp_76030b366d328c215aa2eafe;rp_893e5dd702ffe1b8fa5c9840;rp_f88fa5d0f77384d218dc46d8,111211200501999 | pbk3615 | l11060,"[{'product_type': 'колодки тормозные', 'normalized_product_type': 'колодки тормозные', 'singleton_pair_support': 15, 'singleton_target_support': 13, 'singleton_target_probability': 0.8666666666666667, 'source_pair_ids': ['rp_0da4708aadde9780b7667199', 'rp_619434aecee5b0bf21ef6d49', 'rp_0a3480c3fc7eaf7a653272dc', 'rp_6d1a4124969633c9560bd93f', 'rp_98af136df732540517ecb6d9', 'rp_4459b270745f0ea1321a7abf', 'rp_2980e8c17a10305c710a9aaa', 'rp_1a658afc682f18c8bdb95782']}, {'product_type': 'амортизатор подвески', 'normalized_product_type': 'амортизатор подвески', 'singleton_pair_support': 11, 'singleton_target_support': 10, 'singleton_target_probability': 0.9090909090909091, 'source_pair_ids': ['rp_5a148a6b6e0227af42a3a352', 'rp_0bc983b32ce704f7dee81cd3', 'rp_4104b140730c2c48ce77b3c2', 'rp_4a2537ba290b376f941551a5', 'rp_0384c04075c9f205b5fb22ad', 'rp_b32cb7aa8bece09fbcd2692b', 'rp_80427ea4a0848ad5ae37dba9', 'rp_d6067f30b2dd485025ee369e']}, {'product_type': 'диск тормозной', 'normalized_product_type': 'диск тормозной', 'singleton_pair_support': 6, 'singleton_target_support': 6, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_207992f8a4350dc2af9f87cd', 'rp_be9d615d819b44bb31fa931e', 'rp_b3e926a1daa163d7bce3bf02', 'rp_dd48d80cca9475415451a997', 'rp_d76abe83369653e112dc58d7', 'rp_d128010b54e4e1519593136a']}, {'product_type': 'сайлентблок', 'normalized_product_type': 'сайлентблок', 'singleton_pair_support': 3, 'singleton_target_support': 3, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_d2016c5cb28296545b4d5926', 'rp_ea3c2ac340913592105adcc7', 'rp_4dd0125da563002f2205dd59']}, {'product_type': 'ступица', 'normalized_product_type': 'ступица', 'singleton_pair_support': 2, 'singleton_target_support': 2, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_d3c4e9a3b9676c0ad0e6f834', 'rp_97f70387765e00faeecc030b']}, {'product_type': 'фильтр салонный', 'normalized_product_type': 'фильтр салонный', 'singleton_pair_support': 2, 'singleton_target_support': 2, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_664633c3ab2b18e671aa79bb', 'rp_26a448766bfdfaef75ce08ff']}]","['колодки тормозные', 'амортизатор подвески', 'диск тормозной', 'сайлентблок', 'ступица', 'фильтр салонный']","[{'source_pair_id': 'rp_0da4708aadde9780b7667199', 'product_type': 'колодки тормозные', 'title_a': 'metelli / тормозные колодки дисковые комплект', 'title_b': 'metelli колодки тормозные, арт. 22-0198-0', 'target_value_a': '22 0198 0', 'target_value_b': '2211930'}, {'source_pair_id': 'rp_619434aecee5b0bf21ef6d49', 'product_type': 'колодки тормозные', 'title_a': 'allied nippon / колодки автомобильные', 'title_b': 'колодки тормозные', 'target_value_a': 'adb31594', 'target_value_b': 'adb31653'}, {'source_pair_id': 'rp_0a3480c3fc7eaf7a653272dc', 'product_type': 'колодки тормозные', 'title_a': 'тормозные колодки patron дисковые pbp1116', 'title_b': 'patron колодки тормозные дисковые задние, арт. pbp1604', 'target_value_a': 'pbp1116', 'target_value_b': 'pbp1604'}, {'source_pair_id': 'rp_6d1a4124969633c9560bd93f', 'product_type': 'колодки тормозные', 'title_a': '/ дисковые тормозные колодки арт. d2347', 'title_b': 'kashiyama колодки тормозные дисковые, арт. d2277', 'target_value_a': 'd2277', 'target_value_b': 'd2347'}]","{'source_singleton_pairs': 75, 'source_pairs_with_explicit_type': 75, 'observed_exact_product_types': 42, 'supported_product_type_profiles': 6}",False,independent_value,[],,,forbidden_identifier_concept
Автотовары,part_number,different_value,0,артикул производителя,dominant_singleton_evidence,84,"[{'attribute_key': 'артикул производителя', 'support': 84}, {'attribute_key': 'партномер (артикул производителя)', 'support': 75}, {'attribute_key': 'артикул', 'support': 17}, {'attribute_key': 'код производителя', 'support': 4}, {'attribute_key': 'oem-номер', 'support': 1}]",618,568,50,0.919093851132686,127,111,16,0.8740157480314961,105,22,rp_8c68a3a7013db8ffa2a15036;rp_7d946815337263578dafb82f;rp_23364383a3e61aed18e9d11e,801015 | nab-353 | teb1734r,"[{'product_type': 'колодки тормозные', 'normalized_product_type': 'колодки тормозные', 'singleton_pair_support': 22, 'singleton_target_support': 20, 'singleton_target_probability': 0.9090909090909091, 'source_pair_ids': ['rp_dd709c827bd05df1132ddfc3', 'rp_70c0f3655f96d822c0059d8e', 'rp_9f28b25c7b5707a8a33dccd2', 'rp_4049e3c2c2c760f5954e9e02', 'rp_0dfb3b9b530abc3cbc72c7a3', 'rp_30450c720c8f6e2a95bf89c5', 'rp_9bcd9f6ae82be99a971c2732', 'rp_6d1c2d46aa3528224f96f313']}, {'product_type': 'амортизатор подвески', 'normalized_product_type': 'амортизатор подвески', 'singleton_pair_support': 9, 'singleton_target_support': 8, 'singleton_target_probability': 0.8888888888888888, 'source_pair_ids': ['rp_79622f705f03635fd3112098', 'rp_9574a0c9cc94618310394a9f', 'rp_510a0591c3a23dc4ca602920', 'rp_392d89210f4eac11f60050e1', 'rp_3db94e04bb71629ed84672dd', 'rp_2f2828f13904cfc463fc612f', 'rp_215b76eb79ce77a29d928dbe', 'rp_cc95c6b28cd6eee924f7ee8c']}, {'product_type': 'диск тормозной', 'normalized_product_type': 'диск тормозной', 'singleton_pair_support': 9, 'singleton_target_support': 8, 'singleton_target_probability': 0.8888888888888888, 'source_pair_ids': ['rp_50f8bfb5455c98da7bff0acd', 'rp_208b82a732f08b58ad1a00cd', 'rp_68300411159d8c31e858a2ff', 'rp_a19e9e73eff02aa980a7a80c', 'rp_d223c20f4549467cc89f2a4e', 'rp_666a4793cddd6679b236c6d5', 'rp_973c7dda7c798dc0f60eb762', 'rp_e9197e9fa82ee019fd634d55']}, {'product_type': 'ремень поликлиновой', 'normalized_product_type': 'ремень поликлиновой', 'singleton_pair_support': 7, 'singleton_target_support': 6, 'singleton_target_probability': 0.8571428571428571, 'source_pair_ids': ['rp_6be6c0b518a90aaedd0d7a9b', 'rp_2fe4e55528e687ae737e516d', 'rp_797667d93893c9044a55ad43', 'rp_e095f694d63246021d03d9d2', 'rp_4af90f7359507965c6ad59ff', 'rp_aa6a3ada7d8c6e5b386eccf6']}, {'product_type': 'стойка стабилизатора', 'normalized_product_type': 'стойка стабилизатора', 'singleton_pair_support': 5, 'singleton_target_support': 5, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_b0182536a5a434c97b9f68f1', 'rp_92ec3578d4ea9071911f4a32', 'rp_e500e4efd49f96fde0a8ae6f', 'rp_d18b0b5ab5a722f2a2cd7ac7', 'rp_2a2bd10c98cd971384f0355a']}, {'product_type': 'датчик для автомобиля', 'normalized_product_type': 'датчик для автомобиля', 'singleton_pair_support': 4, 'singleton_target_support': 4, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_ba8ee56f31045a00ef1cd8cc', 'rp_5ee96f0003c7fff7324e6e06', 'rp_ed2e33157b0ae93f21faa8c7', 'rp_414083b157ed02b8fef51c1b']}, {'product_type': 'наконечник рулевой', 'normalized_product_type': 'наконечник рулевой', 'singleton_pair_support': 3, 'singleton_target_support': 3, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_208d3f10d7ea69879c5fb445', 'rp_2e946d73b1c67cd7e3728f0b', 'rp_128cb2d7069e0d3ceea4e6b7']}, {'product_type': 'опора шаровая', 'normalized_product_type': 'опора шаровая', 'singleton_pair_support': 3, 'singleton_target_support': 3, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_eaf3d5e3b4cd298d6bcce2a6', 'rp_39608d559aed26af53d8924b', 'rp_4b0561d6713a880d6363a876']}, {'product_type': 'пружина подвески', 'normalized_product_type': 'пружина подвески', 'singleton_pair_support': 3, 'singleton_target_support': 3, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_d429502a376d65cdc0bb057c', 'rp_68026ea9e9664506bb2f0cb9', 'rp_09f84d03f5e724b4d2edc2bb']}, {'product_type': 'элемент зеркальный', 'normalized_product_type': 'элемент зеркальный', 'singleton_pair_support': 3, 'singleton_target_support': 3, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_8e09e1a9d43e6e3685eebf7b', 'rp_fb857fd5b1017b2fe57a9ca5', 'rp_a375a0bb3eef5d376e10d685']}, {'product_type': 'дисковые', 'normalized_product_type': 'дисковые', 'singleton_pair_support': 2, 'singleton_target_support': 2, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_30450c720c8f6e2a95bf89c5', 'rp_37ad396c9930ff24898ac72e']}, {'product_type': 'дисковые тормозные колодки', 'normalized_product_type': 'дисковые тормозные колодки', 'singleton_pair_support': 2, 'singleton_target_support': 2, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_26182ebc34415296a3dd3784', 'rp_80372eb0c7b6339dde2541a5']}]","['колодки тормозные', 'амортизатор подвески', 'диск тормозной', 'ремень поликлиновой', 'стойка стабилизатора', 'датчик для автомобиля', 'наконечник рулевой', 'опора шаровая', 'пружина подвески', 'элемент зеркальный', 'дисковые', 'дисковые тормозные колодки']","[{'source_pair_id': 'rp_dd709c827bd05df1132ddfc3', 'product_type': 'колодки тормозные', 'title_a': 'hsb колодки тормозные дисковые передние, арт. hp5255', 'title_b': 'hsb / колодки тормозные hsb hp5249', 'target_value_a': 'hp5249', 'target_value_b': 'hp5255'}, {'source_pair_id': 'rp_70c0f3655f96d822c0059d8e', 'product_type': 'колодки тормозные', 'title_a': 'тормозные колодки advics sn564p задние', 'title_b': 'advics / дисковые тормозные колодки advics артикул sn119p', 'target_value_a': 'sn119p', 'target_value_b': 'sn564p'}, {'source_pair_id': 'rp_9f28b25c7b5707a8a33dccd2', 'product_type': 'колодки тормозные', 'title_a': 'ganz / ganz gij20050 колодки барабанные nissan', 'title_b': 'ganz колодки тормозные, арт. gij20035', 'target_value_a': 'gij20035', 'target_value_b': 'gij20050'}, {'source_pair_id': 'rp_4049e3c2c2c760f5954e9e02', 'product_type': 'колодки тормозные', 'title_a': 'bosch колодки тормозные 986494059', 'title_b': 'bosch / колодки дисковые п. audi 100 91-94/a4 95-00/a6 94-97', 'target_value_a': '0986460937', 'target_value_b': '986494059'}]","{'source_singleton_pairs': 127, 'source_pairs_with_explicit_type': 127, 'observed_exact_product_types': 60, 'supported_product_type_profiles': 12}",False,independent_value,[],,,forbidden_identifier_concept
Автотовары,size,different_value,0,Размер,override,0,[],25,25,0,1.0,3,3,0,1.0,2,1,rp_0996cfbef68de32bac6e69c3;rp_d9e800ac527e271dc192453f;rp_bbf0a700b71a383c5329ffcd,l(39-41см) | xl | 30x30x55см,[],[],[],"{'source_singleton_pairs': 3, 'source_pairs_with_explicit_type': 3, 'observed_exact_product_types': 3, 'supported_product_type_profiles': 0}",False,independent_value,[],,,no_supported_product_type_profile
Бытовая химия,intended_surface,different_value,0,,,1,"[{'attribute_key': 'назначение моющего, чистящего средства', 'support': 1}, {'attribute_key': 'назначение', 'support': 1}]",3,3,0,1.0,2,2,0,1.0,2,0,rp_f4b4c1520116b3a016a15a94;rp_c3e20d5ffdef1f46fcd9c4a4;rp_74915f6a85c1fe6d1ba58462,духовки и микроволновые печи | для стекла | ванна и душевая кабина,[],[],[],"{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 2, 'observed_exact_product_types': 3, 'supported_product_type_profiles': 0}",False,independent_value,[],,,no_reliable_attribute_key
Бытовая химия,target_audience,different_value,0,Целевая аудитория,override,2,"[{'attribute_key': 'комплектация', 'support': 2}, {'attribute_key': 'назначение моющего, чистящего средства', 'support': 1}]",31,21,10,0.6774193548387096,3,3,0,1.0,1,2,rp_75b684a5c8a505b95107dbb6;rp_ce410392982375a5d2463aa6;rp_de0d3f84c3fbab080da9f6d7,для деликатных тканей | универсальный | штука,[],[],[],"{'source_singleton_pairs': 3, 'source_pairs_with_explicit_type': 3, 'observed_exact_product_types': 3, 'supported_product_type_profiles': 0}",False,independent_value,[],,,no_supported_product_type_profile
Галантерея и аксессуары,collection,different_value,0,коллекция,dominant_singleton_evidence,6,"[{'attribute_key': 'коллекция', 'support': 6}]",176,155,21,0.8806818181818182,3,3,0,1.0,1,2,rp_9100eda40ba850ca52016fb3;rp_8b13718e9e261ba695b66ef2;rp_9e4b110efe9771b928cc9a65,весна-лето 2023 | базовая коллекция | базовая коллекция,[],[],[],"{'source_singleton_pairs': 3, 'source_pairs_with_explicit_type': 3, 'observed_exact_product_types': 3, 'supported_product_type_profiles': 0}",False,independent_value,['(?<!\\w)(?:модель|model|серия|series|линейка|line)(?!\\w)'],,,no_supported_product_type_profile
Детские товары,car_brand,different_value,0,Марка автомобиля,override,4,"[{'attribute_key': 'марка автомобиля', 'support': 4}]",13,12,1,0.9230769230769231,3,3,0,1.0,3,0,rp_ac2de7d47c1e213d00f65704;rp_9de1145539052bb1eb2d2dfe;rp_d3f27a78627fb910bfdbf796,jeep | volvo | shelby,"[{'product_type': 'машинка', 'normalized_product_type': 'машинка', 'singleton_pair_support': 3, 'singleton_target_support': 3, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_3a407f2de35c6de65504dee7', 'rp_5ad881a3f911e71b681dc342', 'rp_fb528a82753666fc84f97dc9']}]",['машинка'],"[{'source_pair_id': 'rp_3a407f2de35c6de65504dee7', 'product_type': 'машинка', 'title_a': 'машина металлическая toyota supra, 1:64, цвет жёлтый', 'title_b': 'автоград / машина металлическая mercedes-amg gt s 1:64 цвет жёлтый', 'target_value_a': 'mercedes amg', 'target_value_b': 'toyota'}, {'source_pair_id': 'rp_5ad881a3f911e71b681dc342', 'product_type': 'машинка', 'title_a': 'автоград / машина металлическая mercedes-benz cls63 amg', 'title_b': 'машина металлическая автоград ""mercedes-benz cls63 amg"", 1:32, открываются двери, инерция, цвет чёрный', 'target_value_a': 'mercedes benz cls63 amg', 'target_value_b': 'merсedes benz'}, {'source_pair_id': 'rp_fb528a82753666fc84f97dc9', 'product_type': 'машинка', 'title_a': 'технопарк машина infiniti qx30, инерционная, красный, 12 см', 'title_b': 'машина металлическая honda accord инерционная', 'target_value_a': 'honda', 'target_value_b': 'infiniti'}]","{'source_singleton_pairs': 3, 'source_pairs_with_explicit_type': 3, 'observed_exact_product_types': 1, 'supported_product_type_profiles': 1}",True,identity_value,['(?<!\\w)(?:модель|model|серия|series|линейка|line)(?!\\w)'],,,semantic_review_required
Детские товары,model_type,different_value,0,,,0,[],24,19,5,0.7916666666666666,2,2,0,1.0,2,0,rp_eaaa5085f696040857c4cada;rp_a832a3f146c5a4f7243c1545;rp_dc39bc873b2426a0ba082ef5,классическая | механический конструктор с подсветкой | кукла,[],[],[],"{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 2, 'observed_exact_product_types': 2, 'supported_product_type_profiles': 0}",False,independent_value,[],,,no_reliable_attribute_key
Детские товары,packaging_type,different_value,0,Тип упаковки,override,2,"[{'attribute_key': 'комплектация', 'support': 2}]",5,3,2,0.6,2,2,0,1.0,2,0,rp_7f162cc9c2385aff5f032dee;rp_3ddf6de18eb74d2aff9677c6;rp_f1251e108563f6cada6034a5,"подар. коробка | товар в фабричной упаковке | набор инерц. строит. машин 4 шт.,серия мир micro игрушек, crd 13,5 см, арт.m7618-2",[],[],[],"{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 2, 'observed_exact_product_types': 2, 'supported_product_type_profiles': 0}",False,independent_value,[],,,no_supported_product_type_profile
