anchor_type,concept,strength,rule_id,canonical_rule,relation,conditional_support,conditional_positive,conditional_negative,conditional_match_prevalence,conditional_wilson_low_95,conditional_wilson_high_95,conditional_max_2_support,anchor_support,anchor_match_prevalence,prevalence_delta_vs_anchor,discovery_effect_class,validation_stability,generation_status,interpretation
brand,brand,weak,rule_4aa0f48b79ae60d8,color has different explicit values,different_value,5143,540,4603,0.1049970834143496,0.09691169275254091,0.1136721340355227,925,27312,0.28635764499121263,-0.18136056157686303,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_f3a0a3942325774a,package_quantity has different explicit values,different_value,2719,224,2495,0.08238322912835601,0.07262814753722556,0.09331672417326985,951,27312,0.28635764499121263,-0.20397441586285664,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_ee04e3d59e0d7494,color is explicitly known on only one side,missing_one_side,2298,884,1414,0.3846823324630113,0.3649983066580891,0.40475127124509946,574,27312,0.28635764499121263,0.09832468747179868,POSITIVE,REPLICATED_95,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_18a60636e63690ba,model_number has different explicit values,different_value,2031,148,1883,0.07287050713934022,0.06235442200143558,0.08499935728045051,407,27312,0.28635764499121263,-0.2134871378518724,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_38bee0b7a2f04c1d,weight has different explicit values,different_value,2020,267,1753,0.13217821782178218,0.1181040891148105,0.14764872474176802,122,27312,0.28635764499121263,-0.15417942716943045,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_adbb0b06f5afebc9,manufacturer_part_number is explicitly known on only one side,missing_one_side,1935,635,1300,0.3281653746770026,0.3076022938882704,0.34940939804159127,501,27312,0.28635764499121263,0.04180772968578994,NEUTRAL,NOT_REPLICATED,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_ecc4cfa545cd0dce,sku is explicitly known on only one side,missing_one_side,1851,573,1278,0.3095623987034036,0.28891344865713636,0.331000187094833,359,27312,0.28635764499121263,0.02320475371219094,POSITIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_5755f73e3bd42430,country_of_origin has different explicit values,different_value,1825,451,1374,0.24712328767123287,0.2278782412906897,0.2674307018129667,319,27312,0.28635764499121263,-0.03923435731997976,NEGATIVE,SAME_DIRECTION_WEAK,,TOLERATED_DIFFERENCE_CANDIDATE_NOT_DETERMINISTIC
brand,brand,weak,rule_5270fffb2ed7d00a,model_number is explicitly known on only one side,missing_one_side,1792,549,1243,0.30636160714285715,0.28545089549746094,0.32810076741089356,252,27312,0.28635764499121263,0.020003962151644517,POSITIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_57544b09d5dd8ce0,product_line is explicitly known on only one side,missing_one_side,1563,445,1118,0.2847088931541907,0.26288525043382144,0.3075882422281044,184,27312,0.28635764499121263,-0.0016487518370219556,POSITIVE,REPLICATED_95,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_7c473970927367fc,product_line has different explicit values,different_value,1372,286,1086,0.20845481049562684,0.18778917890741864,0.23074853648074822,266,27312,0.28635764499121263,-0.0779028344955858,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_f63c58ab0b7fda1d,product_type has different explicit values,different_value,1280,356,924,0.278125,0.25426946534562983,0.3033083542233886,321,27312,0.28635764499121263,-0.008232644991212623,NEGATIVE,REPLICATED_95,READY_LABEL_0,TOLERATED_DIFFERENCE_CANDIDATE_NOT_DETERMINISTIC
brand,brand,weak,rule_e07ac5a17e241f11,manufacturer_part_number has different explicit values,different_value,1176,158,1018,0.13435374149659865,0.11604806876806942,0.15504052481940875,429,27312,0.28635764499121263,-0.15200390349461398,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_d5e11de98d52207f,shelf_life has different explicit values,different_value,1022,327,695,0.3199608610567515,0.2920820330658384,0.349188120143,225,27312,0.28635764499121263,0.03360321606553884,NEUTRAL,NOT_REPLICATED,,TOLERATED_DIFFERENCE_CANDIDATE_NOT_DETERMINISTIC
brand,brand,weak,rule_c0e89d159f62ce86,russian_size has different explicit values,different_value,1019,126,893,0.12365063788027478,0.10484083091128685,0.1452874391942701,33,27312,0.28635764499121263,-0.16270700711093786,NEUTRAL,NOT_REPLICATED,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_3b95309412fde006,package_quantity is explicitly known on only one side,missing_one_side,1018,415,603,0.4076620825147348,0.37787722064705787,0.438141230745017,387,27312,0.28635764499121263,0.12130443752352216,POSITIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_e3853bb6776eb888,ring_size has different explicit values,different_value,925,137,788,0.14810810810810812,0.12667346033821758,0.1724535382802767,42,27312,0.28635764499121263,-0.1382495368831045,POSITIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
product_line,product_line,medium,rule_f3a0a3942325774a,package_quantity has different explicit values,different_value,893,92,801,0.10302351623740201,0.08475582714690502,0.12469208427914832,384,6613,0.45728111295932256,-0.35425759672192053,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_7a1cd2fb1842ddd9,country_of_origin is explicitly known on only one side,missing_one_side,887,481,406,0.5422773393461104,0.5093779479912616,0.5748121033040529,308,27312,0.28635764499121263,0.2559196943548978,POSITIVE,REPLICATED_95,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_25c6ee4c5ab922c9,material has different explicit values,different_value,757,190,567,0.2509907529722589,0.22141312438408872,0.28308294943732165,110,27312,0.28635764499121263,-0.03536689201895371,NEGATIVE,SAME_DIRECTION_WEAK,,TOLERATED_DIFFERENCE_CANDIDATE_NOT_DETERMINISTIC
brand,brand,weak,rule_700fb73ce645d505,width has different explicit values,different_value,733,66,667,0.09004092769440655,0.07139999970499723,0.11295658385380293,84,27312,0.28635764499121263,-0.19631671729680608,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
product_line,product_line,medium,rule_4aa0f48b79ae60d8,color has different explicit values,different_value,716,114,602,0.15921787709497207,0.13424619714326458,0.1878268811561835,242,6613,0.45728111295932256,-0.29806323586435046,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
