rule_id,canonical_rule,concept,relation,global_support,global_positive,global_negative,category_count,single_difference_support,max_2_differences_support,strong_multi_difference_support,global_effect,global_effect_median,global_effect_low_95,global_effect_high_95,global_effect_sd,global_probability_positive,global_probability_negative,example_pair_ids,heterogeneity_tau2,scope_candidate,posterior_direction_signal,effect_class_placeholder,uncertainty,stability_placeholder,support_tier,discovery_effect_class,rule_role,definition_frozen,definition_source,scope_candidate_frozen,validation_support,validation_positive,validation_negative,validation_category_count,validation_single_difference_support,validation_max_2_differences_support,validation_effect,validation_effect_median,validation_effect_low_95,validation_effect_high_95,validation_effect_sd,validation_probability_positive,validation_probability_negative,validation_effect_class,validation_stability,validation_opposite_95,definition_changed_after_validation,generation_status,allowed_categories,excluded_or_unsupported_categories,generated_label,generation_action,generation_contract
rule_0a862a81c61e7fbd,optical_power has different explicit values,optical_power,different_value,1782,3,1779,3,72,252,1530,-3.836138882300821,-3.777902796180895,-5.0835869308636275,-2.855188976895016,0.5746287916426347,0.0,1.0,"[""rp_81962a2329bad1c1b38dc5a2"", ""rp_d3a6780abc20142bbb6f7fb1"", ""rp_7f4421d9fb66f9687b77b136"", ""rp_1a7c54621069e800ac6a3dc0"", ""rp_1efbe949a4ee5389a38e98ab""]",6.937632853928265,UNCERTAIN,NEGATIVE,UNCERTAIN,2.2283979539686114,NOT_CHECKED_RULE_INTERNAL_VALIDATION,HIGH_CONFIDENCE_DISCOVERY,NEGATIVE,RULE_CANDIDATE,True,RULE_DISCOVERY_CHECKPOINT_60000,CATEGORY_SPECIFIC,75,0,75,1,4,9,-4.346087593084836,-3.8460624381132007,-9.891723424857755,-1.4016159426288433,2.242893418911491,0.0,1.0,NEGATIVE,REPLICATED_95,False,False,READY_LABEL_0,"[""Аптека""]","[""Галантерея и аксессуары"", ""Спорт и отдых""]",0.0,Replace the explicit value with a different category-valid value for the same canonical concept.,Apply only in an allowed category; change one semantic concept; preserve all other latent facts; synchronize title and attributes; reject conflicting or unknown outputs.
rule_18a60636e63690ba,model_number has different explicit values,model_number,different_value,7366,362,7004,18,77,711,6655,-1.5246685935832764,-1.5245141490974126,-1.6296073433955176,-1.4194762383298771,0.05441823833233201,0.0,1.0,"[""rp_c7f4181e76930eeea577d932"", ""rp_278a1823b005a9ba4e40f9d1"", ""rp_048d8da6f2e01d1d632d954c"", ""rp_fd7f751b6056321e98153a45"", ""rp_847cf9e2f23110d029d6213c""]",0.5605591753988296,UNCERTAIN,NEGATIVE,UNCERTAIN,0.21013110506564048,NOT_CHECKED_RULE_INTERNAL_VALIDATION,HIGH_CONFIDENCE_DISCOVERY,NEGATIVE,RULE_CANDIDATE,True,RULE_DISCOVERY_CHECKPOINT_60000,GLOBAL,370,30,340,17,4,33,-1.0057141743807254,-0.9999562060407755,-1.4207390124989725,-0.6288972676959409,0.2037621877329037,0.0,1.0,NEGATIVE,REPLICATED_95,False,False,READY_LABEL_0,"[""Автотовары"", ""Аптека"", ""Бытовая химия"", ""Галантерея и аксессуары"", ""Детские товары"", ""Дом и сад"", ""Канцелярские товары"", ""Красота и гигиена"", ""Мебель"", ""Музыкальные инструменты"", ""Продукты питания"", ""Спорт и отдых"", ""Строительство и ремонт"", ""Товары для животных"", ""Хобби и творчество"", ""Электроника""]","[""Обувь"", ""Ювелирные изделия""]",0.0,Replace the explicit value with a different category-valid value for the same canonical concept.,Apply only in an allowed category; change one semantic concept; preserve all other latent facts; synchronize title and attributes; reject conflicting or unknown outputs.
rule_1ffb8ef68c1848b0,net_weight has different explicit values,net_weight,different_value,1176,199,977,13,52,236,940,-0.7953643272530286,-0.7961037648645883,-0.9502981101192375,-0.6427484286649328,0.07827343808330332,0.0,1.0,"[""rp_9febc913ef22981e69268be3"", ""rp_224ea87c21d81d7a563fd938"", ""rp_a92dcbafd0b3b4053b8d690e"", ""rp_7d9b427217825a759bded010"", ""rp_04ff55f7c228e8becd613445""]",0.025146468526522442,HETEROGENEOUS,NEGATIVE,UNCERTAIN,0.3075496814543047,NOT_CHECKED_RULE_INTERNAL_VALIDATION,HIGH_CONFIDENCE_DISCOVERY,NEGATIVE,RULE_CANDIDATE,True,RULE_DISCOVERY_CHECKPOINT_60000,GLOBAL,64,11,53,4,3,10,-0.6580740856698327,-0.6519481518999639,-1.3612312803520954,-0.0019458861759068247,0.3536677913481929,0.025,0.975,NEGATIVE,REPLICATED_95,False,False,READY_LABEL_0,"[""Бытовая химия"", ""Дом и сад"", ""Красота и гигиена"", ""Продукты питания"", ""Спорт и отдых"", ""Товары для животных""]","[""Аптека"", ""Канцелярские товары"", ""Мебель"", ""Музыкальные инструменты"", ""Строительство и ремонт"", ""Хобби и творчество"", ""Электроника""]",0.0,Replace the explicit value with a different category-valid value for the same canonical concept.,Apply only in an allowed category; change one semantic concept; preserve all other latent facts; synchronize title and attributes; reject conflicting or unknown outputs.
rule_27c9d0d3eaae9c26,gpu_model has different explicit values,gpu_model,different_value,358,2,356,1,0,2,356,-3.6155242073898064,-3.5369305007416916,-5.198466851942074,-2.4642747701133834,0.699450345232237,0.0,1.0,"[""rp_c3a282f09dd3488748e02a63"", ""rp_b6e5da8ef0a8904820c45480"", ""rp_6505cfd57da8049f701aa401"", ""rp_b73aa0520ce7b8ad39f87285"", ""rp_ad965aac8af0dd01c769c8e4""]",0.0,UNCERTAIN,NEGATIVE,UNCERTAIN,2.7341920818286907,NOT_CHECKED_RULE_INTERNAL_VALIDATION,HIGH_CONFIDENCE_DISCOVERY,NEGATIVE,RULE_CANDIDATE,True,RULE_DISCOVERY_CHECKPOINT_60000,CATEGORY_SPECIFIC,21,0,21,1,0,0,-3.201241936320608,-2.71118213108657,-8.553913166192372,-0.22081699295466756,2.2053387535274016,0.0148,0.9852,NEGATIVE,REPLICATED_95,False,False,STRICT_ASSOCIATION_NEEDS_ISOLATION,"[""Электроника""]",[],,Replace the explicit value with a different category-valid value for the same canonical concept.,Apply only in an allowed category; change one semantic concept; preserve all other latent facts; synchronize title and attributes; reject conflicting or unknown outputs.
rule_28e4f1c6e900dd03,package_weight has different explicit values,package_weight,different_value,503,55,448,13,25,110,393,-1.4393187987340545,-1.4348231050336695,-1.7288492954386256,-1.1695519173953668,0.14270226537600975,0.0,1.0,"[""rp_a4df440b96e47d457a760e38"", ""rp_1897993610365b25cd513423"", ""rp_f6dfafb113af3580ba66c25d"", ""rp_aeb64086cdd43fcac6b32ec1"", ""rp_733ccb40297e78079d546565""]",0.5257983379262878,UNCERTAIN,NEGATIVE,UNCERTAIN,0.5592973780432589,NOT_CHECKED_RULE_INTERNAL_VALIDATION,HIGH_CONFIDENCE_DISCOVERY,NEGATIVE,RULE_CANDIDATE,True,RULE_DISCOVERY_CHECKPOINT_60000,GLOBAL,25,4,21,9,4,7,-0.9910686715185885,-0.9497167013838059,-2.16524074008459,-0.033590935958230525,0.5503422225799236,0.0214,0.9786,NEGATIVE,REPLICATED_95,False,False,READY_LABEL_0,"[""Бытовая химия"", ""Дом и сад"", ""Продукты питания"", ""Товары для животных"", ""Хобби и творчество""]","[""Галантерея и аксессуары"", ""Детские товары"", ""Канцелярские товары"", ""Красота и гигиена"", ""Мебель"", ""Спорт и отдых"", ""Строительство и ремонт"", ""Электроника""]",0.0,Replace the explicit value with a different category-valid value for the same canonical concept.,Apply only in an allowed category; change one semantic concept; preserve all other latent facts; synchronize title and attributes; reject conflicting or unknown outputs.
rule_2950346aed6f5f45,model_name has different explicit values,model_name,different_value,1741,196,1545,18,22,171,1570,-1.026711640267622,-1.026013448327535,-1.1714327764580152,-0.8753118306888659,0.07562844841197945,0.0,1.0,"[""rp_a8f297cf5b356524a4c4cfc3"", ""rp_613a730a2eedd074a0fa6c5d"", ""rp_4ba9bc05d7f77f42306243cf"", ""rp_e20d6b2c21813df600b4588d"", ""rp_eee88de3d409b6bff87826ee""]",0.3417772785532009,HETEROGENEOUS,NEGATIVE,UNCERTAIN,0.2961209457691494,NOT_CHECKED_RULE_INTERNAL_VALIDATION,HIGH_CONFIDENCE_DISCOVERY,NEGATIVE,RULE_CANDIDATE,True,RULE_DISCOVERY_CHECKPOINT_60000,GLOBAL_WITH_EXCEPTIONS,98,8,90,17,0,7,-1.3087525444942458,-1.2870393727136986,-2.0967868419661158,-0.6370375897296623,0.37665328649222696,0.0,1.0,NEGATIVE,REPLICATED_95,False,False,READY_LABEL_0,"[""Автотовары"", ""Бытовая химия"", ""Галантерея и аксессуары"", ""Детские товары"", ""Дом и сад"", ""Канцелярские товары"", ""Красота и гигиена"", ""Мебель"", ""Музыкальные инструменты"", ""Обувь"", ""Продукты питания"", ""Спорт и отдых"", ""Строительство и ремонт"", ""Товары для животных"", ""Хобби и творчество"", ""Электроника""]","[""Аптека"", ""Ювелирные изделия""]",0.0,Replace the explicit value with a different category-valid value for the same canonical concept.,Apply only in an allowed category; change one semantic concept; preserve all other latent facts; synchronize title and attributes; reject conflicting or unknown outputs.
rule_305440401e74b4db,brand has different explicit values,brand,different_value,7385,1082,6303,18,73,437,6948,-0.4951074953486301,-0.495445957710854,-0.5597957645447889,-0.43052125709568023,0.03348031884810369,0.0,1.0,"[""rp_43db8598bc6e45ac189bae3f"", ""rp_a8f297cf5b356524a4c4cfc3"", ""rp_ff704c047685e3f2d58ad895"", ""rp_f691b64ab8a1f670af3ae20a"", ""rp_8ec8a47d28d94cb7c8dd96cc""]",0.1416152666257064,UNCERTAIN,NEGATIVE,UNCERTAIN,0.12927450744910862,NOT_CHECKED_RULE_INTERNAL_VALIDATION,HIGH_CONFIDENCE_DISCOVERY,NEGATIVE,RULE_CANDIDATE,True,RULE_DISCOVERY_CHECKPOINT_60000,GLOBAL,356,52,304,18,3,25,-0.48403803050152144,-0.48083473489790607,-0.7959976709265968,-0.18656084614860208,0.15697366680863817,0.0006,0.9994,NEGATIVE,REPLICATED_95,False,False,READY_LABEL_0,"[""Автотовары"", ""Аптека"", ""Бытовая химия"", ""Галантерея и аксессуары"", ""Детские товары"", ""Дом и сад"", ""Канцелярские товары"", ""Красота и гигиена"", ""Музыкальные инструменты"", ""Обувь"", ""Продукты питания"", ""Спорт и отдых"", ""Строительство и ремонт"", ""Товары для животных"", ""Электроника"", ""Ювелирные изделия""]","[""Мебель"", ""Хобби и творчество""]",0.0,Replace the explicit value with a different category-valid value for the same canonical concept.,Apply only in an allowed category; change one semantic concept; preserve all other latent facts; synchronize title and attributes; reject conflicting or unknown outputs.
rule_35f12577457fc677,frame_shape has different explicit values,frame_shape,different_value,1016,0,1016,2,0,1,1015,-6.364141075358488,-5.869586734182119,-12.002107424077279,-3.4345860991957893,2.243279234601443,0.0,1.0,"[""rp_eca6b86df15046a33b154e48"", ""rp_118d5dbeeeab935cdd974da6"", ""rp_a28711755e2e9b55c3a4e226"", ""rp_337189206638c5d9f8d1863c"", ""rp_7bbaf16594fa31bde8fdcd9e""]",0.0,UNCERTAIN,NEGATIVE,UNCERTAIN,8.56752132488149,NOT_CHECKED_RULE_INTERNAL_VALIDATION,HIGH_CONFIDENCE_DISCOVERY,NEGATIVE,RULE_CANDIDATE,True,RULE_DISCOVERY_CHECKPOINT_60000,GLOBAL,48,0,48,2,0,0,-3.9456016806720253,-3.4670999863648273,-9.778846595919328,-0.9832119707119963,2.2463134464879615,0.0008,0.9992,NEGATIVE,REPLICATED_95,False,False,STRICT_ASSOCIATION_NEEDS_ISOLATION,"[""Аптека"", ""Галантерея и аксессуары""]",[],,Replace the explicit value with a different category-valid value for the same canonical concept.,Apply only in an allowed category; change one semantic concept; preserve all other latent facts; synchronize title and attributes; reject conflicting or unknown outputs.
rule_39c0d5b0491a7831,lens_height has different explicit values,lens_height,different_value,1059,3,1056,2,1,1,1058,-3.412020970756972,-3.3538198000946373,-4.651869425798995,-2.4725082202746425,0.5574820097638064,0.0,1.0,"[""rp_d3a6780abc20142bbb6f7fb1"", ""rp_7f4421d9fb66f9687b77b136"", ""rp_83b8e67dbaa031b50ae4f417"", ""rp_118d5dbeeeab935cdd974da6"", ""rp_1efbe949a4ee5389a38e98ab""]",0.0,UNCERTAIN,NEGATIVE,UNCERTAIN,2.1793612055243523,NOT_CHECKED_RULE_INTERNAL_VALIDATION,HIGH_CONFIDENCE_DISCOVERY,NEGATIVE,RULE_CANDIDATE,True,RULE_DISCOVERY_CHECKPOINT_60000,GLOBAL,55,0,55,2,0,0,-3.9599408331649277,-3.473539230455084,-9.619848104395722,-1.101464630435915,2.2161250772073657,0.0004,0.9996,NEGATIVE,REPLICATED_95,False,False,STRICT_ASSOCIATION_NEEDS_ISOLATION,"[""Аптека"", ""Галантерея и аксессуары""]",[],,Replace the explicit value with a different category-valid value for the same canonical concept.,Apply only in an allowed category; change one semantic concept; preserve all other latent facts; synchronize title and attributes; reject conflicting or unknown outputs.
rule_4aa0f48b79ae60d8,color has different explicit values,color,different_value,12159,1226,10933,18,384,1579,10580,-0.9150629261104074,-0.9146743715766995,-0.9765318758479397,-0.8557425686324175,0.030526834912988157,0.0,1.0,"[""rp_43db8598bc6e45ac189bae3f"", ""rp_e060781fcc427cbc0ece3caf"", ""rp_a8f297cf5b356524a4c4cfc3"", ""rp_ee74a55fec7ec1b370ef8fc4"", ""rp_1811907e3111348a7afa4042""]",0.12740714673459297,UNCERTAIN,NEGATIVE,UNCERTAIN,0.12078930721552217,NOT_CHECKED_RULE_INTERNAL_VALIDATION,HIGH_CONFIDENCE_DISCOVERY,NEGATIVE,RULE_CANDIDATE,True,RULE_DISCOVERY_CHECKPOINT_60000,GLOBAL,607,69,538,18,24,89,-0.7722342998546672,-0.7698801284546322,-1.0453336109357723,-0.508176918268296,0.13625769311528982,0.0,1.0,NEGATIVE,REPLICATED_95,False,False,READY_LABEL_0,"[""Автотовары"", ""Аптека"", ""Бытовая химия"", ""Галантерея и аксессуары"", ""Детские товары"", ""Дом и сад"", ""Канцелярские товары"", ""Красота и гигиена"", ""Мебель"", ""Музыкальные инструменты"", ""Обувь"", ""Продукты питания"", ""Спорт и отдых"", ""Строительство и ремонт"", ""Товары для животных"", ""Хобби и творчество"", ""Электроника"", ""Ювелирные изделия""]",[],0.0,Replace the explicit value with a different category-valid value for the same canonical concept.,Apply only in an allowed category; change one semantic concept; preserve all other latent facts; synchronize title and attributes; reject conflicting or unknown outputs.
