anchor_type,concept,strength,category,support,positive,negative,match_prevalence
brand,brand,weak,Автотовары,1522,360.0,1162.0,0.23653088042049936
brand,brand,weak,Аптека,1119,154.0,965.0,0.13762287756925826
brand,brand,weak,Бытовая химия,2364,1135.0,1229.0,0.48011844331641285
brand,brand,weak,Галантерея и аксессуары,1212,168.0,1044.0,0.13861386138613863
brand,brand,weak,Детские товары,811,439.0,372.0,0.5413070283600493
brand,brand,weak,Дом и сад,1102,257.0,845.0,0.23321234119782214
brand,brand,weak,Канцелярские товары,1421,497.0,924.0,0.3497536945812808
brand,brand,weak,Красота и гигиена,2003,762.0,1241.0,0.38042935596605093
brand,brand,weak,Мебель,1328,226.0,1102.0,0.17018072289156627
brand,brand,weak,Музыкальные инструменты,1396,453.0,943.0,0.32449856733524357
brand,brand,weak,Обувь,1921,260.0,1661.0,0.1353461738677772
brand,brand,weak,Продукты питания,2076,589.0,1487.0,0.2837186897880539
brand,brand,weak,Спорт и отдых,1576,424.0,1152.0,0.26903553299492383
brand,brand,weak,Строительство и ремонт,1487,419.0,1068.0,0.28177538668459984
brand,brand,weak,Товары для животных,2144,735.0,1409.0,0.34281716417910446
brand,brand,weak,Хобби и творчество,1019,423.0,596.0,0.4151128557409225
brand,brand,weak,Электроника,898,264.0,634.0,0.29398663697104677
brand,brand,weak,Ювелирные изделия,1913,256.0,1657.0,0.1338212232096184
exact_model,exact_model,strong,Детские товары,1,0.0,1.0,0.0
exact_model,exact_model,strong,Музыкальные инструменты,1,1.0,0.0,1.0
exact_model,exact_model,strong,Строительство и ремонт,1,1.0,0.0,1.0
exact_model,exact_model,strong,Электроника,3,3.0,0.0,1.0
exact_model,model_name,strong,Автотовары,5,3.0,2.0,0.6
exact_model,model_name,strong,Аптека,29,15.0,14.0,0.5172413793103449
exact_model,model_name,strong,Бытовая химия,43,30.0,13.0,0.6976744186046512
exact_model,model_name,strong,Галантерея и аксессуары,29,19.0,10.0,0.6551724137931034
exact_model,model_name,strong,Детские товары,557,374.0,183.0,0.6714542190305206
exact_model,model_name,strong,Дом и сад,116,65.0,51.0,0.5603448275862069
exact_model,model_name,strong,Канцелярские товары,54,29.0,25.0,0.5370370370370371
exact_model,model_name,strong,Красота и гигиена,179,88.0,91.0,0.49162011173184356
exact_model,model_name,strong,Мебель,401,81.0,320.0,0.20199501246882792
exact_model,model_name,strong,Музыкальные инструменты,39,32.0,7.0,0.8205128205128205
exact_model,model_name,strong,Обувь,21,6.0,15.0,0.2857142857142857
exact_model,model_name,strong,Продукты питания,83,42.0,41.0,0.5060240963855421
exact_model,model_name,strong,Спорт и отдых,303,74.0,229.0,0.24422442244224424
exact_model,model_name,strong,Строительство и ремонт,22,11.0,11.0,0.5
exact_model,model_name,strong,Товары для животных,109,62.0,47.0,0.5688073394495413
exact_model,model_name,strong,Хобби и творчество,280,248.0,32.0,0.8857142857142857
exact_model,model_name,strong,Электроника,25,17.0,8.0,0.68
exact_model,model_name,strong,Ювелирные изделия,8,5.0,3.0,0.625
exact_model,model_number,strong,Автотовары,35,27.0,8.0,0.7714285714285715
exact_model,model_number,strong,Аптека,329,22.0,307.0,0.0668693009118541
exact_model,model_number,strong,Бытовая химия,16,11.0,5.0,0.6875
exact_model,model_number,strong,Галантерея и аксессуары,30,24.0,6.0,0.8
exact_model,model_number,strong,Детские товары,122,99.0,23.0,0.8114754098360656
exact_model,model_number,strong,Дом и сад,56,42.0,14.0,0.75
exact_model,model_number,strong,Канцелярские товары,130,68.0,62.0,0.5230769230769231
exact_model,model_number,strong,Красота и гигиена,29,23.0,6.0,0.7931034482758621
exact_model,model_number,strong,Мебель,165,62.0,103.0,0.37575757575757573
exact_model,model_number,strong,Музыкальные инструменты,472,367.0,105.0,0.777542372881356
exact_model,model_number,strong,Обувь,12,8.0,4.0,0.6666666666666666
exact_model,model_number,strong,Продукты питания,7,2.0,5.0,0.2857142857142857
exact_model,model_number,strong,Спорт и отдых,301,141.0,160.0,0.4684385382059801
exact_model,model_number,strong,Строительство и ремонт,298,219.0,79.0,0.7348993288590604
exact_model,model_number,strong,Товары для животных,36,24.0,12.0,0.6666666666666666
exact_model,model_number,strong,Хобби и творчество,57,31.0,26.0,0.543859649122807
exact_model,model_number,strong,Электроника,370,215.0,155.0,0.581081081081081
exact_model,model_number,strong,Ювелирные изделия,60,38.0,22.0,0.6333333333333333
exact_sku,exact_sku,strong,Галантерея и аксессуары,1,1.0,0.0,1.0
exact_sku,exact_sku,strong,Дом и сад,2,2.0,0.0,1.0
exact_sku,exact_sku,strong,Канцелярские товары,3,3.0,0.0,1.0
exact_sku,exact_sku,strong,Мебель,4,4.0,0.0,1.0
exact_sku,exact_sku,strong,Спорт и отдых,1,1.0,0.0,1.0
exact_sku,exact_sku,strong,Строительство и ремонт,2,2.0,0.0,1.0
exact_sku,exact_sku,strong,Хобби и творчество,2,2.0,0.0,1.0
exact_sku,exact_sku,strong,Электроника,1,1.0,0.0,1.0
exact_sku,sku,strong,Бытовая химия,10,10.0,0.0,1.0
exact_sku,sku,strong,Детские товары,4,4.0,0.0,1.0
exact_sku,sku,strong,Дом и сад,17,15.0,2.0,0.8823529411764706
exact_sku,sku,strong,Канцелярские товары,1,1.0,0.0,1.0
exact_sku,sku,strong,Мебель,23,21.0,2.0,0.9130434782608695
exact_sku,sku,strong,Музыкальные инструменты,2,2.0,0.0,1.0
exact_sku,sku,strong,Продукты питания,3,0.0,3.0,0.0
exact_sku,sku,strong,Спорт и отдых,3,3.0,0.0,1.0
exact_sku,sku,strong,Строительство и ремонт,9,5.0,4.0,0.5555555555555556
exact_sku,sku,strong,Товары для животных,1,0.0,1.0,0.0
exact_sku,sku,strong,Хобби и творчество,6,5.0,1.0,0.8333333333333334
exact_sku,sku,strong,Электроника,4,3.0,1.0,0.75
exact_sku,sku,strong,Ювелирные изделия,12,12.0,0.0,1.0
manufacturer_part_number,manufacturer_part_number,strong,Автотовары,206,194.0,12.0,0.941747572815534
manufacturer_part_number,manufacturer_part_number,strong,Бытовая химия,4,3.0,1.0,0.75
