rule_id,category
rule_0a862a81c61e7fbd,Аптека
rule_18a60636e63690ba,Автотовары
rule_18a60636e63690ba,Аптека
rule_18a60636e63690ba,Бытовая химия
rule_18a60636e63690ba,Галантерея и аксессуары
rule_18a60636e63690ba,Детские товары
rule_18a60636e63690ba,Дом и сад
rule_18a60636e63690ba,Канцелярские товары
rule_18a60636e63690ba,Красота и гигиена
rule_18a60636e63690ba,Мебель
rule_18a60636e63690ba,Музыкальные инструменты
rule_18a60636e63690ba,Продукты питания
rule_18a60636e63690ba,Спорт и отдых
rule_18a60636e63690ba,Строительство и ремонт
rule_18a60636e63690ba,Товары для животных
rule_18a60636e63690ba,Хобби и творчество
rule_18a60636e63690ba,Электроника
rule_1ffb8ef68c1848b0,Бытовая химия
rule_1ffb8ef68c1848b0,Дом и сад
rule_1ffb8ef68c1848b0,Красота и гигиена
rule_1ffb8ef68c1848b0,Продукты питания
rule_1ffb8ef68c1848b0,Спорт и отдых
rule_1ffb8ef68c1848b0,Товары для животных
rule_28e4f1c6e900dd03,Бытовая химия
rule_28e4f1c6e900dd03,Дом и сад
rule_28e4f1c6e900dd03,Продукты питания
rule_28e4f1c6e900dd03,Товары для животных
rule_28e4f1c6e900dd03,Хобби и творчество
rule_2950346aed6f5f45,Автотовары
rule_2950346aed6f5f45,Бытовая химия
rule_2950346aed6f5f45,Галантерея и аксессуары
rule_2950346aed6f5f45,Детские товары
rule_2950346aed6f5f45,Дом и сад
rule_2950346aed6f5f45,Канцелярские товары
rule_2950346aed6f5f45,Красота и гигиена
rule_2950346aed6f5f45,Мебель
rule_2950346aed6f5f45,Музыкальные инструменты
rule_2950346aed6f5f45,Обувь
rule_2950346aed6f5f45,Продукты питания
rule_2950346aed6f5f45,Спорт и отдых
rule_2950346aed6f5f45,Строительство и ремонт
rule_2950346aed6f5f45,Товары для животных
rule_2950346aed6f5f45,Хобби и творчество
rule_2950346aed6f5f45,Электроника
rule_305440401e74b4db,Автотовары
rule_305440401e74b4db,Аптека
rule_305440401e74b4db,Бытовая химия
rule_305440401e74b4db,Галантерея и аксессуары
rule_305440401e74b4db,Детские товары
rule_305440401e74b4db,Дом и сад
rule_305440401e74b4db,Канцелярские товары
rule_305440401e74b4db,Красота и гигиена
rule_305440401e74b4db,Музыкальные инструменты
