model,split,threshold,examples,correct,errors,accuracy,true_positive,false_negative,true_negative,false_positive,precision,recall,specificity,unique_correct,unique_errors,unique_correct_positive,unique_correct_negative,unique_errors_positive,unique_errors_negative
gte,ordinary,0.3731314539909363,12000,10359,1641,0.86325,2359,759,8000,882,0.7278617710583153,0.7565747273893522,0.9006980409817609,78,446,33,45,147,299
rumodernbert,ordinary,0.39473289251327515,12000,10420,1580,0.8683333333333333,2393,725,8027,855,0.7367610837438424,0.7674791533033997,0.9037378968700743,103,410,54,49,134,276
bge,ordinary,0.42573681473731995,12000,10528,1472,0.8773333333333333,2310,808,8218,664,0.7767316745124412,0.7408595253367544,0.9252420625985138,78,277,17,61,180,97
minilm,ordinary,0.37262552976608276,12000,10473,1527,0.87275,2415,703,8058,824,0.7456004939796234,0.7745349583066068,0.9072281017788786,126,380,65,61,123,257
gte,hard,0.3731314539909363,5814,3950,1864,0.6793945648434813,730,751,3220,1113,0.39609332609875203,0.49291019581363943,0.7431340872374798,76,279,30,46,86,193
rumodernbert,hard,0.39473289251327515,5814,3963,1851,0.6816305469556243,752,729,3211,1122,0.4012806830309498,0.5077650236326806,0.7410570043849527,63,253,33,30,67,186
bge,hard,0.42573681473731995,5814,4074,1740,0.7007223942208463,718,763,3356,977,0.42359882005899707,0.48480756245779877,0.7745211170090007,94,173,15,79,83,90
minilm,hard,0.37262552976608276,5814,4072,1742,0.7003783969728242,767,714,3305,1028,0.42729805013927574,0.5178933153274814,0.7627509808446804,104,185,35,69,54,131
gte,OOD,0.3731314539909363,41171,35162,6009,0.8540477520584878,5091,4064,30071,1945,0.723564525298465,0.5560895685417805,0.9392491254372813,324,1296,215,109,470,826
rumodernbert,OOD,0.39473289251327515,41171,35492,5679,0.8620631026693546,5210,3945,30282,1734,0.7502880184331797,0.5690879300928454,0.945839580209895,355,997,242,113,378,619
bge,OOD,0.42573681473731995,41171,35531,5640,0.8630103713779116,4914,4241,30617,1399,0.7783937905908442,0.5367558711086837,0.9563030984507747,230,833,83,147,515,318
minilm,OOD,0.37262552976608276,41171,35374,5797,0.8591970076024386,5187,3968,30187,1829,0.7393101482326112,0.5665756417258329,0.9428723138430785,370,1130,262,108,421,709
