split,model_a,model_b,threshold_a,threshold_b,pearson,spearman,pearson_positive,spearman_positive,pearson_negative,spearman_negative,overall_n,overall_both_correct,overall_both_wrong,overall_a_correct_b_wrong,overall_b_correct_a_wrong,positive_n,positive_both_correct,positive_both_wrong,positive_a_correct_b_wrong,positive_b_correct_a_wrong,negative_n,negative_both_correct,negative_both_wrong,negative_a_correct_b_wrong,negative_b_correct_a_wrong,disagreement_rate,oracle_accuracy
ordinary,gte,rumodernbert,0.3731314539909363,0.39473289251327515,0.9347960610427305,0.9257118684003619,0.8811899437224869,0.8763817836345147,0.8543186050240515,0.8682601199855788,12000,9964,1185,395,456,3118,2213,579,146,180,8882,7751,606,249,276,0.07091666666666667,0.90125
ordinary,gte,bge,0.3731314539909363,0.42573681473731995,0.9456748112580401,0.939646538796421,0.9009832078752515,0.9034442642267617,0.8762156591141294,0.892388951023351,12000,10059,1172,300,469,3118,2181,630,178,129,8882,7878,542,122,340,0.06408333333333334,0.9023333333333333
ordinary,gte,minilm,0.3731314539909363,0.37262552976608276,0.9306480795333014,0.920661040608414,0.862422122420628,0.8638189765795221,0.8526776386647779,0.8585958097563395,12000,9984,1152,375,489,3118,2216,560,143,199,8882,7768,592,232,290,0.072,0.904
ordinary,rumodernbert,bge,0.39473289251327515,0.42573681473731995,0.94793433859534,0.9380811243941609,0.9000591323483442,0.9017583135240305,0.8815240314423325,0.8877664411593423,12000,10106,1158,314,422,3118,2199,614,194,111,8882,7907,544,120,311,0.06133333333333333,0.9035
ordinary,rumodernbert,minilm,0.39473289251327515,0.37262552976608276,0.9313260410073722,0.9214225698220675,0.8659181194624492,0.8623628020786557,0.8453383073024595,0.8581431696325065,12000,9991,1098,429,482,3118,2233,543,160,182,8882,7758,555,269,300,0.07591666666666666,0.9085
ordinary,bge,minilm,0.42573681473731995,0.37262552976608276,0.9500941073951363,0.9358281059855856,0.8992841925046912,0.9020501169413438,0.8867441946332888,0.8810928850241762,12000,10122,1121,406,351,3118,2204,597,106,211,8882,7918,524,300,140,0.06308333333333334,0.9065833333333333
hard,gte,rumodernbert,0.3731314539909363,0.39473289251327515,0.9045696946505928,0.9209239217137325,0.8808800473819705,0.8911596528104941,0.9054256586449673,0.9175805651758725,5814,3683,1584,267,280,1481,647,646,83,105,4333,3036,938,184,175,0.09408324733402133,0.7275541795665634
hard,gte,bge,0.3731314539909363,0.42573681473731995,0.9147661944703975,0.934031012679641,0.9067104287636493,0.9185036511605985,0.910418836915995,0.9296728461356671,5814,3741,1531,209,333,1481,638,671,92,80,4333,3103,860,117,253,0.0932232542139663,0.7366701066391469
hard,gte,minilm,0.3731314539909363,0.37262552976608276,0.8955769169191007,0.9179152438406973,0.8843482220914849,0.8976866417627377,0.8899914381446182,0.9120032172576659,5814,3736,1528,214,336,1481,661,645,69,106,4333,3075,883,145,230,0.09459924320605435,0.7371861025111799
hard,rumodernbert,bge,0.39473289251327515,0.42573681473731995,0.9222761131818729,0.9350086003773497,0.9053280629112745,0.9118034021774906,0.9221446122287253,0.9324515747060975,5814,3768,1545,195,306,1481,654,665,98,64,4333,3114,880,97,242,0.08617131062951497,0.7342621259029928
hard,rumodernbert,minilm,0.39473289251327515,0.37262552976608276,0.9004775332222632,0.9207508886347635,0.8818724825156938,0.8929797382687543,0.8977791113037444,0.9166907082558844,5814,3752,1531,211,320,1481,672,634,80,95,4333,3080,897,131,225,0.0913312693498452,0.7366701066391469
hard,bge,minilm,0.42573681473731995,0.37262552976608276,0.9219829898000578,0.9388303644679842,0.9088734120375009,0.9197393622268415,0.9174183432552278,0.9340830105933243,5814,3818,1486,256,254,1481,656,652,62,111,4333,3162,834,194,143,0.08771929824561403,0.7444100447196422
OOD,gte,rumodernbert,0.3731314539909363,0.39473289251327515,0.9198212278174788,0.8659321884091578,0.8998862392796138,0.903555275174645,0.8187567625945436,0.79485730639261,41171,34063,4580,1099,1429,9155,4569,3423,522,641,32016,29494,1157,577,788,0.06140244346748925,0.8887566490976658
OOD,gte,bge,0.3731314539909363,0.42573681473731995,0.9326627844213908,0.8929284851107113,0.9195675221660384,0.9249614183199225,0.839896196943193,0.8358856124661285,41171,34212,4690,950,1319,9155,4484,3634,607,430,32016,29728,1056,343,889,0.05511160768502101,0.8860848655607102
OOD,gte,minilm,0.3731314539909363,0.37262552976608276,0.916329712435953,0.8586973690202081,0.9034950590464915,0.9109628265416845,0.8008645378538339,0.7811644858482961,41171,33927,4562,1235,1447,9155,4538,3415,553,649,32016,29389,1147,682,798,0.06514294041922712,0.8891938500400768
OOD,rumodernbert,bge,0.39473289251327515,0.42573681473731995,0.9379658989657944,0.8924103075320593,0.9205170844922224,0.9248469368200259,0.8532504818498049,0.8322630131896018,41171,34462,4610,1030,1069,9155,4563,3594,647,351,32016,29899,1016,383,718,0.05098248767336232,0.8880279808603143
OOD,rumodernbert,minilm,0.39473289251327515,0.37262552976608276,0.9218290475305926,0.8592554053939414,0.9022084150917018,0.9063786103386083,0.8186805668013607,0.7804962311596984,41171,34179,4484,1313,1195,9155,4616,3374,594,571,32016,29563,1110,719,624,0.06091666464258823,0.8910883874571908
OOD,bge,minilm,0.42573681473731995,0.37262552976608276,0.9355766397989486,0.886574594788195,0.9208377740485443,0.9291805255251736,0.8457959082476894,0.8223734655542041,41171,34346,4612,1185,1028,9155,4514,3568,400,673,32016,29832,1044,785,355,0.053751426975298146,0.8879794029778242
