models,aggregation_method,ordinary_AP,hard_AP,OOD_AP,mean_AP
bge,mean_probability,0.7822219461825138,0.3759746515593398,0.6412704537924441,0.5998223505114325
bge,mean_rank,0.7822219461825138,0.3759746515593398,0.6412704537924441,0.5998223505114325
gte,mean_probability,0.7618501232274322,0.3484452464049834,0.6150328087192327,0.5751093927838827
gte,mean_rank,0.7618501232274322,0.3484452464049834,0.6150328087192327,0.5751093927838827
minilm,mean_probability,0.7825082946505484,0.3680746999688508,0.6165228524432529,0.5890352823542174
minilm,mean_rank,0.7825082946505484,0.3680746999688508,0.6165228524432529,0.5890352823542174
rumodernbert,mean_probability,0.7732960589198132,0.35039853081965616,0.6330223628559233,0.5855723175317976
rumodernbert,mean_rank,0.7732960589198132,0.35039853081965616,0.6330223628559233,0.5855723175317976
bge+minilm,mean_probability,0.7928572484420844,0.37347953928110134,0.6413150923060148,0.6025506266764001
bge+minilm,mean_rank,0.7923476788936228,0.3746986500183975,0.6409761800802108,0.602674169664077
gte+bge,mean_probability,0.7834450520722874,0.3628955529607122,0.640563904810183,0.5956348366143942
gte+bge,mean_rank,0.7827619801765358,0.362647008053193,0.6403326931434385,0.595247227124389
gte+minilm,mean_probability,0.785762526534018,0.3583048540970297,0.6308001838680848,0.5916225214997108
gte+minilm,mean_rank,0.7855879619324353,0.359126006509286,0.6318978625057504,0.5922039436491572
gte+rumodernbert,mean_probability,0.7813609410301048,0.3493802519244706,0.6377716506479769,0.5895042812008507
gte+rumodernbert,mean_rank,0.7814207787857365,0.3496327518589856,0.6376766629667001,0.5895767312038074
rumodernbert+bge,mean_probability,0.788812108779721,0.3632315672981379,0.6494011463110853,0.6004816074629814
rumodernbert+bge,mean_rank,0.7884958562719356,0.36309666447467465,0.6497095872511751,0.6004340359992618
rumodernbert+minilm,mean_probability,0.7928933114262873,0.35917108025019906,0.639397199484663,0.5971538637203831
rumodernbert+minilm,mean_rank,0.7934311778730968,0.3589004865792636,0.6387063338401617,0.5970126660975074
gte+bge+minilm,mean_probability,0.7914169285930363,0.36508925528718517,0.6425717922692232,0.5996926587164816
gte+bge+minilm,mean_rank,0.7908171086302295,0.3659178160282528,0.6425836128104349,0.5997728458229724
gte+rumodernbert+bge,mean_probability,0.7887757628174629,0.35732901023135155,0.6474737746837116,0.5978595159108421
gte+rumodernbert+bge,mean_rank,0.7879332879064589,0.35729645294217405,0.6473095476074382,0.5975130961520237
gte+rumodernbert+minilm,mean_probability,0.7918555183194457,0.35539931627152455,0.641654943451194,0.5963032593473881
gte+rumodernbert+minilm,mean_rank,0.7916494899083278,0.35557095534380395,0.641459935143956,0.5962267934653626
rumodernbert+bge+minilm,mean_probability,0.7966345880718311,0.3661327888052932,0.648387111308492,0.6037181627285387
rumodernbert+bge+minilm,mean_rank,0.7963678589885742,0.36587328988171014,0.6476664131283372,0.6033025206662072
gte+rumodernbert+bge+minilm,mean_probability,0.7945371890527914,0.36111030374085945,0.6477346258562806,0.6011273728833105
gte+rumodernbert+bge+minilm,mean_rank,0.7941296256899478,0.3614119536593421,0.6472982553565322,0.6009466115686073
