candidate_status,level,scope_category,concept,relation,target_label,all_pair_support,all_singleton_support,all_singleton_label0,all_singleton_label1,target_probability,target_wilson_lcb95,validation_singleton_support,validation_target_probability,observed_category_count,categories_with_5_singletons,discovery_q_value_label0,discovery_q_value_label1,all_example_pair_ids,all_example_value_pairs,rule_description_ru
provisional_lcb80_holdout_consistent,category_concept,Аптека,optical_power,different_value,0,1188,48,48,0,1.0,0.9258998703338824,7,1.0,3,1,4.6961011563851046e-05,1.0,rp_74cd0be132fadd0f21dad35e;rp_e685f396514d9431b6af86ba;rp_f29d5c7c2fb8b8086ff942c9,"+3.25 | -0,75 | -1.50",В категории Аптека различие по optical_power (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Музыкальные инструменты,model,different_value,0,1347,211,195,16,0.9241706161137441,0.880384456543803,47,0.9148936170212766,18,13,3.782058103142336e-10,1.0,rp_dce2dc381cac8f63a235a036;rp_f18c6ab9c31ceafbf52d1252;rp_164f3815466ac971039bd3c5,dp 300 | m15c-gg | ftc-21,В категории Музыкальные инструменты различие по model (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Продукты питания,package_quantity,different_value,0,542,46,44,2,0.9565217391304348,0.8546774097378094,7,0.8571428571428571,17,14,1.7646445887418327e-05,1.0,rp_ae90af2ba531aaa90b6da8f6;rp_d09700d977a1e8c5bc10ce41;rp_44ab5f93b5eb239bb92856f0,6 | 10 штук | 1,В категории Продукты питания различие по package_quantity (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Строительство и ремонт,package_quantity,different_value,0,278,34,33,1,0.9705882352941176,0.8508442670731406,9,0.8888888888888888,17,14,0.07518644500051376,1.0,rp_7de5851c5ed52c8181c76741;rp_801da783ed79f3e01d88af07;rp_eaad01a8220d86b610d9588b,1 | 5шт | 3,В категории Строительство и ремонт различие по package_quantity (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Автотовары,model,different_value,0,500,197,175,22,0.8883248730964467,0.8367089939313668,47,0.8297872340425532,18,13,0.1721226931408591,1.0,rp_e40136ecdd32dda3b17b0b40;rp_69829cd61bbd3603b737b972;rp_96159d9dd04609f8e2b35ff1,lf825m | db43024 | 1 987 946 065,В категории Автотовары различие по model (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Ювелирные изделия,gold_color,different_value,0,139,19,19,0,1.0,0.8318207759473837,5,1.0,2,1,1.0,1.0,rp_99751c6e34757884d39eaa3b;rp_b2224127f0a0f7388bc551f5;rp_f16abd9721dfae76999626b3,белое золото | белое | желтое,В категории Ювелирные изделия различие по gold_color (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,global_concept,__ALL__,model,different_value,0,8553,795,672,123,0.8452830188679246,0.8184900102086264,181,0.861878453038674,18,13,2.5868424371888376e-33,1.0,rp_dce2dc381cac8f63a235a036;rp_951d9169c770acd97c7f16bb;rp_91b93592f41e8f51f5158d97,dp 300 | №82 | 6s7e0ea-wpro,В нескольких категориях различие по model (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Бытовая химия,package_quantity,different_value,0,421,99,88,11,0.8888888888888888,0.8119109140413756,24,0.8333333333333334,17,14,3.782058103142336e-10,1.0,rp_7e296ca7c6c71c2bd51a27e6;rp_a64d7b0e2e62cf8cc420f426;rp_a327e4747d2d7b2bdc5c2492,90 шт | 3 | 4 шт,В категории Бытовая химия различие по package_quantity (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Автотовары,part_number,different_value,0,618,127,111,16,0.8740157480314961,0.8051259066159591,22,0.9545454545454546,6,1,1.0,1.0,rp_8c68a3a7013db8ffa2a15036;rp_7d946815337263578dafb82f;rp_23364383a3e61aed18e9d11e,801015 | nab-353 | teb1734r,В категории Автотовары различие по part_number (different_value) связано с меткой 0.
provisional_lcb80_holdout_consistent,category_concept,Электроника,compatible_model,different_value,0,157,33,31,2,0.9393939393939394,0.8039375519135219,13,1.0,5,1,1.0,1.0,rp_10816c15573fe1c4817c6e9b;rp_2a7f4277f0aa8c741b82be1c;rp_510e223b9efb06c9029f4800,oppo a16 | honor 9 lite | swift 3 sf315-41 sf315-51g sf315-52g a315-22 a317-33 a315-56 a317-32 a315-23 a514-53,В категории Электроника различие по compatible_model (different_value) связано с меткой 0.
