level,target_label,minimum_singleton_support,minimum_wilson_lcb95,selected_rules,validation_consistent_rules,median_selected_probability
category_concept,0,1,0.8,10,10,0.9479578392621871
category_concept,0,1,0.9,1,1,1.0
category_concept,0,1,0.95,0,0,
category_concept,0,2,0.8,10,10,0.9479578392621871
category_concept,0,2,0.9,1,1,1.0
category_concept,0,2,0.95,0,0,
category_concept,0,3,0.8,10,10,0.9479578392621871
category_concept,0,3,0.9,1,1,1.0
category_concept,0,3,0.95,0,0,
category_concept,0,5,0.8,10,10,0.9479578392621871
category_concept,0,5,0.9,1,1,1.0
category_concept,0,5,0.95,0,0,
category_concept,0,10,0.8,10,10,0.9479578392621871
category_concept,0,10,0.9,1,1,1.0
category_concept,0,10,0.95,0,0,
category_concept,0,20,0.8,8,8,0.9317822777538418
category_concept,0,20,0.9,1,1,1.0
category_concept,0,20,0.95,0,0,
category_concept,0,50,0.8,4,4,0.8886068809926677
category_concept,0,50,0.9,0,0,
category_concept,0,50,0.95,0,0,
category_concept,1,1,0.8,0,0,
category_concept,1,1,0.9,0,0,
category_concept,1,1,0.95,0,0,
category_concept,1,2,0.8,0,0,
category_concept,1,2,0.9,0,0,
category_concept,1,2,0.95,0,0,
category_concept,1,3,0.8,0,0,
category_concept,1,3,0.9,0,0,
category_concept,1,3,0.95,0,0,
category_concept,1,5,0.8,0,0,
category_concept,1,5,0.9,0,0,
category_concept,1,5,0.95,0,0,
category_concept,1,10,0.8,0,0,
category_concept,1,10,0.9,0,0,
category_concept,1,10,0.95,0,0,
category_concept,1,20,0.8,0,0,
category_concept,1,20,0.9,0,0,
category_concept,1,20,0.95,0,0,
category_concept,1,50,0.8,0,0,
category_concept,1,50,0.9,0,0,
category_concept,1,50,0.95,0,0,
category_exact,0,1,0.8,0,0,
category_exact,0,1,0.9,0,0,
category_exact,0,1,0.95,0,0,
category_exact,0,2,0.8,0,0,
category_exact,0,2,0.9,0,0,
category_exact,0,2,0.95,0,0,
category_exact,0,3,0.8,0,0,
category_exact,0,3,0.9,0,0,
category_exact,0,3,0.95,0,0,
category_exact,0,5,0.8,0,0,
category_exact,0,5,0.9,0,0,
category_exact,0,5,0.95,0,0,
category_exact,0,10,0.8,0,0,
category_exact,0,10,0.9,0,0,
category_exact,0,10,0.95,0,0,
category_exact,0,20,0.8,0,0,
category_exact,0,20,0.9,0,0,
category_exact,0,20,0.95,0,0,
category_exact,0,50,0.8,0,0,
category_exact,0,50,0.9,0,0,
category_exact,0,50,0.95,0,0,
category_exact,1,1,0.8,0,0,
category_exact,1,1,0.9,0,0,
category_exact,1,1,0.95,0,0,
category_exact,1,2,0.8,0,0,
category_exact,1,2,0.9,0,0,
category_exact,1,2,0.95,0,0,
category_exact,1,3,0.8,0,0,
category_exact,1,3,0.9,0,0,
category_exact,1,3,0.95,0,0,
category_exact,1,5,0.8,0,0,
category_exact,1,5,0.9,0,0,
category_exact,1,5,0.95,0,0,
category_exact,1,10,0.8,0,0,
category_exact,1,10,0.9,0,0,
category_exact,1,10,0.95,0,0,
category_exact,1,20,0.8,0,0,
category_exact,1,20,0.9,0,0,
category_exact,1,20,0.95,0,0,
category_exact,1,50,0.8,0,0,
category_exact,1,50,0.9,0,0,
category_exact,1,50,0.95,0,0,
global_concept,0,1,0.8,4,4,0.9705882352941176
global_concept,0,1,0.9,1,1,1.0
global_concept,0,1,0.95,0,0,
global_concept,0,2,0.8,4,4,0.9705882352941176
global_concept,0,2,0.9,1,1,1.0
global_concept,0,2,0.95,0,0,
global_concept,0,3,0.8,4,4,0.9705882352941176
global_concept,0,3,0.9,1,1,1.0
global_concept,0,3,0.95,0,0,
global_concept,0,5,0.8,4,4,0.9705882352941176
global_concept,0,5,0.9,1,1,1.0
global_concept,0,5,0.95,0,0,
global_concept,0,10,0.8,4,4,0.9705882352941176
global_concept,0,10,0.9,1,1,1.0
global_concept,0,10,0.95,0,0,
global_concept,0,20,0.8,3,3,0.9411764705882353
global_concept,0,20,0.9,1,1,1.0
global_concept,0,20,0.95,0,0,
global_concept,0,50,0.8,1,1,0.8452830188679246
global_concept,0,50,0.9,0,0,
global_concept,0,50,0.95,0,0,
global_concept,1,1,0.8,0,0,
global_concept,1,1,0.9,0,0,
global_concept,1,1,0.95,0,0,
global_concept,1,2,0.8,0,0,
global_concept,1,2,0.9,0,0,
global_concept,1,2,0.95,0,0,
global_concept,1,3,0.8,0,0,
global_concept,1,3,0.9,0,0,
global_concept,1,3,0.95,0,0,
global_concept,1,5,0.8,0,0,
global_concept,1,5,0.9,0,0,
global_concept,1,5,0.95,0,0,
global_concept,1,10,0.8,0,0,
global_concept,1,10,0.9,0,0,
global_concept,1,10,0.95,0,0,
global_concept,1,20,0.8,0,0,
global_concept,1,20,0.9,0,0,
global_concept,1,20,0.95,0,0,
global_concept,1,50,0.8,0,0,
global_concept,1,50,0.9,0,0,
global_concept,1,50,0.95,0,0,
