level,target_label,minimum_singleton_support,minimum_wilson_lcb95,selected_rules,validation_consistent_rules,median_selected_probability
category_concept,0,1,0.8,29,29,0.9264705882352942
category_concept,0,1,0.9,3,3,1.0
category_concept,0,1,0.95,1,1,1.0
category_concept,0,2,0.8,29,29,0.9264705882352942
category_concept,0,2,0.9,3,3,1.0
category_concept,0,2,0.95,1,1,1.0
category_concept,0,3,0.8,29,29,0.9264705882352942
category_concept,0,3,0.9,3,3,1.0
category_concept,0,3,0.95,1,1,1.0
category_concept,0,5,0.8,29,29,0.9264705882352942
category_concept,0,5,0.9,3,3,1.0
category_concept,0,5,0.95,1,1,1.0
category_concept,0,10,0.8,29,29,0.9264705882352942
category_concept,0,10,0.9,3,3,1.0
category_concept,0,10,0.95,1,1,1.0
category_concept,0,20,0.8,28,28,0.9196111330438216
category_concept,0,20,0.9,3,3,1.0
category_concept,0,20,0.95,1,1,1.0
category_concept,0,50,0.8,20,20,0.8988993130379912
category_concept,0,50,0.9,2,2,0.9938271604938271
category_concept,0,50,0.95,1,1,1.0
category_concept,1,1,0.8,2,2,0.8666286768696407
category_concept,1,1,0.9,0,0,
category_concept,1,1,0.95,0,0,
category_concept,1,2,0.8,2,2,0.8666286768696407
category_concept,1,2,0.9,0,0,
category_concept,1,2,0.95,0,0,
category_concept,1,3,0.8,2,2,0.8666286768696407
category_concept,1,3,0.9,0,0,
category_concept,1,3,0.95,0,0,
category_concept,1,5,0.8,2,2,0.8666286768696407
category_concept,1,5,0.9,0,0,
category_concept,1,5,0.95,0,0,
category_concept,1,10,0.8,2,2,0.8666286768696407
category_concept,1,10,0.9,0,0,
category_concept,1,10,0.95,0,0,
category_concept,1,20,0.8,2,2,0.8666286768696407
category_concept,1,20,0.9,0,0,
category_concept,1,20,0.95,0,0,
category_concept,1,50,0.8,2,2,0.8666286768696407
category_concept,1,50,0.9,0,0,
category_concept,1,50,0.95,0,0,
category_exact,0,1,0.8,9,9,1.0
category_exact,0,1,0.9,0,0,
category_exact,0,1,0.95,0,0,
category_exact,0,2,0.8,9,9,1.0
category_exact,0,2,0.9,0,0,
category_exact,0,2,0.95,0,0,
category_exact,0,3,0.8,9,9,1.0
category_exact,0,3,0.9,0,0,
category_exact,0,3,0.95,0,0,
category_exact,0,5,0.8,9,9,1.0
category_exact,0,5,0.9,0,0,
category_exact,0,5,0.95,0,0,
category_exact,0,10,0.8,9,9,1.0
category_exact,0,10,0.9,0,0,
category_exact,0,10,0.95,0,0,
category_exact,0,20,0.8,7,7,1.0
category_exact,0,20,0.9,0,0,
category_exact,0,20,0.95,0,0,
category_exact,0,50,0.8,1,1,0.9387755102040817
category_exact,0,50,0.9,0,0,
category_exact,0,50,0.95,0,0,
category_exact,1,1,0.8,0,0,
category_exact,1,1,0.9,0,0,
category_exact,1,1,0.95,0,0,
category_exact,1,2,0.8,0,0,
category_exact,1,2,0.9,0,0,
category_exact,1,2,0.95,0,0,
category_exact,1,3,0.8,0,0,
category_exact,1,3,0.9,0,0,
category_exact,1,3,0.95,0,0,
category_exact,1,5,0.8,0,0,
category_exact,1,5,0.9,0,0,
category_exact,1,5,0.95,0,0,
category_exact,1,10,0.8,0,0,
category_exact,1,10,0.9,0,0,
category_exact,1,10,0.95,0,0,
category_exact,1,20,0.8,0,0,
category_exact,1,20,0.9,0,0,
category_exact,1,20,0.95,0,0,
category_exact,1,50,0.8,0,0,
category_exact,1,50,0.9,0,0,
category_exact,1,50,0.95,0,0,
global_concept,0,1,0.8,15,15,0.9626865671641791
global_concept,0,1,0.9,2,2,0.9813432835820896
global_concept,0,1,0.95,1,1,1.0
global_concept,0,2,0.8,15,15,0.9626865671641791
global_concept,0,2,0.9,2,2,0.9813432835820896
global_concept,0,2,0.95,1,1,1.0
global_concept,0,3,0.8,15,15,0.9626865671641791
global_concept,0,3,0.9,2,2,0.9813432835820896
global_concept,0,3,0.95,1,1,1.0
global_concept,0,5,0.8,15,15,0.9626865671641791
global_concept,0,5,0.9,2,2,0.9813432835820896
global_concept,0,5,0.95,1,1,1.0
global_concept,0,10,0.8,15,15,0.9626865671641791
global_concept,0,10,0.9,2,2,0.9813432835820896
global_concept,0,10,0.95,1,1,1.0
global_concept,0,20,0.8,13,13,0.9411764705882353
global_concept,0,20,0.9,2,2,0.9813432835820896
global_concept,0,20,0.95,1,1,1.0
global_concept,0,50,0.8,8,8,0.8932010365521004
global_concept,0,50,0.9,2,2,0.9813432835820896
global_concept,0,50,0.95,1,1,1.0
global_concept,1,1,0.8,0,0,
global_concept,1,1,0.9,0,0,
global_concept,1,1,0.95,0,0,
global_concept,1,2,0.8,0,0,
global_concept,1,2,0.9,0,0,
global_concept,1,2,0.95,0,0,
global_concept,1,3,0.8,0,0,
global_concept,1,3,0.9,0,0,
global_concept,1,3,0.95,0,0,
global_concept,1,5,0.8,0,0,
global_concept,1,5,0.9,0,0,
global_concept,1,5,0.95,0,0,
global_concept,1,10,0.8,0,0,
global_concept,1,10,0.9,0,0,
global_concept,1,10,0.95,0,0,
global_concept,1,20,0.8,0,0,
global_concept,1,20,0.9,0,0,
global_concept,1,20,0.95,0,0,
global_concept,1,50,0.8,0,0,
global_concept,1,50,0.9,0,0,
global_concept,1,50,0.95,0,0,
