category,key,both_support,equal_support,conflict_support,positive_rate_equal,positive_rate_conflict,rate_gap
Автотовары,тип,5815,2379,3436,0.16897856242118536,0.16530849825378346,0.0036700641674018986
Автотовары,бренд,4494,3016,1478,0.1929708222811671,0.09336941813261164,0.09960140414855546
Автотовары,партномер (артикул производителя),0,0,0,,,
Автотовары,комплектация,2932,313,2619,0.3258785942492013,0.16685757922871325,0.15902101502048804
Автотовары,артикул,1,0,1,,0.0,
Автотовары,артикул производителя,0,0,0,,,
Автотовары,вид техники,1,0,1,,0.0,
Автотовары,страна-изготовитель,0,0,0,,,
Автотовары,oem-номер,0,0,0,,,
Автотовары,цвет товара,2273,1012,1261,0.21541501976284586,0.11816019032513878,0.09725482943770708
Автотовары,материал,2302,1256,1046,0.19585987261146498,0.12906309751434034,0.06679677509712464
Автотовары,валюта,0,0,0,,,
Автотовары,высота упаковки,0,0,0,,,
Автотовары,длина упаковки,0,0,0,,,
Автотовары,ширина упаковки,0,0,0,,,
Автотовары,"количество, штук",0,0,0,,,
Автотовары,код товара,0,0,0,,,
Автотовары,марка автомобиля,0,0,0,,,
Автотовары,альтернативные артикулы товара,0,0,0,,,
Автотовары,гарантийный срок,462,9,453,0.1111111111111111,0.1280353200883002,-0.016924208977189104
Автотовары,страна производства,0,0,0,,,
Автотовары,название цвета,250,3,247,0.3333333333333333,0.06882591093117409,0.26450742240215924
Автотовары,модель автомобиля,0,0,0,,,
Автотовары,назначение,4,0,4,,0.25,
Автотовары,модель,0,0,0,,,
Автотовары,сезонность,1424,162,1262,0.2654320987654321,0.12757527733755944,0.13785682142787267
Автотовары,особенности,854,33,821,0.3333333333333333,0.17174177831912302,0.1615915550142103
Автотовары,индекс нагрузки,1344,258,1086,0.49224806201550386,0.05156537753222836,0.4406826844832755
Автотовары,марка тс,0,0,0,,,
Автотовары,форма выпуска,622,39,583,0.05128205128205128,0.1097770154373928,-0.058494964155341514
Аптека,пол,10714,723,9991,0.009681881051175657,0.005805224702232009,0.0038766563489436483
Аптека,оптическая сила,5142,137,5005,0.31386861313868614,0.022177822177822177,0.291690790960864
Аптека,форма оправы,9264,3086,6178,0.011665586519766688,0.0030754289414049855,0.008590157578361703
Аптека,материал линз,9376,8930,446,0.004479283314669653,0.004484304932735426,-5.021618065773059e-06
Аптека,бренд,1465,1022,443,0.07925636007827788,0.13318284424379231,-0.05392648416551443
Аптека,тип,1271,171,1100,0.42105263157894735,0.1190909090909091,0.30196172248803826
Аптека,покрытие линз,8789,138,8651,0.007246376811594203,0.003930181481909606,0.0033161953296845974
Аптека,страна-изготовитель,0,0,0,,,
Аптека,цвет товара,853,192,661,0.15104166666666666,0.030257186081694403,0.12078448058497225
Аптека,комплектация,1238,92,1146,0.07608695652173914,0.13525305410122165,-0.05916609757948252
Аптека,название цвета,0,0,0,,,
Аптека,материал оправы очков,0,0,0,,,
Аптека,конструкция очков,0,0,0,,,
Аптека,"размер моста на переносице, мм",0,0,0,,,
Аптека,"размер заушника, мм",0,0,0,,,
Аптека,расстояние между оптическими центрами,0,0,0,,,
Аптека,стиль оправы,0,0,0,,,
Аптека,"ширина линзы, мм",13,3,10,0.0,0.0,0.0
Аптека,материал оправы,0,0,0,,,
Аптека,ширина линзы,0,0,0,,,
Аптека,"высота линзы, мм",1,0,1,,0.0,
Аптека,форма лица,0,0,0,,,
Аптека,"общая ширина, мм",0,0,0,,,
Аптека,высота линзы,0,0,0,,,
Аптека,наличие флексов,0,0,0,,,
Аптека,назначение,0,0,0,,,
Аптека,конструкция,0,0,0,,,
Аптека,пол ребенка,0,0,0,,,
Аптека,диоптрии,0,0,0,,,
Аптека,межцентровое расстояние,0,0,0,,,
Бытовая техника,тип,4931,898,4033,0.3574610244988864,0.33920158690800895,0.018259437590877448
Бытовая техника,бренд,2400,1737,663,0.35521013241220495,0.24283559577677225,0.1123745366354327
Бытовая техника,гарантийный срок,5789,1314,4475,0.3964992389649924,0.3401117318435754,0.05638750712141699
Бытовая техника,комплектация,3355,43,3312,0.5116279069767442,0.3843599033816425,0.1272680035951017
Бытовая техника,цвет товара,1116,520,596,0.3903846153846154,0.2550335570469799,0.1353510583376355
Бытовая техника,страна-изготовитель,0,0,0,,,
Бытовая техника,тип управления,2248,1011,1237,0.34223541048466866,0.2772837510105093,0.06495165947415937
Бытовая техника,"размеры, мм",0,0,0,,,
Бытовая техника,модель,0,0,0,,,
Бытовая техника,валюта,0,0,0,,,
Бытовая техника,партномер,1,0,1,,0.0,
Бытовая техника,цвет,0,0,0,,,
Бытовая техника,материал корпуса,1619,587,1032,0.3679727427597956,0.32655038759689925,0.04142235516289633
