family,state,support,positive_rate
brand,match,30854,0.26667530952226615
brand,conflict,43805,0.22209793402579614
model,match,2401,0.16034985422740525
model,conflict,8579,0.1634223102925749
identifier,match,67,0.9850746268656716
identifier,conflict,17204,0.20884677981864683
size,match,16160,0.20643564356435642
size,conflict,158392,0.17700388908530734
quantity,match,30919,0.24522138490895565
quantity,conflict,168081,0.24227604547807308
color,match,59580,0.2307821416582746
color,conflict,97473,0.11309798610897377
material,match,66914,0.17520997100756194
material,conflict,104787,0.19722866386097512
country,match,103838,0.2939578959533119
country,conflict,30244,0.18770665255918528
seller_noise,match,4236,0.311614730878187
seller_noise,conflict,40262,0.22601957180467935
