category,key,support,coverage,unique_values,unique_ratio,median_value_length,top_value_share
Автотовары,артикул,10136,0.2684890866709049,10107,0.9971389108129439,12.0,0.0003946329913180742
Автотовары,бренд,23379,0.6192784488239034,1312,0.05611873903930878,7.0,0.07061893151973994
Автотовары,партномер (артикул производителя),16130,0.4272621318075864,14988,0.9292002479851209,8.0,0.0012399256044637321
Автотовары,тип,24470,0.6481775799957619,980,0.04004903964037597,17.0,0.09186759297098487
Автотовары,вид техники,8901,0.23577558804831533,14,0.0015728569823615325,19.0,0.7591281878440624
Автотовары,место установки,2279,0.06036766264038991,132,0.05792014041246161,8.0,0.2250987275120667
Автотовары,"толщина тормозного диска, мм",132,0.0034965034965034965,18,0.13636363636363635,2.0,0.14393939393939395
Автотовары,oem-номер,8164,0.2162534435261708,7893,0.9668054875061245,22.0,0.007226849583537482
Автотовары,тип тормозного диска,141,0.0037349014621741897,5,0.03546099290780142,13.0,0.3829787234042553
Автотовары,примечание,2375,0.06291057427421064,10,0.004210526315789474,50.0,0.9612631578947368
Автотовары,цена за,1338,0.03544183089637635,4,0.0029895366218236174,5.0,0.9895366218236173
Автотовары,код товара,4723,0.1251059546514092,4723,1.0,12.0,0.00021172983273343214
Автотовары,"количество в упаковке, шт",1023,0.027097902097902096,8,0.007820136852394917,1.0,0.8875855327468231
Автотовары,альтернативные артикулы товара,4411,0.11684149184149184,4267,0.9673543414191793,14.0,0.013148945817274995
Автотовары,страна-изготовитель,8863,0.23476901885992796,51,0.005754259280153447,6.0,0.5770055286020535
Автотовары,комплектация,14386,0.3810659037931765,5221,0.36292228555540107,28.0,0.06228277492006117
Автотовары,единиц в одном товаре,790,0.020926043653316382,14,0.017721518987341773,1.0,0.9645569620253165
Автотовары,серия,1692,0.044818817546090274,1186,0.7009456264775413,14.0,0.0070921985815602835
Автотовары,модель,3315,0.0878099173553719,2785,0.8401206636500754,26.0,0.0030165912518853697
Автотовары,артикул производителя,9182,0.2432189023098114,8881,0.9672184709213679,7.0,0.006970159006752342
Автотовары,назначение,3424,0.09069718160627252,151,0.04410046728971963,16.0,0.17348130841121495
Автотовары,сезонность,3042,0.08057851239669421,18,0.005917159763313609,4.0,0.29224194608809995
Автотовары,тип протектора,386,0.010224623860987497,3,0.007772020725388601,8.0,0.9015544041450777
Автотовары,конструкция каркаса,182,0.0048209366391184574,1,0.005494505494505495,10.0,1.0
Автотовары,"ширина профиля, в миллиметрах",346,0.009165077346895529,17,0.049132947976878616,3.0,0.1676300578034682
