feature,macro_ap,positive_mean,negative_mean
numeric_jaccard,0.30411002094438433,0.14874301220781808,0.1290588956112342
value_match_ratio,0.27122020204548,0.20086232766417023,0.2339336646620724
country_match,0.2690010493671305,0.3251038449249121,0.2697708305735859
brand_match,0.26822830342685233,0.0876344658643093,0.0832560604053517
color_match,0.26759363670528746,0.14644797102992865,0.16863896616181687
country_both,0.2661178461287452,0.3855682181275961,0.36016911732238266
matching_values,0.2658415782704043,0.494525508573863,0.6835268836196111
model_both,0.2635015607031942,0.019032910853125997,0.033827144139768325
brand_both,0.2633247778774087,0.19125572478432207,0.20864426487687845
size_match,0.2630082563349813,0.03553094046224305,0.04718800135411607
model_conflict,0.26284411090471826,0.014932367664287996,0.026408943053531742
identifier_both,0.26277035518667613,0.038971136436255195,0.050087575985045846
identifier_conflict,0.26256962538992246,0.03826818617531153,0.05008389632180863
seller_noise_match,0.262418754510589,0.01405900521887315,0.010729897999735064
seller_noise_both,0.2621668597493748,0.11098093513686229,0.1253955637980012
model_match,0.2619089104195548,0.0041005431888380016,0.0074182010862365875
quantity_match,0.2618438619809781,0.08075407391628502,0.0858723009670155
identifier_match,0.26183796779908025,0.0007029502609436575,3.6796632372205297e-06
seller_noise_conflict,0.2613780771316749,0.09692192991798913,0.11466566579826615
material_match,0.2608966006009473,0.12486952817126425,0.20308061406220101
country_conflict,0.25992957346554607,0.06046437320268399,0.09039828674879676
brand_conflict,0.25980328140951087,0.10362125892001278,0.12538820447152677
quantity_conflict,0.25534312655323427,0.4337203110022367,0.46863823022916945
material_conflict,0.25531552662056856,0.22011928852912982,0.30953327151499094
quantity_both,0.2548035607361722,0.5144743849185217,0.5545105311961849
key_jaccard,0.2538943756454124,0.06919555319292511,0.08567336427231848
size_both,0.25308506363808636,0.3341356907018852,0.5268541823052354
material_both,0.2522417769381977,0.34498881670039405,0.512613885577192
size_conflict,0.2521507143150292,0.2986047502396421,0.47966618095111935
color_both,0.2500583395893971,0.26386196613057833,0.48674217335629444
color_conflict,0.24990730894694005,0.11741399510064969,0.31810320719447754
value_conflict_ratio,0.24811461561667084,0.440505230116211,0.5612636388807074
shared_keys,0.24549494307067912,1.3649376930450527,2.063544104443561
conflicting_values,0.24129277581944977,0.8704121844711897,1.3800172208239503
