category,key,both_support,equal_support,conflict_support,positive_rate_equal,positive_rate_conflict,rate_gap
Автотовары,индекс нагрузки,1344,258,1086,0.49224806201550386,0.05156537753222836,0.4406826844832755
Автотовары,название цвета,250,3,247,0.3333333333333333,0.06882591093117409,0.26450742240215924
Автотовары,особенности,854,33,821,0.3333333333333333,0.17174177831912302,0.1615915550142103
Автотовары,комплектация,2932,313,2619,0.3258785942492013,0.16685757922871325,0.15902101502048804
Автотовары,сезонность,1424,162,1262,0.2654320987654321,0.12757527733755944,0.13785682142787267
Аптека,тип,1271,171,1100,0.42105263157894735,0.1190909090909091,0.30196172248803826
Аптека,оптическая сила,5142,137,5005,0.31386861313868614,0.022177822177822177,0.291690790960864
Аптека,цвет товара,853,192,661,0.15104166666666666,0.030257186081694403,0.12078448058497225
Бытовая техника,"вес, кг",293,25,268,0.6,0.31716417910447764,0.28283582089552234
Бытовая техника,цвет товара,1116,520,596,0.3903846153846154,0.2550335570469799,0.1353510583376355
Бытовая техника,комплектация,3355,43,3312,0.5116279069767442,0.3843599033816425,0.1272680035951017
Бытовая техника,бренд,2400,1737,663,0.35521013241220495,0.24283559577677225,0.1123745366354327
Бытовая химия,комплектация,4106,118,3988,0.5932203389830508,0.4518555667001003,0.14136477228295052
Галантерея и аксессуары,цвет товара,2582,853,1729,0.30011723329425555,0.12087912087912088,0.17923811241513465
Галантерея и аксессуары,коллекция,1121,312,809,0.1987179487179487,0.0815822002472188,0.11713574847072991
Детские товары,цвет товара,1275,541,734,0.5970425138632163,0.30517711171662126,0.291865402146595
Дом и сад,цвет товара,2818,1232,1586,0.32142857142857145,0.1626733921815889,0.15875517924698254
Канцелярские товары,вид папки,251,2,249,1.0,0.30120481927710846,0.6987951807228916
Канцелярские товары,цвет товара,2323,885,1438,0.3581920903954802,0.16828929068150209,0.18990279971397814
Канцелярские товары,количество отделений,254,154,100,0.474025974025974,0.34,0.134025974025974
Канцелярские товары,формат,1176,91,1085,0.12087912087912088,0.2728110599078341,-0.15193193902871321
Канцелярские товары,комплектация,1593,152,1441,0.14473684210526316,0.315058986814712,-0.17032214470944884
Красота и гигиена,цвет товара,762,203,559,0.3054187192118227,0.13237924865831843,0.17303947055350424
Красота и гигиена,изгиб ресниц,845,161,684,0.16770186335403728,0.03216374269005848,0.1355381206639788
Красота и гигиена,способ применения,361,78,283,0.24358974358974358,0.4734982332155477,-0.2299084896258041
Мебель,"глубина сиденья, см",467,255,212,0.2823529411764706,0.05188679245283019,0.2304661487236404
Мебель,"ширина, см",1218,501,717,0.2714570858283433,0.06834030683403068,0.20311677899431263
Мебель,"глубина, см",967,449,518,0.26057906458797325,0.09073359073359073,0.16984547385438253
Мебель,"высота, см",1025,512,513,0.2109375,0.0682261208576998,0.1427113791423002
Мебель,цвет товара,8728,1735,6993,0.2,0.08694408694408694,0.11305591305591307
Мебель,стиль дизайна,867,87,780,0.2413793103448276,0.1346153846153846,0.10676392572944299
Мебель,форма поставки,1171,1113,58,0.14106019766397124,0.3793103448275862,-0.23825014716361495
Музыкальные инструменты,цвет товара,1842,784,1058,0.30612244897959184,0.15122873345935728,0.15489371552023457
Музыкальные инструменты,количество струн,1967,1810,157,0.14917127071823205,0.01910828025477707,0.13006299046345499
Музыкальные инструменты,материал обечайки,300,159,141,0.23270440251572327,0.12056737588652482,0.11213702662919846
Музыкальные инструменты,гарантийный срок,221,52,169,0.28846153846153844,0.17751479289940827,0.11094674556213016
Музыкальные инструменты,бренд,2323,1557,766,0.23185613359023763,0.12402088772845953,0.1078352458617781
Музыкальные инструменты,материал накладки грифа,496,276,220,0.2210144927536232,0.11818181818181818,0.10283267457180502
Обувь,особенности модели,1480,7,1473,0.2857142857142857,0.09097080787508487,0.19474347783920082
Обувь,материал подошвы,3704,962,2742,0.22453222453222454,0.08606856309263311,0.13846366143959143
Обувь,цвет товара,4245,1600,2645,0.208125,0.09603024574669188,0.11209475425330813
Обувь,материал стельки,6949,1248,5701,0.17868589743589744,0.07314506226977723,0.10554083516612021
Обувь,внутренний материал,1521,598,923,0.14046822742474915,0.0390032502708559,0.10146497715389324
Обувь,размер производителя,1539,10,1529,0.1,0.2040549378678875,-0.1040549378678875
Одежда,декоративные элементы,1289,52,1237,0.23076923076923078,0.0582053354890865,0.1725638952801443
Одежда,модель,863,144,719,0.3680555555555556,0.20445062586926285,0.16360492968629273
Одежда,цвет товара,5359,1799,3560,0.292384658143413,0.15168539325842698,0.14069926488498605
Одежда,рост модели на фото,3196,649,2547,0.14946070878274267,0.04397330192383196,0.10548740685891071
Одежда,размер на модели,2395,536,1859,0.16044776119402984,0.05809575040344271,0.10235201079058713
Продукты питания,вкус,271,59,212,0.423728813559322,0.24056603773584906,0.18316277582347296
Продукты питания,не содержит,1374,5,1369,0.0,0.15120525931336742,-0.15120525931336742
Спорт и отдых,цвет товара,2413,690,1723,0.33043478260869563,0.13116656993615786,0.19926821267253778
Спорт и отдых,гарантийный срок,221,35,186,0.45714285714285713,0.3172043010752688,0.13993855606758832
Спорт и отдых,комплектация,1012,73,939,0.1232876712328767,0.268370607028754,-0.14508293579587728
Строительство и ремонт,"ширина, мм",413,109,304,0.43119266055045874,0.19078947368421054,0.2404031868662482
Строительство и ремонт,"высота, мм",460,112,348,0.42857142857142855,0.20689655172413793,0.22167487684729062
Строительство и ремонт,"длина, мм",410,90,320,0.3888888888888889,0.1875,0.2013888888888889
Строительство и ремонт,тип цоколя,2756,2065,691,0.36803874092009686,0.23878437047756873,0.12925437044252813
Товары для животных,материал,1091,322,769,0.36645962732919257,0.1846553966189857,0.18180423071020688
Товары для животных,упаковка,361,89,272,0.48314606741573035,0.3602941176470588,0.12285194976867153
Товары для животных,размер животного,4807,272,4535,0.46691176470588236,0.35413450937155455,0.11277725533432781
Товары для животных,комплектация,4454,109,4345,0.27522935779816515,0.38365937859608745,-0.1084300207979223
Хобби и творчество,возрастные ограничения,530,44,486,0.9090909090909091,0.20987654320987653,0.6992143658810326
Хобби и творчество,цвет товара,1645,637,1008,0.33437990580847726,0.12400793650793651,0.21037196930054075
Хобби и творчество,тип,6820,2105,4715,0.5007125890736343,0.35927889713679745,0.1414336919368368
Хобби и творчество,бренд,1633,465,1168,0.35053763440860214,0.473458904109589,-0.12292126970098688
Хобби и творчество,комплектация,1775,61,1714,0.16393442622950818,0.3033838973162194,-0.1394494710867112
Электроника,операционная система,1487,807,680,0.2664188351920694,0.08970588235294118,0.1767129528391282
Электроника,модель процессора,827,28,799,0.17857142857142858,0.02753441802252816,0.15103701054890042
Электроника,оперативная память,455,248,207,0.125,0.0,0.125
Электроника,комплектация,5874,951,4923,0.027339642481598318,0.13528336380255943,-0.10794372132096111
Ювелирные изделия,артикул,1654,22,1632,1.0,0.1323529411764706,0.8676470588235294
Ювелирные изделия,покрытие,217,44,173,0.2727272727272727,0.09248554913294797,0.18024172359432472
Ювелирные изделия,комплектация,8059,874,7185,0.21052631578947367,0.07988865692414752,0.13063765886532613
Ювелирные изделия,бренд,3786,2169,1617,0.2595666205624712,0.15955473098330242,0.10001188957916879
