split,requested,rejected,bge_fraction,prob_ap,prob_delta_vs_full_prob,rank_ap,rank_delta_vs_full_rank,rejected_positive_rate
ordinary,0.05,0.03975,0.96025,0.7928304262999171,-2.6822142167315377e-05,0.7923204560794743,-2.722281414846428e-05,0.0041928721174004195
ordinary,0.1,0.08383333333333333,0.9161666666666667,0.7925057185443298,-0.00035152989775455445,0.7919810111265605,-0.00036666776706228976,0.008946322067594433
ordinary,0.2,0.1845,0.8155,0.7920774543454874,-0.0007797940965970085,0.7917037161978296,-0.0006439626957931432,0.023938572719060525
ordinary,0.3,0.28975,0.71025,0.7917612287592635,-0.0010960196828209146,0.791536115510489,-0.0008115633831338176,0.04055220017256255
ordinary,0.4,0.3918333333333333,0.6081666666666666,0.7910243711421764,-0.0018328772999079979,0.7910771307316906,-0.0012705481619321723,0.054657592513823905
ordinary,0.5,0.49875,0.50125,0.7901186051055584,-0.002738643336525959,0.7905306617062541,-0.001817017187368708,0.07117794486215538
ordinary,0.6,0.5975,0.4025,0.7880999090216976,-0.004757339420386808,0.7884113962239829,-0.003936282669639857,0.09316596931659693
ordinary,0.7,0.7025,0.2975,0.7872284135550152,-0.005628834887069223,0.7880355573785048,-0.00431212151511795,0.1232502965599051
ordinary,0.8,0.8019166666666667,0.19808333333333333,0.785193261524441,-0.007663986917643362,0.7833564135905707,-0.008991265303052054,0.15733139353631923
hard,0.05,0.04093567251461988,0.9590643274853801,0.3734541526007455,-2.538668035584335e-05,0.3748119596690109,0.00011330965061334686,0.008403361344537815
hard,0.1,0.09064327485380116,0.9093567251461988,0.3738172868340136,0.0003377475529122709,0.3749156731726758,0.00021702315427829522,0.020872865275142316
hard,0.2,0.17182662538699692,0.8281733746130031,0.3732794178663316,-0.00020012141476971612,0.3743645751294629,-0.0003340748889346101,0.08608608608608609
hard,0.3,0.25524595803233574,0.7447540419676643,0.37185760372065696,-0.0016219355604443764,0.3729692855259335,-0.001729364492464025,0.11253369272237197
hard,0.4,0.347781217750258,0.6522187822497421,0.37184818880293496,-0.0016313504781663712,0.37232895838443375,-0.0023696916339637775,0.142433234421365
hard,0.5,0.4459924320605435,0.5540075679394565,0.3712739622440462,-0.002205577037055151,0.37028669511214773,-0.004411954906249793,0.16428846895487853
hard,0.6,0.5574475404196766,0.44255245958032335,0.3717593231300096,-0.0017202161510917469,0.3680310388601296,-0.0066676111582679165,0.1900647948164147
hard,0.7,0.6687306501547987,0.33126934984520123,0.3697435933431188,-0.0037359459379825433,0.36404954459075833,-0.010649105427639194,0.21373456790123457
hard,0.8,0.7874097007223942,0.21259029927760578,0.3694659714345263,-0.004013567846575028,0.36000031434307345,-0.014698335675324081,0.23219746614242026
OOD,0.05,0.0003643341186757669,0.9996356658813242,0.6413122450873883,-2.8472186265338095e-06,0.6409755951863432,-5.848938676722426e-07,0.06666666666666667
OOD,0.1,0.02108280100070438,0.9789171989992956,0.6412408312035138,-7.426110250097206e-05,0.6408708156298782,-0.00010536445033260122,0.02880184331797235
OOD,0.2,0.08999052731291443,0.9100094726870855,0.6407676217225655,-0.0005474705834492832,0.6402632381288562,-0.0007129419513546287,0.037786774628879895
OOD,0.3,0.17604624614413059,0.8239537538558694,0.6395363598124622,-0.0017787324935526483,0.638733826143671,-0.0022423539365398204,0.04056291390728477
OOD,0.4,0.30965971193315683,0.6903402880668432,0.6378953619730827,-0.0034197303329320805,0.6368267518947086,-0.004149428185502235,0.05302376656992705
OOD,0.5,0.4519443297466663,0.5480556702533337,0.6339084067320848,-0.007406685573929983,0.6327294086807826,-0.008246771399428199,0.07292954264524104
OOD,0.6,0.5993539141628816,0.40064608583711836,0.6294668878342627,-0.011848204471752055,0.6287378039611864,-0.012238376119024452,0.09555843734803048
OOD,0.7,0.7309756867698137,0.2690243132301863,0.6251144653153052,-0.016200626990709566,0.6240551744652248,-0.016921005614985996,0.12374148529656089
OOD,0.8,0.8324548832916373,0.1675451167083627,0.6208705777955865,-0.02044451451042828,0.6176957990173976,-0.02328038106281327,0.15038076620079946
