category,items,pairs,positives,positive_rate,negatives
Аптека,35620,18285,1328,0.07262783702488379,16957
Обувь,35936,18362,1813,0.0987365210761355,16549
Одежда,45878,23357,2751,0.11778053688401764,20606
Ювелирные изделия,34759,18695,2317,0.12393688151912276,16378
Мебель,35505,18366,2756,0.15005989328106284,15610
Галантерея и аксессуары,35434,17984,3015,0.16764902135231316,14969
Электроника,34455,18681,3227,0.1727423585461164,15454
Автотовары,37752,19010,3326,0.17496054708048395,15684
Строительство и ремонт,36088,18102,3929,0.2170478400176776,14173
Музыкальные инструменты,31923,17817,3950,0.22169837795363978,13867
Спорт и отдых,35084,17717,4600,0.2596376361686516,13117
Дом и сад,34923,17574,4608,0.26220553089791737,12966
Продукты питания,35564,18284,4946,0.27050973528768324,13338
Канцелярские товары,34436,17435,5903,0.3385718382563808,11532
Товары для животных,35663,18211,6480,0.35582889462412826,11731
Бытовая техника,34887,17814,6404,0.35949253396205233,11410
Красота и гигиена,34299,17286,6283,0.363473331019322,11003
Хобби и творчество,35023,17677,8202,0.4639927589523109,9475
Бытовая химия,33284,17436,8183,0.4693163569626061,9253
Детские товары,34791,17561,9869,0.5619839416889699,7692
