architecture,scheme,mini_coverage,ru_coverage,ru_router_target,mini_weight,ru_weight,oof_macro_ap,iid_macro_ap,hard_macro_ap,ood_macro_ap,mean_macro_ap,delta_vs_full_bge_minilm,estimated_private_runtime_seconds,passes_13_minutes
bge_100,baseline,0.0,0.0,none,0.0,0.0,,0.7822219461825138,0.3759746515593398,0.6412704537924441,0.5998223505114325,-0.0027282761649676246,,
full_bge_minilm,baseline,1.0,0.0,none,,0.0,,0.7928572484420844,0.37347953928110134,0.6413150923060148,0.6025506266764001,0.0,,
mini_0.20,mini_only,0.2,0.0,none,0.5,0.0,0.7881895078912975,0.788476626870708,0.3773635210272967,0.6418491064127392,0.602563084770248,1.2458093847866891e-05,,
mini_0.40,mini_only,0.4,0.0,none,0.5,0.0,0.7902232109287562,0.7903487758936117,0.3771493849928079,0.64179455754053,0.6030975728089832,0.0005469461325831038,,
mini_0.60,mini_only,0.6,0.0,none,0.5,0.0,0.7908967709795441,0.7915582733744413,0.3756328894212459,0.6413201444073813,0.6028371024010228,0.00028647572462270343,,
mini_1.00,mini_only,1.0,0.0,none,0.5,0.0,0.7911319415256514,0.7928572484420844,0.37347953928110134,0.6413150923060148,0.6025506266764001,0.0,,
exclusive_m0.20_r0.05,exclusive,0.2,0.05,vs_bge,0.5,0.5,0.7893499468210092,0.7900291093962182,0.3755559152371399,0.6421153629682622,0.6025667958672067,1.6169190806603062e-05,,
hierarchical_m0.20_r0.05,hierarchical,0.2,0.05,vs_bge,0.5,0.5,0.7888315014538514,0.7898683239306648,0.3768584495002216,0.6428888000807993,0.6032051911705619,0.0006545644941617912,,
exclusive_m0.20_r0.10,exclusive,0.2,0.1,vs_bge,0.5,0.5,0.7900986732073713,0.790106955943028,0.37527512891072423,0.6435772486166649,0.602986444490139,0.0004358178137389146,,
hierarchical_m0.20_r0.10,hierarchical,0.2,0.1,vs_bge,0.5,0.25,0.7890745421368469,0.7899625709873538,0.3773761215525336,0.6434242170745306,0.6035876365381393,0.0010370098617391577,,
exclusive_m0.40_r0.05,exclusive,0.4,0.05,vs_bge,0.5,0.5,0.7911765128681645,0.7920855834969589,0.37493275576648605,0.6422171170420046,0.6030784854351499,0.0005278587587497219,,
hierarchical_m0.40_r0.05,hierarchical,0.4,0.05,vs_bge_minilm,0.5,0.5,0.7911725970528525,0.7925338669582519,0.37613887490428943,0.6438662281386123,0.6041796566670512,0.0016290299906510652,,
exclusive_m0.40_r0.10,exclusive,0.4,0.1,vs_bge,0.5,0.5,0.7911622602103536,0.7930797406947891,0.3736844014968972,0.6422959502931227,0.6030200308282697,0.00046940415186957907,,
hierarchical_m0.40_r0.10,hierarchical,0.4,0.1,vs_bge_minilm,0.5,0.5,0.7917237975698184,0.7923796145997077,0.375215925082111,0.643987792888344,0.6038611108567209,0.001310484180320759,,
exclusive_m0.60_r0.05,exclusive,0.6,0.05,vs_bge,0.5,0.5,0.7918492685978854,0.7941906955517192,0.3754625771193832,0.6420649209706657,0.603906064547256,0.0013554378708559023,,
hierarchical_m0.60_r0.05,hierarchical,0.6,0.05,vs_bge_minilm,0.5,0.5,0.791914810598241,0.7940336037270487,0.37525634730565444,0.6434387308733526,0.6042428939686851,0.001692267292284999,,
exclusive_m0.60_r0.10,exclusive,0.6,0.1,vs_bge,0.5,0.5,0.792138815218547,0.7939239082755205,0.3736970470554844,0.6420634116716435,0.6032281223342161,0.0006774956578159408,,
hierarchical_m0.60_r0.10,hierarchical,0.6,0.1,vs_bge_minilm,0.5,0.5,0.7925431370134217,0.794140406816763,0.374532505053016,0.6439968107234153,0.604223240864398,0.0016726141879979117,,
hierarchical_m1.00_r0.05,hierarchical,1.0,0.05,vs_bge_minilm,0.5,0.5,0.7921928803075905,0.795803789756548,0.3730796684316045,0.6433920534200521,0.6040918372027348,0.0015412105263347131,,
hierarchical_m1.00_r0.10,hierarchical,1.0,0.1,vs_bge_minilm,0.5,0.5,0.7927783666252775,0.795527700782378,0.37238004450798345,0.6440124172502102,0.6039733875135239,0.001422760837123782,,
