architecture,scheme,mini_coverage,ru_coverage,ru_router_target,mini_weight,ru_weight,oof_macro_ap,oof_delta_vs_bge,oof_delta_vs_full_bge_minilm
mini_0.20,mini_only,0.2,0.0,none,0.5,0.0,0.7881895078912975,0.004953171749657592,-0.0029424336343538693
mini_0.40,mini_only,0.4,0.0,none,0.5,0.0,0.7902232109287562,0.006986874787116348,-0.0009087305968951132
mini_0.60,mini_only,0.6,0.0,none,0.5,0.0,0.7908967709795441,0.00766043483790424,-0.00023517054610722177
mini_1.00,mini_only,1.0,0.0,none,0.5,0.0,0.7911319415256514,0.007895605384011462,0.0
exclusive_m0.20_r0.05,exclusive,0.2,0.05,vs_bge,0.5,0.5,0.7893499468210092,0.00611361067936933,-0.0017819947046421314
hierarchical_m0.20_r0.05,hierarchical,0.2,0.05,vs_bge,0.5,0.5,0.7888315014538514,0.005595165312211492,-0.0023004400717999696
exclusive_m0.20_r0.10,exclusive,0.2,0.1,vs_bge,0.5,0.5,0.7900986732073713,0.006862337065731361,-0.0010332683182801006
hierarchical_m0.20_r0.10,hierarchical,0.2,0.1,vs_bge,0.5,0.25,0.7890745421368469,0.005838205995207013,-0.0020573993888044484
exclusive_m0.40_r0.05,exclusive,0.4,0.05,vs_bge,0.5,0.5,0.7911765128681645,0.007940176726524584,4.4571342513122225e-05
hierarchical_m0.40_r0.05,hierarchical,0.4,0.05,vs_bge_minilm,0.5,0.5,0.7911725970528525,0.007936260911212578,4.065552720111665e-05
exclusive_m0.40_r0.10,exclusive,0.4,0.1,vs_bge,0.5,0.5,0.7911622602103536,0.00792592406871373,3.0318684702268506e-05
hierarchical_m0.40_r0.10,hierarchical,0.4,0.1,vs_bge_minilm,0.5,0.5,0.7917237975698184,0.008487461428178467,0.0005918560441670051
exclusive_m0.60_r0.05,exclusive,0.6,0.05,vs_bge,0.5,0.5,0.7918492685978854,0.008612932456245503,0.0007173270722340419
hierarchical_m0.60_r0.05,hierarchical,0.6,0.05,vs_bge_minilm,0.5,0.5,0.791914810598241,0.008678474456601082,0.0007828690725896204
exclusive_m0.60_r0.10,exclusive,0.6,0.1,vs_bge,0.5,0.5,0.792138815218547,0.00890247907690711,0.001006873692895649
hierarchical_m0.60_r0.10,hierarchical,0.6,0.1,vs_bge_minilm,0.5,0.5,0.7925431370134217,0.009306800871781817,0.0014111954877703559
hierarchical_m1.00_r0.05,hierarchical,1.0,0.05,vs_bge_minilm,0.5,0.5,0.7921928803075905,0.008956544165950597,0.0010609387819391358
hierarchical_m1.00_r0.10,hierarchical,1.0,0.1,vs_bge_minilm,0.5,0.5,0.7927783666252775,0.009542030483637554,0.001646425099626092
