architecture,split,mini_coverage,ru_coverage,macro_ap
bge_100,iid,0.0,0.0,0.7822219461825138
full_bge_minilm,iid,1.0,0.0,0.7928572484420844
mini_0.20,iid,0.2,0.0,0.788476626870708
mini_0.40,iid,0.4,0.0,0.7903487758936117
mini_0.60,iid,0.6,0.0,0.7915582733744413
mini_1.00,iid,1.0,0.0,0.7928572484420844
exclusive_m0.20_r0.05,iid,0.2,0.05,0.7900291093962182
hierarchical_m0.20_r0.05,iid,0.2,0.05,0.7898683239306648
exclusive_m0.20_r0.10,iid,0.2,0.1,0.790106955943028
hierarchical_m0.20_r0.10,iid,0.2,0.1,0.7899625709873538
exclusive_m0.40_r0.05,iid,0.4,0.05,0.7920855834969589
hierarchical_m0.40_r0.05,iid,0.4,0.05,0.7925338669582519
exclusive_m0.40_r0.10,iid,0.4,0.1,0.7930797406947891
hierarchical_m0.40_r0.10,iid,0.4,0.1,0.7923796145997077
exclusive_m0.60_r0.05,iid,0.6,0.05,0.7941906955517192
hierarchical_m0.60_r0.05,iid,0.6,0.05,0.7940336037270487
exclusive_m0.60_r0.10,iid,0.6,0.1,0.7939239082755205
hierarchical_m0.60_r0.10,iid,0.6,0.1,0.794140406816763
hierarchical_m1.00_r0.05,iid,1.0,0.05,0.795803789756548
hierarchical_m1.00_r0.10,iid,1.0,0.1,0.795527700782378
bge_100,hard,0.0,0.0,0.3759746515593398
full_bge_minilm,hard,1.0,0.0,0.37347953928110134
mini_0.20,hard,0.2,0.0,0.3773635210272967
mini_0.40,hard,0.4,0.0,0.3771493849928079
mini_0.60,hard,0.6,0.0,0.3756328894212459
mini_1.00,hard,1.0,0.0,0.37347953928110134
exclusive_m0.20_r0.05,hard,0.2,0.05,0.3755559152371399
hierarchical_m0.20_r0.05,hard,0.2,0.05,0.3768584495002216
exclusive_m0.20_r0.10,hard,0.2,0.1,0.37527512891072423
hierarchical_m0.20_r0.10,hard,0.2,0.1,0.3773761215525336
exclusive_m0.40_r0.05,hard,0.4,0.05,0.37493275576648605
hierarchical_m0.40_r0.05,hard,0.4,0.05,0.37613887490428943
exclusive_m0.40_r0.10,hard,0.4,0.1,0.3736844014968972
hierarchical_m0.40_r0.10,hard,0.4,0.1,0.375215925082111
exclusive_m0.60_r0.05,hard,0.6,0.05,0.3754625771193832
hierarchical_m0.60_r0.05,hard,0.6,0.05,0.37525634730565444
exclusive_m0.60_r0.10,hard,0.6,0.1,0.3736970470554844
hierarchical_m0.60_r0.10,hard,0.6,0.1,0.374532505053016
hierarchical_m1.00_r0.05,hard,1.0,0.05,0.3730796684316045
hierarchical_m1.00_r0.10,hard,1.0,0.1,0.37238004450798345
bge_100,ood,0.0,0.0,0.6412704537924441
full_bge_minilm,ood,1.0,0.0,0.6413150923060148
mini_0.20,ood,0.2,0.0,0.6418491064127392
mini_0.40,ood,0.4,0.0,0.64179455754053
mini_0.60,ood,0.6,0.0,0.6413201444073813
mini_1.00,ood,1.0,0.0,0.6413150923060148
exclusive_m0.20_r0.05,ood,0.2,0.05,0.6421153629682622
hierarchical_m0.20_r0.05,ood,0.2,0.05,0.6428888000807993
exclusive_m0.20_r0.10,ood,0.2,0.1,0.6435772486166649
hierarchical_m0.20_r0.10,ood,0.2,0.1,0.6434242170745306
exclusive_m0.40_r0.05,ood,0.4,0.05,0.6422171170420046
hierarchical_m0.40_r0.05,ood,0.4,0.05,0.6438662281386123
exclusive_m0.40_r0.10,ood,0.4,0.1,0.6422959502931227
hierarchical_m0.40_r0.10,ood,0.4,0.1,0.643987792888344
exclusive_m0.60_r0.05,ood,0.6,0.05,0.6420649209706657
hierarchical_m0.60_r0.05,ood,0.6,0.05,0.6434387308733526
exclusive_m0.60_r0.10,ood,0.6,0.1,0.6420634116716435
hierarchical_m0.60_r0.10,ood,0.6,0.1,0.6439968107234153
hierarchical_m1.00_r0.05,ood,1.0,0.05,0.6433920534200521
hierarchical_m1.00_r0.10,ood,1.0,0.1,0.6440124172502102
