split,routing,priority,specialist,route_budget,score_mode,route_coverage,minilm_coverage,rumodernbert_coverage,macro_ap,baseline_bge_macro_ap,delta_vs_bge,routed_pairs,routing_uses_labels
iid,uncertainty_abs_minilm,uncertainty_abs,minilm,0.05,replace,0.05,0.05,0.0,0.7826174041737255,0.7822219461825138,0.00039545799121165626,600,False
iid,uncertainty_abs_minilm,uncertainty_abs,minilm,0.05,blend_50_50,0.05,0.05,0.0,0.7835035172683468,0.7822219461825138,0.0012815710858329332,600,False
iid,uncertainty_abs_minilm,uncertainty_abs,minilm,0.05,blend_specialist_25,0.05,0.05,0.0,0.7833223292662563,0.7822219461825138,0.0011003830837424955,600,False
iid,uncertainty_abs_minilm,uncertainty_abs,minilm,0.1,replace,0.1,0.1,0.0,0.7850009339326,0.7822219461825138,0.002778987750086115,1200,False
iid,uncertainty_abs_minilm,uncertainty_abs,minilm,0.1,blend_50_50,0.1,0.1,0.0,0.7859586758690598,0.7822219461825138,0.0037367296865459254,1200,False
iid,uncertainty_abs_minilm,uncertainty_abs,minilm,0.1,blend_specialist_25,0.1,0.1,0.0,0.7847103560759032,0.7822219461825138,0.0024884098933893872,1200,False
iid,uncertainty_abs_minilm,uncertainty_abs,minilm,0.15,replace,0.15,0.15,0.0,0.78523718713535,0.7822219461825138,0.003015240952836118,1800,False
iid,uncertainty_abs_minilm,uncertainty_abs,minilm,0.15,blend_50_50,0.15,0.15,0.0,0.7875642946405619,0.7822219461825138,0.005342348458048041,1800,False
iid,uncertainty_abs_minilm,uncertainty_abs,minilm,0.15,blend_specialist_25,0.15,0.15,0.0,0.7854943903538744,0.7822219461825138,0.0032724441713605223,1800,False
iid,uncertainty_abs_minilm,uncertainty_abs,minilm,0.2,replace,0.2,0.2,0.0,0.784466262449422,0.7822219461825138,0.0022443162669081307,2400,False
iid,uncertainty_abs_minilm,uncertainty_abs,minilm,0.2,blend_50_50,0.2,0.2,0.0,0.7881903471389068,0.7822219461825138,0.00596840095639295,2400,False
iid,uncertainty_abs_minilm,uncertainty_abs,minilm,0.2,blend_specialist_25,0.2,0.2,0.0,0.7857853758883412,0.7822219461825138,0.003563429705827348,2400,False
iid,uncertainty_abs_minilm,uncertainty_abs,minilm,0.3,replace,0.3,0.3,0.0,0.7839722695943617,0.7822219461825138,0.0017503234118478872,3600,False
iid,uncertainty_abs_minilm,uncertainty_abs,minilm,0.3,blend_50_50,0.3,0.3,0.0,0.7894070298391606,0.7822219461825138,0.007185083656646718,3600,False
iid,uncertainty_abs_minilm,uncertainty_abs,minilm,0.3,blend_specialist_25,0.3,0.3,0.0,0.786917079934705,0.7822219461825138,0.004695133752191216,3600,False
