category,pairs,positive_rate,fpr,fnr
Автотовары,2859,0.17908359566281917,0.012356199403493822,0.8125
Аптека,2692,0.07800891530460624,0.0064464141821112,0.8333333333333334
Бытовая техника,2682,0.36129753914988816,0.15703444249854057,0.586171310629515
Бытовая химия,2571,0.4768572539867756,0.31226765799256506,0.4298531810766721
Галантерея и аксессуары,2649,0.16761041902604756,0.009523809523809525,0.9391891891891891
Детские товары,2683,0.569511740588893,0.5255411255411255,0.22905759162303665
Дом и сад,2632,0.24924012158054712,0.02479757085020243,0.7728658536585366
Канцелярские товары,2570,0.33346303501945523,0.07180385288966724,0.7689614935822637
Красота и гигиена,2635,0.3578747628083491,0.10401891252955082,0.6967126193001061
Мебель,2806,0.1429080541696365,0.006237006237006237,0.9152119700748129
Музыкальные инструменты,2709,0.21853082318198597,0.0273972602739726,0.6469594594594594
Обувь,2797,0.10046478369681802,0.0,0.9928825622775801
Одежда,3531,0.11753044463324837,0.00032092426187419767,0.9975903614457832
Продукты питания,2685,0.2808193668528864,0.038322112894873125,0.7387267904509284
Спорт и отдых,2651,0.26744624669935874,0.028836251287332648,0.8349788434414669
Строительство и ремонт,2724,0.22466960352422907,0.032196969696969696,0.8202614379084967
Товары для животных,2734,0.3580833942940746,0.10883190883190884,0.6424923391215526
Хобби и творчество,2680,0.46119402985074626,0.2673130193905817,0.33576051779935273
Электроника,2748,0.17139737991266377,0.011857707509881422,0.881104033970276
Ювелирные изделия,2849,0.11688311688311688,0.000794912559618442,0.993993993993994
