combination,support,positive_rate,negative_support,positive_support,fpr,fnr,mean_prediction
brand_conflict + measure_match,1693,0.3603071470761961,1083,610,0.10987996306555864,0.5704918032786885,0.34098956245193723
measure_match,16546,0.3398404448205004,10923,5623,0.0963105373981507,0.6105281878001068,0.3247923805365274
brand_match + measure_match,1399,0.2909220872051465,992,407,0.09576612903225806,0.5601965601965602,0.32099564675823206
measure_match + measure_conflict,13143,0.316974815491136,8977,4166,0.08744569455274591,0.6416226596255401,0.30619979301793354
model_match + color_conflict,68,0.6029411764705882,27,41,0.07407407407407407,0.6829268292682927,0.3243404729251778
model_match + measure_conflict,86,0.6511627906976745,30,56,0.06666666666666667,0.8214285714285714,0.27543720259363597
measure_conflict,21828,0.25705515851200295,16217,5611,0.06326694209779861,0.6774193548387096,0.2656594474916973
brand_conflict + measure_conflict,2006,0.24227318045862412,1520,486,0.05855263157894737,0.668724279835391,0.2568412187699086
color_conflict + measure_match,3071,0.14913708889612504,2613,458,0.0574052812858783,0.7467248908296943,0.23955486493562547
brand_match + measure_conflict,1506,0.21115537848605578,1188,318,0.05723905723905724,0.6949685534591195,0.253536752127402
brand_match,4499,0.25872416092464995,3335,1164,0.05547226386806597,0.6890034364261168,0.25352653562360905
brand_conflict,5629,0.23041392787351217,4332,1297,0.05447830101569714,0.6569005397070162,0.2454472069924358
brand_match + model_match,122,0.8360655737704918,20,102,0.05,0.5784313725490197,0.4121632282724162
model_match,437,0.6567505720823799,150,287,0.04666666666666667,0.6933797909407665,0.32163410444274854
model_match + color_match,78,0.7051282051282052,23,55,0.043478260869565216,0.5818181818181818,0.37657716841139927
model_conflict + color_conflict,1219,0.13371616078753076,1056,163,0.04071969696969697,0.8773006134969326,0.19994918348605858
model_conflict + measure_match,890,0.22247191011235956,692,198,0.03901734104046243,0.7575757575757576,0.22352589444986937
color_conflict + measure_conflict,4704,0.11267006802721088,4174,530,0.03785337805462386,0.7905660377358491,0.2028970274758738
color_conflict,14506,0.1121604853164208,12879,1627,0.03781349483655563,0.8057775046097111,0.18156054274384711
brand_conflict + color_conflict,1241,0.12248186946011282,1089,152,0.03581267217630854,0.7828947368421053,0.18262186480070103
brand_match + color_conflict,992,0.1743951612903226,819,173,0.03540903540903541,0.8786127167630058,0.21209481634620833
brand_match + model_conflict,1433,0.1898115840893231,1161,272,0.034453057708871665,0.7941176470588235,0.2026904769535754
model_conflict + color_match,1088,0.23253676470588236,835,253,0.031137724550898204,0.782608695652174,0.20657323440466846
brand_match + color_match,992,0.28225806451612906,712,280,0.03089887640449438,0.7214285714285714,0.218056212607319
color_match + measure_match,2316,0.2724525043177893,1685,631,0.02967359050445104,0.7369255150554676,0.21916363065387107
model_match + number_conflict,227,0.5374449339207048,105,122,0.02857142857142857,0.8934426229508197,0.2099409372294671
model_conflict,5159,0.17735995347935646,4244,915,0.028510838831291234,0.7857923497267759,0.19827159547253695
color_match,9213,0.2324975577987626,7071,2142,0.025314665535284966,0.7637721755368814,0.19134475900501896
model_conflict + measure_conflict,1447,0.1762266758811334,1192,255,0.02348993288590604,0.8431372549019608,0.19080508449966008
brand_conflict + color_match,886,0.17042889390519186,735,151,0.02312925170068027,0.7615894039735099,0.181150674005182
number_conflict + measure_match,8385,0.22742993440667858,6478,1907,0.021302871256560666,0.9181961195595175,0.2110643870540624
brand_conflict + model_conflict,1057,0.14474929044465468,904,153,0.018805309734513276,0.7973856209150327,0.1798036089013039
color_match + measure_conflict,3567,0.2099803756658256,2818,749,0.01667849538679915,0.8184245660881175,0.18292081663332263
color_conflict + number_conflict,5639,0.10037240645504522,5073,566,0.01655824955647546,0.9257950530035336,0.1411304374034703
number_conflict,25127,0.1740756954670275,20753,4374,0.01517852840553173,0.9087791495198903,0.17289399850950238
number_conflict + measure_conflict,12522,0.17952403769365916,10274,2248,0.01382129647654273,0.9297153024911032,0.18673173650916375
brand_conflict + number_conflict,3026,0.16325181758096496,2532,494,0.013428120063191154,0.9412955465587044,0.16430836831665807
brand_match + number_conflict,2792,0.16869627507163323,2321,471,0.012925463162429988,0.921443736730361,0.17461028909326146
color_match + number_conflict,4349,0.15865716256610715,3659,690,0.01065864990434545,0.9043478260869565,0.14291523512128704
model_conflict + number_conflict,3473,0.1468471062482004,2963,510,0.008437394532568343,0.9215686274509803,0.16251426626208293
model_match + measure_match,60,0.7166666666666667,17,43,0.0,0.6976744186046512,0.33329351297565163
