kind,pattern,support,negative_support,positive_support,positive_rate,fpr,fnr,false_positives,false_negatives
word,для,9602,6462,3140,0.3270152051655905,0.10600433302383164,0.5945859872611465,685,1867
word,мл,2654,1624,1030,0.38809344385832706,0.16317733990147784,0.512621359223301,265,528
word,см,3350,2242,1108,0.3307462686567164,0.1048171275646744,0.48014440433212996,235,532
word,1,4461,3567,894,0.2004034969737727,0.0625175217269414,0.6040268456375839,223,540
word,с,4717,3660,1057,0.22408310366758533,0.060109289617486336,0.5364238410596026,220,567
word,2,3100,2277,823,0.26548387096774195,0.07949055775142731,0.5820170109356014,181,479
word,3,2370,1721,649,0.2738396624472574,0.08832074375363161,0.5531587057010786,152,359
word,набор,1201,623,578,0.48126561199000834,0.22632423756019263,0.3719723183391003,141,215
word,5,2839,2037,802,0.2824938358576964,0.0662739322533137,0.6246882793017456,135,501
word,в,1408,915,493,0.35014204545454547,0.13989071038251366,0.4908722109533469,128,242
word,игрушка,584,256,328,0.5616438356164384,0.4921875,0.28353658536585363,126,93
word,и,1406,867,539,0.3833570412517781,0.14302191464821223,0.48237476808905383,124,260
word,х,2587,1941,646,0.2497100889060688,0.0633693972179289,0.5309597523219814,123,343
word,на,2115,1690,425,0.20094562647754138,0.07041420118343195,0.6541176470588236,119,278
word,средство,612,306,306,0.5,0.369281045751634,0.3562091503267974,113,109
word,г,1784,1218,566,0.3172645739910314,0.08210180623973727,0.5671378091872792,100,321
word,мягкая,402,207,195,0.48507462686567165,0.47342995169082125,0.22564102564102564,98,44
word,шт,2538,1918,620,0.24428684003152087,0.05005213764337852,0.5806451612903226,96,360
word,кг,1265,768,497,0.39288537549407115,0.11848958333333333,0.5513078470824949,91,274
word,цвет,2391,2103,288,0.12045169385194479,0.04184498335710889,0.4479166666666667,88,129
word,мягкая игрушка,334,161,173,0.5179640718562875,0.5341614906832298,0.2138728323699422,86,37
word,100,1114,761,353,0.31687612208258525,0.11038107752956636,0.6487252124645893,84,229
word,мм,2124,1708,416,0.1958568738229755,0.043911007025761124,0.6995192307692307,75,291
word,4,1570,1120,450,0.28662420382165604,0.06607142857142857,0.6555555555555556,74,295
word,20,930,612,318,0.3419354838709677,0.12091503267973856,0.5723270440251572,74,182
word,корм,870,566,304,0.34942528735632183,0.13074204946996468,0.6085526315789473,74,185
word,50,1082,813,269,0.24861367837338263,0.08118081180811808,0.620817843866171,66,167
word,л,786,511,275,0.34987277353689566,0.12720156555772993,0.6181818181818182,65,170
word,средство для,341,176,165,0.4838709677419355,0.3693181818181818,0.3333333333333333,65,55
word,от,309,164,145,0.4692556634304207,0.38414634146341464,0.3103448275862069,63,45
word,10,1398,986,412,0.2947067238912732,0.060851926977687626,0.5970873786407767,60,246
