category,attribute,synthetic_pairs,iid_ap_delta,hard_ap_delta
Автотовары,бренд,535,-0.002431274323610677,-0.00036386125813139825
Автотовары,"высота профиля, %",14,-0.002431274323610677,-0.00036386125813139825
Автотовары,"диаметр, дюймы",5,-0.002431274323610677,-0.00036386125813139825
Автотовары,индекс нагрузки,105,-0.002431274323610677,-0.00036386125813139825
Автотовары,материал,196,-0.002431274323610677,-0.00036386125813139825
Автотовары,место установки,1,-0.002431274323610677,-0.00036386125813139825
Автотовары,расположение сиденья,40,-0.002431274323610677,-0.00036386125813139825
Автотовары,форма выпуска,2,-0.002431274323610677,-0.00036386125813139825
Автотовары,"ширина профиля, мм",5,-0.002431274323610677,-0.00036386125813139825
Аптека,бренд,69,-0.0013892861099353837,-0.021092473251609345
Аптека,количество в упаковке,6,-0.0013892861099353837,-0.021092473251609345
Аптека,оптическая сила,25,-0.0013892861099353837,-0.021092473251609345
Аптека,радиус кривизны,65,-0.0013892861099353837,-0.021092473251609345
Аптека,размер,5,-0.0013892861099353837,-0.021092473251609345
Галантерея и аксессуары,вставка,23,-0.015342048683174014,-0.0008909227895106397
Галантерея и аксессуары,материал оправы,3,-0.015342048683174014,-0.0008909227895106397
Галантерея и аксессуары,пол,191,-0.015342048683174014,-0.0008909227895106397
Галантерея и аксессуары,размер чемодана,2,-0.015342048683174014,-0.0008909227895106397
Галантерея и аксессуары,форма,18,-0.015342048683174014,-0.0008909227895106397
Галантерея и аксессуары,цвет оправы,2,-0.015342048683174014,-0.0008909227895106397
Галантерея и аксессуары,цвет товара,223,-0.015342048683174014,-0.0008909227895106397
Детские товары,марка автомобиля,9,-0.0030076896040939216,0.004728208645909504
Дом и сад,аромат,5,-0.0007098160161145284,0.012199242736659177
Дом и сад,"длина, см",12,-0.0007098160161145284,0.012199242736659177
Дом и сад,оформление,4,-0.0007098160161145284,0.012199242736659177
Дом и сад,размер пододеяльника,3,-0.0007098160161145284,0.012199242736659177
Дом и сад,размер простыни,2,-0.0007098160161145284,0.012199242736659177
