split,category,baseline_ap,baseline_pairs,hard_negative_ap,hard_negative_pairs,ap_delta,synthetic_pairs
iid,Автотовары,0.7032940606185564,707,0.7008627862949457,707,-0.002431274323610677,903
iid,Аптека,0.8244106314436178,624,0.8230213453336824,624,-0.0013892861099353837,170
iid,Бытовая химия,0.8855504224670688,642,0.8757538006745611,642,-0.009796621792507731,0
iid,Галантерея и аксессуары,0.6623292045977336,629,0.6469871559145596,629,-0.015342048683174014,462
iid,Детские товары,0.9322501519279102,676,0.9292424623238162,676,-0.0030076896040939216,9
iid,Дом и сад,0.834934309240425,668,0.8342244932243105,668,-0.0007098160161145284,401
iid,Канцелярские товары,0.7937569281537586,637,0.7924471443306138,637,-0.0013097838231448389,67
iid,Красота и гигиена,0.8335774858049971,674,0.8312407191409794,674,-0.00233676666401772,89
iid,Мебель,0.6973671574569881,741,0.6722800454942077,741,-0.02508711196278035,990
iid,Музыкальные инструменты,0.8916078231547138,660,0.8866071446701449,660,-0.005000678484568866,500
iid,Обувь,0.5250739050718083,693,0.49299708345768456,693,-0.03207682161412373,775
iid,Продукты питания,0.8760202871088628,690,0.8626864264521857,690,-0.013333860656677077,355
iid,Спорт и отдых,0.7132856200948683,624,0.7059238669352436,624,-0.007361753159624729,309
iid,Строительство и ремонт,0.776054960663266,664,0.7646799949153642,664,-0.011374965747901755,409
iid,Товары для животных,0.8697436238293604,624,0.8697861990636927,624,4.2575234332264955e-05,242
iid,Хобби и творчество,0.9312279689369829,628,0.9305688295598383,628,-0.0006591393771445686,212
iid,Электроника,0.7390395981310308,696,0.7327514693851157,696,-0.006288128745915111,532
iid,Ювелирные изделия,0.7238064312978284,723,0.666089674989259,723,-0.05771675630856943,1304
hard,Автотовары,0.16277216902976213,316,0.16240830777163073,316,-0.00036386125813139825,903
hard,Аптека,0.3995829769992243,308,0.37849050374761495,308,-0.021092473251609345,170
hard,Бытовая химия,0.6276954447314467,311,0.6055944053868334,311,-0.02210103934461327,0
hard,Галантерея и аксессуары,0.21304925642733544,308,0.2121583336378248,308,-0.0008909227895106397,462
hard,Детские товары,0.5496489845674795,294,0.554377193213389,294,0.004728208645909504,9
hard,Дом и сад,0.38586163459047107,284,0.39806087732713025,284,0.012199242736659177,401
hard,Канцелярские товары,0.45182136379108984,282,0.4807042092253146,282,0.028882845434224758,67
hard,Красота и гигиена,0.40286689757011757,287,0.40421919903618486,287,0.001352301466067296,89
hard,Мебель,0.1785648524552567,339,0.1833828643114482,339,0.0048180118561915175,990
hard,Музыкальные инструменты,0.40673458410133356,431,0.4117757787200544,431,0.005041194618720823,500
hard,Обувь,0.11692233648341593,325,0.13403415807694458,325,0.017111821593528642,775
hard,Продукты питания,0.4863285680031322,311,0.466310563409963,311,-0.02001800459316916,355
hard,Спорт и отдых,0.21848407009603593,300,0.22640005355332243,300,0.007915983457286502,309
hard,Строительство и ремонт,0.2786410265492697,298,0.2921702380360282,298,0.013529211486758508,409
hard,Товары для животных,0.5483504639997182,319,0.5499859768199896,319,0.001635512820271412,242
hard,Хобби и творчество,0.5779786472497128,295,0.5796437960622143,295,0.0016651488125014602,212
hard,Электроника,0.39872232034976174,407,0.40021787067887066,407,0.001495550329108919,532
hard,Ювелирные изделия,0.1819283859248977,399,0.18310337646865057,399,0.001174990543752863,1304
ood,Бытовая техника,0.8331151594668507,17814,0.8244675729993697,17814,-0.008647586467480983,0
ood,Одежда,0.45121903115910167,23357,0.4405302166943945,23357,-0.010688814464707153,0
