category,pairs,positive_rate,light_oof_ap
Одежда,23357,0.11778053688401764,0.27077210860686945
Обувь,18362,0.0987365210761355,0.2817632692386858
Ювелирные изделия,18695,0.12393688151912276,0.2988030232153909
Галантерея и аксессуары,17984,0.16764902135231316,0.40066303072161036
Мебель,18366,0.15005989328106284,0.41759936368045664
Электроника,18681,0.1727423585461164,0.4428823894919678
Спорт и отдых,17717,0.2596376361686516,0.47958663278645575
Канцелярские товары,17435,0.3385718382563808,0.5389876081815465
Дом и сад,17574,0.26220553089791737,0.5419859798448582
Строительство и ремонт,18102,0.2170478400176776,0.547490706988354
Аптека,18285,0.07262783702488379,0.5547788408080209
Автотовары,19010,0.17496054708048395,0.5612236617470756
Красота и гигиена,17286,0.363473331019322,0.5767510059651524
Продукты питания,18284,0.27050973528768324,0.5824308551954647
Товары для животных,18211,0.35582889462412826,0.6154752855694511
Бытовая химия,17436,0.4693163569626061,0.6664524297284307
Музыкальные инструменты,17817,0.22169837795363978,0.6901606074360501
Бытовая техника,17814,0.35949253396205233,0.7064686703377764
Хобби и творчество,17677,0.4639927589523109,0.7582430931740562
Детские товары,17561,0.5619839416889699,0.7689025375522458
