category,all_items,human_pairs,human_pair_share,human_soft_positive_mass,human_threshold_positive_rate,human_exact_zero_rate,human_exact_one_rate,human_uncertain_rate,llm_pairs,llm_pair_share,llm_soft_positive_mass,llm_threshold_positive_rate,llm_exact_zero_rate,llm_exact_one_rate,llm_uncertain_rate,threshold_rate_delta_llm_minus_human,soft_mass_delta_llm_minus_human,llm_unique_items,llm_mean_degree,llm_degree_one_rate,llm_max_degree
Автотовары,1028081,19010,0.05198903881811767,0.17496054708048395,0.17496054708048395,0.8250394529195161,0.17496054708048395,0.0,593803,0.05307603474505219,0.31903996592959094,0.3181240242976206,0.6112043893345099,0.21770183040503333,0.17109378026045674,0.14316347721713665,0.144079418849107,986376,1.2040094243979984,0.8508540353779898,14
Аптека,590750,18285,0.05000629009938357,0.07262783702488379,0.07262783702488379,0.9273721629751163,0.07262783702488379,0.0,553908,0.049510090473713284,0.21026656652970047,0.19280458126620306,0.6673147887374798,0.08891548777053229,0.24376972349198783,0.12017674424131927,0.13763872950481668,534657,2.072012523917203,0.741656800528189,33
Бытовая техника,602241,17814,0.04871818713866114,0.35949253396205233,0.35949253396205233,0.6405074660379477,0.35949253396205233,0.0,548549,0.04903108570243605,0.31016189984850945,0.30146258584009816,0.532763709349575,0.12196904925539924,0.3452672413950258,-0.05802994812195417,-0.04933063411354288,549957,1.994879599677793,0.7482839567457092,42
Бытовая химия,379701,17436,0.047684422979100465,0.4693163569626061,0.4693163569626061,0.5306836430373939,0.4693163569626061,0.0,517729,0.04627629431397471,0.42181699091395086,0.4154354884505214,0.44027280681592107,0.23861711435905658,0.32111007882502235,-0.05388086851208468,-0.047499366048655234,338519,3.0587884284190845,0.6121901577164058,88
Галантерея и аксессуары,728338,17984,0.04918310752788155,0.16764902135231316,0.16764902135231316,0.8323509786476868,0.16764902135231316,0.0,551785,0.049320329859900716,0.1082368031832044,0.09934485352084599,0.8234729106445445,0.03959513216198338,0.1369319571934721,-0.06830416783146717,-0.05941221816910876,661763,1.667621187645728,0.7345968269607095,80
Детские товары,703910,17561,0.04802627620646841,0.5619839416889699,0.5619839416889699,0.43801605831103013,0.5619839416889699,0.0,559016,0.04996666005230707,0.3006787323121739,0.29800757044521087,0.5784038381727893,0.1407652017115789,0.28083096011563174,-0.26397637124375906,-0.261305209376796,642903,1.7390368375944738,0.7544684034761076,75
Дом и сад,938725,17574,0.04806182894211468,0.26220553089791737,0.26220553089791737,0.7377944691020826,0.26220553089791737,0.0,572845,0.051202740847603366,0.24145914979910213,0.2340406218086917,0.6446193996630851,0.09851879653309359,0.2568618038038213,-0.02816490908922567,-0.020746381098815242,884288,1.2956073134544401,0.8181780144025476,60
Канцелярские товары,659106,17435,0.04768168815328152,0.3385718382563808,0.3385718382563808,0.6614281617436192,0.3385718382563808,0.0,554296,0.049544771169972954,0.2616423956393937,0.25475558185518205,0.6221278883484637,0.11508291598712601,0.26278919566441034,-0.08381625640119877,-0.07692944261698714,598503,1.8522747588566808,0.7346596424746409,28
Красота и гигиена,745706,17286,0.04727419910625892,0.363473331019322,0.363473331019322,0.636526668980678,0.363473331019322,0.0,572076,0.05113400513774851,0.30860526689926976,0.30320272131674814,0.573570644459827,0.15926380410994342,0.2671655514302296,-0.06027060970257386,-0.05486806412005224,695261,1.6456438661164656,0.7452827067820574,18
Мебель,642548,18366,0.050227810990718,0.15005989328106284,0.15005989328106284,0.8499401067189372,0.15005989328106284,0.0,564883,0.050491071508377894,0.20912865535380284,0.17695168734056432,0.6116151486236973,0.05252238074079057,0.3358624706355121,0.026891794059501484,0.059068762072740005,588192,1.9207435667265111,0.7643337549643654,29
Музыкальные инструменты,339875,17817,0.04872639161611797,0.22169837795363978,0.22169837795363978,0.7783016220463602,0.22169837795363978,0.0,515675,0.04609270114356914,0.3472510140430827,0.34750181800552676,0.5301808309497261,0.1789809473020798,0.2908382217481941,0.12580344005188698,0.1255526360894429,298831,3.4512818281905155,0.5788121045005371,208
Обувь,633353,18362,0.050216871687442224,0.0987365210761355,0.0987365210761355,0.9012634789238645,0.0987365210761355,0.0,589894,0.052726635668559806,0.06645657242374618,0.06008367605027344,0.8934469582670785,0.02868311934008483,0.07786992239283667,-0.038652845025862054,-0.03227994865238931,597200,1.9755324849296718,0.6291393168117884,30
Одежда,827617,23357,0.06387732665306546,0.11778053688401764,0.11778053688401764,0.8822194631159823,0.11778053688401764,0.0,596224,0.05329243156372399,0.06101435403845236,0.05171043097896093,0.8919617459209961,0.021161509768140834,0.08687674431086304,-0.06607010590505671,-0.05676618284556528,780838,1.5271387919133035,0.7114753636477733,73
Продукты питания,497606,18284,0.05000355527356463,0.27050973528768324,0.27050973528768324,0.7294902647123168,0.27050973528768324,0.0,560329,0.050084020243515694,0.3154680355449903,0.29525689371779795,0.5180938341581464,0.1392431946231589,0.3426629712186947,0.024747158430114713,0.04495830025730707,459614,2.4382590608641164,0.6913496977898845,88
Спорт и отдых,666988,17717,0.04845290903422361,0.2596376361686516,0.2596376361686516,0.7403623638313485,0.2596376361686516,0.0,547036,0.0488958488636709,0.24825016594479665,0.24013044845311826,0.6232350338917365,0.09182576649434407,0.2849391996139194,-0.019507187715533336,-0.011387470223854945,602647,1.8154441986768373,0.7587161306701933,223
Строительство и ремонт,909895,18102,0.04950581697451689,0.2170478400176776,0.2170478400176776,0.7829521599823224,0.2170478400176776,0.0,567874,0.0507584167725858,0.28683866882833553,0.2778591729855567,0.5706142559793194,0.11011949833942036,0.3192662456812603,0.06081133296787908,0.06979082881065793,849536,1.3369039098990507,0.8056127109386771,14
Товары для животных,558992,18211,0.04980391298878174,0.35582889462412826,0.35582889462412826,0.6441711053758717,0.35582889462412826,0.0,565877,0.050579918446733846,0.3662505770295979,0.3533859831730217,0.47814807811591564,0.18196003725191162,0.33989188463217274,-0.002442911451106533,0.010421682405469646,513442,2.204248970672442,0.7298020029526218,50
Хобби и творчество,646361,17677,0.048343516001465865,0.4639927589523109,0.4639927589523109,0.536007241047689,0.4639927589523109,0.0,548332,0.049011689539837214,0.2577803633970336,0.25764317967946426,0.6353358913942648,0.10188900155380318,0.262775107051932,-0.20634957927284664,-0.20621239555527732,589112,1.8615543394125396,0.716483453061557,76
Электроника,905213,18681,0.051089281123685236,0.1727423585461164,0.1727423585461164,0.8272576414538836,0.1727423585461164,0.0,584100,0.05220874918884712,0.13792330080465673,0.1270005136106831,0.7697671631569937,0.04293785310734463,0.1872949837356617,-0.04574184493543329,-0.03481905774145966,863950,1.3521615834249667,0.7679067075640952,29
Ювелирные изделия,392755,18695,0.05112756868515044,0.12393688151912276,0.12393688151912276,0.8760631184808773,0.12393688151912276,0.0,523549,0.04679650475786975,0.12484303177819925,0.1104557548577115,0.7838311218243182,0.03229115135355048,0.18387772682213127,-0.013481126661411255,0.0009061502590764908,349021,3.0001002804988812,0.637944421682363,112
