source,category,pairs,target_mean,ratio_mean,ratio_p50,ratio_p90,token_set_mean,token_set_p50,token_set_p90,exact_name_rate,number_jaccard_mean
human,Автотовары,10000.0,0.1773,56.95924377441406,56.35083198547363,80.72399826049805,72.88838195800781,75.86206817626953,100.0,0.0036,0.2309751659631729
human,Аптека,10000.0,0.0709,72.59593200683594,77.89473724365234,94.6236572265625,85.2813491821289,89.47368621826172,97.5012435913086,0.004,0.43897560238838196
human,Бытовая техника,10000.0,0.3632,62.83973693847656,62.71186447143555,85.39325714111328,80.6198959350586,84.21052551269531,100.0,0.0095,0.449749618768692
human,Бытовая химия,10000.0,0.4704,63.15542984008789,62.650604248046875,85.85725173950196,82.19830322265625,85.71428680419922,100.0,0.0085,0.5454667210578918
human,Галантерея и аксессуары,10000.0,0.1637,53.33674240112305,51.72413635253906,82.92682647705078,77.1035385131836,82.60869598388672,100.0,0.0394,0.21133552491664886
human,Детские товары,10000.0,0.56,67.97774505615234,70.45454406738281,90.62724838256837,84.84657287597656,90.52631378173828,100.0,0.0159,0.4894610643386841
human,Дом и сад,10000.0,0.2647,57.649932861328125,55.69620132446289,87.17948913574219,75.02216339111328,79.36508178710938,100.0,0.0201,0.37905311584472656
human,Канцелярские товары,10000.0,0.3343,56.9287109375,55.55555725097656,87.5,76.478271484375,81.63265228271484,100.0,0.012,0.376369833946228
human,Красота и гигиена,10000.0,0.3661,60.34503936767578,59.8425178527832,84.4720458984375,79.91915893554688,84.70587921142578,100.0,0.0096,0.5281444787979126
human,Мебель,10000.0,0.1506,58.05730438232422,55.913978576660156,87.17948913574219,73.27069854736328,78.26087188720703,95.23809814453125,0.0039,0.2781442105770111
human,Музыкальные инструменты,10000.0,0.2182,60.30755615234375,58.58585739135742,88.23529052734375,79.94659423828125,84.9056625366211,100.0,0.019,0.4083794057369232
human,Обувь,10000.0,0.0985,47.878238677978516,47.3684196472168,72.7272720336914,78.75360107421875,100.0,100.0,0.0529,0.05625135824084282
human,Одежда,10000.0,0.1197,42.578338623046875,40.0,66.66666412353516,69.86824035644531,72.7272720336914,100.0,0.0388,0.07199767976999283
human,Продукты питания,10000.0,0.2724,61.63751983642578,60.674156188964844,84.40367126464844,79.90962982177734,82.78556060791016,100.0,0.0093,0.6013685464859009
human,Спорт и отдых,10000.0,0.2657,60.95981216430664,61.17647171020508,87.5,78.1026840209961,82.92682647705078,100.0,0.0077,0.39989423751831055
human,Строительство и ремонт,10000.0,0.2123,61.33196258544922,60.0,88.88888549804688,78.4990463256836,82.60869598388672,100.0,0.0067,0.3332701027393341
human,Товары для животных,10000.0,0.3525,62.58793258666992,61.374887466430664,85.45454406738281,82.62025451660156,85.39325714111328,100.0,0.0071,0.5643128156661987
human,Хобби и творчество,10000.0,0.4671,68.5160903930664,71.91011047363281,90.72164916992188,83.88978576660156,89.15662384033203,100.0,0.017,0.5428385138511658
human,Электроника,10000.0,0.1747,54.19115447998047,52.75399398803711,79.36508178710938,73.92564392089844,76.19047546386719,96.07843017578125,0.004,0.41894230246543884
human,Ювелирные изделия,10000.0,0.1224,51.89002227783203,51.25314140319824,70.5882339477539,69.73546600341797,70.1754379272461,95.23809814453125,0.0023,0.32666119933128357
llm,Автотовары,10000.0,0.31451111111111113,52.2442741394043,50.98039245605469,74.66666412353516,69.86261749267578,70.96774291992188,95.3867874145508,0.0045,0.22164985537528992
llm,Аптека,10000.0,0.21131111111111114,57.453311920166016,54.16666793823242,91.09131164550782,77.239990234375,82.02281951904297,98.63013458251953,0.0165,0.46245449781417847
llm,Бытовая техника,10000.0,0.3050333333333333,53.26850128173828,50.98039245605469,80.27908706665042,73.01573944091797,75.0,100.0,0.0283,0.25234588980674744
llm,Бытовая химия,10000.0,0.4364,58.41778564453125,56.97999382019043,81.03914413452151,76.8144760131836,78.9916000366211,100.0,0.0079,0.4683448076248169
llm,Галантерея и аксессуары,10000.0,0.10754444444444443,48.78498840332031,46.57534408569336,74.19355010986328,74.24298858642578,76.92308044433594,100.0,0.031,0.15238848328590393
llm,Детские товары,10000.0,0.29032222222222215,50.733245849609375,47.31182861328125,82.05668258666994,69.10301971435547,70.14925384521484,100.0,0.0409,0.24257025122642517
llm,Дом и сад,10000.0,0.245,52.749576568603516,49.438201904296875,78.33333587646484,69.66594696044922,68.76990509033203,100.0,0.0117,0.37148627638816833
llm,Канцелярские товары,10000.0,0.2647666666666667,52.95819854736328,51.11111068725586,77.42390060424806,72.65853118896484,73.68421173095703,100.0,0.0152,0.3370511829853058
llm,Красота и гигиена,10000.0,0.3073,52.22130584716797,50.5494499206543,75.7594581604004,71.7332763671875,73.86001205444336,100.0,0.0168,0.4302345812320709
llm,Мебель,10000.0,0.21323333333333336,61.003387451171875,56.91682243347168,91.45789642333985,78.50651550292969,82.92682647705078,100.0,0.0116,0.366798996925354
llm,Музыкальные инструменты,10000.0,0.34502222222222223,56.264068603515625,51.8975944519043,94.7368392944336,75.5356216430664,80.0,100.0,0.0806,0.3831138610839844
llm,Обувь,10000.0,0.06529999999999998,50.990875244140625,50.0,83.87096405029297,73.68309020996094,90.5660400390625,100.0,0.0832,0.26607489585876465
llm,Одежда,10000.0,0.061855555555555546,44.87682342529297,40.0,81.0810775756836,70.09199523925781,77.77777862548828,100.0,0.079,0.06588034331798553
llm,Продукты питания,10000.0,0.3149777777777778,59.39154815673828,58.13953399658203,81.32014541625978,77.20697784423828,79.24528503417969,98.21428680419922,0.0099,0.5145927667617798
llm,Спорт и отдых,10000.0,0.24632222222222222,53.306236267089844,49.50495147705078,85.71428680419922,72.48124694824219,74.50980377197266,100.0,0.0584,0.30272406339645386
