category,target,count,share_within_category
Автотовары,0.0,362935,0.6112043893345099
Автотовары,0.1111111111111111,28,4.715368564995461e-05
Автотовары,0.2222222222222222,19784,0.033317447032096506
Автотовары,0.3333333333333333,14694,0.024745580605015468
Автотовары,0.4444444444444444,7459,0.012561405045107553
Автотовары,0.5555555555555556,8813,0.014841622558323215
Автотовары,0.6666666666666666,5697,0.00959409096956398
Автотовары,0.7777777777777778,11155,0.01878569155090156
Автотовары,0.8888888888888888,33966,0.05720078881379852
Автотовары,1.0,129272,0.21770183040503333
Аптека,0.0,369631,0.6673147887374798
Аптека,0.1111111111111111,376,0.0006788130880940517
Аптека,0.2222222222222222,42989,0.07761036128743401
Аптека,0.3333333333333333,23230,0.04193837243730006
Аптека,0.4444444444444444,10886,0.019653083183488955
Аптека,0.5555555555555556,10301,0.01859695111823624
Аптека,0.6666666666666666,6791,0.01226015872671996
Аптека,0.7777777777777778,10507,0.01896885403352181
Аптека,0.8888888888888888,29946,0.05406312961719275
Аптека,1.0,49251,0.08891548777053229
Бытовая техника,0.0,292247,0.532763709349575
Бытовая техника,0.1111111111111111,40,7.291964801685903e-05
Бытовая техника,0.2222222222222222,40024,0.07296339980566914
Бытовая техника,0.3333333333333333,33212,0.06054518374839805
Бытовая техника,0.4444444444444444,17659,0.032192201608242835
Бытовая техника,0.5555555555555556,20958,0.038206249578433285
Бытовая техника,0.6666666666666666,12778,0.023294181558985615
Бытовая техника,0.7777777777777778,20521,0.0374096024238491
Бытовая техника,0.8888888888888888,44204,0.08058350302343091
Бытовая техника,1.0,66906,0.12196904925539924
Бытовая химия,0.0,227942,0.44027280681592107
Бытовая химия,0.1111111111111111,67,0.00012941133295604458
Бытовая химия,0.2222222222222222,33885,0.0654492987644115
Бытовая химия,0.3333333333333333,27185,0.05250816546880704
Бытовая химия,0.4444444444444444,13567,0.026204829167382936
Бытовая химия,0.5555555555555556,15031,0.02903256336809412
Бытовая химия,0.6666666666666666,9810,0.018948136959683542
Бытовая химия,0.7777777777777778,17668,0.03412596165175217
Бытовая химия,0.8888888888888888,49035,0.094711712111935
Бытовая химия,1.0,123539,0.23861711435905658
Галантерея и аксессуары,0.0,454380,0.8234729106445445
Галантерея и аксессуары,0.1111111111111111,13,2.3559901048415597e-05
