method,coverage,specialist_weight,score_mode,oof_macro_ap,oof_delta_vs_bge,oof_delta_vs_full_ensemble,routed_pairs,parameters_selected_on_oof
learned_classification,0.05,0.75,blend_minilm_0.75,0.7854188478902411,0.002182511748601179,-0.005713093635410282,15333,True
learned_classification,0.1,0.5,blend_minilm_0.50,0.7861996598330389,0.002963323691398956,-0.004932281692612506,30666,True
learned_classification,0.15,0.5,blend_minilm_0.50,0.7873707353318833,0.004134399190243387,-0.003761206193768074,46000,True
learned_classification,0.2,0.5,blend_minilm_0.50,0.7881895078912975,0.004953171749657592,-0.0029424336343538693,61333,True
learned_classification,0.3,0.5,blend_minilm_0.50,0.7894497970025499,0.006213460860910014,-0.0016821445231014476,92000,True
learned_classification,0.4,0.5,blend_minilm_0.50,0.7902232109287562,0.006986874787116348,-0.0009087305968951132,122667,True
learned_classification,0.5,0.5,blend_minilm_0.50,0.7905222321453916,0.007285896003751735,-0.0006097093802597264,153334,True
learned_classification,0.7,0.5,blend_minilm_0.50,0.7912982259385181,0.008061889796878163,0.00016628441286670181,214668,True
learned_classification,1.0,0.5,blend_minilm_0.50,0.7911319415256514,0.007895605384011462,0.0,306669,True
uncertainty,0.1,0.5,blend_minilm_0.50,0.785715603264205,0.0024792671225650764,-0.005416338261446385,30666,True
uncertainty,0.2,0.5,blend_minilm_0.50,0.7879347822250546,0.004698446083414742,-0.003197159300596719,61333,True
uncertainty,0.4,0.5,blend_minilm_0.50,0.7900170924487007,0.006780756307060765,-0.001114849076950697,122667,True
conflict,0.1,0.5,blend_minilm_0.50,0.7861742901621589,0.002937954020518996,-0.004957651363492466,30666,True
conflict,0.2,0.5,blend_minilm_0.50,0.7879026444732992,0.0046663083316592635,-0.003229297052352198,61333,True
conflict,0.4,0.5,blend_minilm_0.50,0.7895810687872324,0.0063447326455925435,-0.001550872738418918,122667,True
