method,coverage,specialist_weight,score_mode,oof_macro_ap,iid_macro_ap,hard_macro_ap,ood_macro_ap,mean_macro_ap,iid_delta_vs_full,hard_delta_vs_full,ood_delta_vs_full,mean_delta_vs_full,worst_split_delta_vs_full,minilm_stage_fraction,minilm_stage_saved_pct,absolute_private_runtime,runtime_basis,is_previous_best_learned_15pct
learned_classification,0.05,0.75,blend_minilm_0.75,0.7854188478902411,0.7855536653349957,0.3780286099886697,0.6395409308246912,0.601041068716119,-0.007303583107088674,0.004549070707568381,-0.0017741614813235884,-0.0015095579602811826,-0.007303583107088674,0.05,95.0,,coverage_only; final H100 stage timings unavailable,False
learned_classification,0.1,0.5,blend_minilm_0.50,0.7861996598330389,0.7873803202869272,0.3773059223582278,0.6409714466407377,0.6018858964286309,-0.005476928155157212,0.0038263830771264606,-0.0003436456652771147,-0.0006647302477692518,-0.005476928155157212,0.1,90.0,,coverage_only; final H100 stage timings unavailable,False
learned_classification,0.15,0.5,blend_minilm_0.50,0.7873707353318833,0.787546592429171,0.3777387309197652,0.6420376522971328,0.6024409918820229,-0.005310656012913362,0.0042591916386638395,0.0007225599911180325,-0.00010963479437720025,-0.005310656012913362,0.15,85.0,,coverage_only; final H100 stage timings unavailable,True
learned_classification,0.2,0.5,blend_minilm_0.50,0.7881895078912975,0.788476626870708,0.3773635210272967,0.6418491064127392,0.602563084770248,-0.00438062157137642,0.003883981746195364,0.0005340141067243787,1.2458093847866891e-05,-0.00438062157137642,0.2,80.0,,coverage_only; final H100 stage timings unavailable,False
learned_classification,0.3,0.5,blend_minilm_0.50,0.7894497970025499,0.7904471588421855,0.37657440845504064,0.6413621788460109,0.6027945820477457,-0.002410089599898857,0.0030948691739393075,4.708653999607737e-05,0.00024395537134558332,-0.002410089599898857,0.3,70.0,,coverage_only; final H100 stage timings unavailable,False
learned_classification,0.4,0.5,blend_minilm_0.50,0.7902232109287562,0.7903487758936117,0.3771493849928079,0.64179455754053,0.6030975728089832,-0.00250847254847264,0.0036698457117065875,0.0004794652345152528,0.0005469461325831038,-0.00250847254847264,0.4,60.0,,coverage_only; final H100 stage timings unavailable,False
learned_classification,0.5,0.5,blend_minilm_0.50,0.7905222321453916,0.7914055009996069,0.37618040758791055,0.6413879129943032,0.6029912738606069,-0.0014517474424774468,0.002700868306809212,7.282068828839972e-05,0.0004406471842067772,-0.0014517474424774468,0.5,50.0,,coverage_only; final H100 stage timings unavailable,False
learned_classification,0.7,0.5,blend_minilm_0.50,0.7912982259385181,0.7925905194906405,0.3743804113771796,0.6417201663624534,0.6028970324100912,-0.000266728951443862,0.0009008720960782535,0.0004050740564386368,0.00034640573369104644,-0.000266728951443862,0.7,30.000000000000004,,coverage_only; final H100 stage timings unavailable,False
learned_classification,1.0,0.5,blend_minilm_0.50,0.7911319415256514,0.7928572484420844,0.37347953928110134,0.6413150923060148,0.6025506266764001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,coverage_only; final H100 stage timings unavailable,False
uncertainty,0.1,0.5,blend_minilm_0.50,0.785715603264205,0.7859586758690598,0.3761001376760676,0.639927007638909,0.6006619403946788,-0.0068985725730246195,0.002620598394966256,-0.0013880846671058267,-0.0018886862817213412,-0.0068985725730246195,0.1,90.0,,coverage_only; final H100 stage timings unavailable,False
uncertainty,0.2,0.5,blend_minilm_0.50,0.7879347822250546,0.7881903471389068,0.37617222008167445,0.6414958778912199,0.601952815037267,-0.004666901303177595,0.0026926808005731107,0.0001807855852050677,-0.0005978116391330834,-0.004666901303177595,0.2,80.0,,coverage_only; final H100 stage timings unavailable,False
uncertainty,0.4,0.5,blend_minilm_0.50,0.7900170924487007,0.7898551816005838,0.37513825797906786,0.6416442955917874,0.6022125783904797,-0.003002066841500617,0.0016587186979665214,0.0003292032857725724,-0.0003380482859204337,-0.003002066841500617,0.4,60.0,,coverage_only; final H100 stage timings unavailable,False
conflict,0.1,0.5,blend_minilm_0.50,0.7861742901621589,0.7860577339684801,0.37639078200989096,0.6404760264012888,0.6009748474598866,-0.006799514473604273,0.0029112427287896203,-0.000839065904726044,-0.0015757792165135287,-0.006799514473604273,0.1,90.0,,coverage_only; final H100 stage timings unavailable,False
conflict,0.2,0.5,blend_minilm_0.50,0.7879026444732992,0.7884743504115667,0.3768888054076578,0.6403812343965226,0.6019147967385824,-0.004382898030517723,0.003409266126556454,-0.0009338579094921862,-0.0006358299378177446,-0.004382898030517723,0.2,80.0,,coverage_only; final H100 stage timings unavailable,False
conflict,0.4,0.5,blend_minilm_0.50,0.7895810687872324,0.7911895085128952,0.37679592012342933,0.6409768482425885,0.6029874256263043,-0.001667739929189227,0.003316380842327993,-0.0003382440634263073,0.00043679894990411583,-0.001667739929189227,0.4,60.0,,coverage_only; final H100 stage timings unavailable,False
