split,method,coverage,specialist_weight,macro_ap
iid,bge,0.0,0.0,0.7822219461825138
iid,full_ensemble,1.0,0.5,0.7928572484420844
iid,learned_classification,0.05,0.75,0.7855536653349957
iid,learned_classification,0.1,0.5,0.7873803202869272
iid,learned_classification,0.15,0.5,0.787546592429171
iid,learned_classification,0.2,0.5,0.788476626870708
iid,learned_classification,0.3,0.5,0.7904471588421855
iid,learned_classification,0.4,0.5,0.7903487758936117
iid,learned_classification,0.5,0.5,0.7914055009996069
iid,learned_classification,0.7,0.5,0.7925905194906405
iid,learned_classification,1.0,0.5,0.7928572484420844
iid,uncertainty,0.1,0.5,0.7859586758690598
iid,uncertainty,0.2,0.5,0.7881903471389068
iid,uncertainty,0.4,0.5,0.7898551816005838
iid,conflict,0.1,0.5,0.7860577339684801
iid,conflict,0.2,0.5,0.7884743504115667
iid,conflict,0.4,0.5,0.7911895085128952
hard,bge,0.0,0.0,0.3759746515593398
hard,full_ensemble,1.0,0.5,0.37347953928110134
hard,learned_classification,0.05,0.75,0.3780286099886697
hard,learned_classification,0.1,0.5,0.3773059223582278
hard,learned_classification,0.15,0.5,0.3777387309197652
hard,learned_classification,0.2,0.5,0.3773635210272967
hard,learned_classification,0.3,0.5,0.37657440845504064
hard,learned_classification,0.4,0.5,0.3771493849928079
hard,learned_classification,0.5,0.5,0.37618040758791055
hard,learned_classification,0.7,0.5,0.3743804113771796
hard,learned_classification,1.0,0.5,0.37347953928110134
hard,uncertainty,0.1,0.5,0.3761001376760676
hard,uncertainty,0.2,0.5,0.37617222008167445
hard,uncertainty,0.4,0.5,0.37513825797906786
hard,conflict,0.1,0.5,0.37639078200989096
hard,conflict,0.2,0.5,0.3768888054076578
hard,conflict,0.4,0.5,0.37679592012342933
ood,bge,0.0,0.0,0.6412704537924441
ood,full_ensemble,1.0,0.5,0.6413150923060148
ood,learned_classification,0.05,0.75,0.6395409308246912
ood,learned_classification,0.1,0.5,0.6409714466407377
ood,learned_classification,0.15,0.5,0.6420376522971328
ood,learned_classification,0.2,0.5,0.6418491064127392
ood,learned_classification,0.3,0.5,0.6413621788460109
ood,learned_classification,0.4,0.5,0.64179455754053
ood,learned_classification,0.5,0.5,0.6413879129943032
ood,learned_classification,0.7,0.5,0.6417201663624534
ood,learned_classification,1.0,0.5,0.6413150923060148
ood,uncertainty,0.1,0.5,0.639927007638909
ood,uncertainty,0.2,0.5,0.6414958778912199
ood,uncertainty,0.4,0.5,0.6416442955917874
ood,conflict,0.1,0.5,0.6404760264012888
ood,conflict,0.2,0.5,0.6403812343965226
ood,conflict,0.4,0.5,0.6409768482425885
