rule_id,canonical_rule,concept,relation,catalog_tier,human_pairs,human_positive_pairs,human_negative_pairs,false_positive_pairs,false_negative_pairs,model_error_pairs,oof_hard_pairs,hard_negative_pairs,hard_positive_pairs,clean_pairs,clean_negative_pairs,clean_false_positive_pairs,mean_oof_score,mean_hardness,error_rate,false_positive_rate,false_negative_rate,hard_rate,human_training_priority
rule_4027fb60fec7ff28,target_surface has different explicit values,target_surface,different_value,RARE_SAFE,99,31,68,14,12,26,27,26,1,20,12,2,0.3507501,0.32446018,0.26262626262626265,0.20588235294117646,0.3870967741935484,0.2727272727272727,USE_EXISTING_HUMAN_ERRORS_FIRST
rule_d72b383e5fdd66e3,target_animal has different explicit values,target_animal,different_value,RARE_SAFE,192,47,145,11,18,29,32,27,5,48,30,5,0.26074883,0.20926517,0.15104166666666666,0.07586206896551724,0.3829787234042553,0.16666666666666666,USE_EXISTING_HUMAN_ERRORS_FIRST
rule_755fccc70551246d,cable_length has different explicit values,cable_length,different_value,RARE_SAFE,157,5,152,3,2,5,11,11,0,31,30,2,0.103471875,0.10048579,0.03184713375796178,0.019736842105263157,0.4,0.07006369426751592,USE_EXISTING_HUMAN_HARD
rule_7cf1ef1fdf525008,active_ingredient has different explicit values,active_ingredient,different_value,RARE_SAFE,63,8,55,3,5,8,13,10,3,18,15,0,0.16406612,0.20056494,0.12698412698412698,0.05454545454545454,0.625,0.20634920634920634,USE_EXISTING_HUMAN_HARD
rule_2927e486f6832204,design_pattern has different explicit values,design_pattern,different_value,RARE_SAFE,81,0,81,3,0,3,3,3,0,18,18,2,0.06279877,0.06279877,0.037037037037037035,0.037037037037037035,,0.037037037037037035,LOW_OBSERVED_MODEL_ERROR
rule_8fa25cdb4fe1bd4d,sheet_size has different explicit values,sheet_size,different_value,RARE_SAFE,72,3,69,2,3,5,7,7,0,1,1,0,0.12360246,0.16027856,0.06944444444444445,0.028985507246376812,1.0,0.09722222222222222,USE_EXISTING_HUMAN_HARD
rule_a7d48af850b67d17,instrument_type has different explicit values,instrument_type,different_value,RARE_SAFE,241,15,226,2,10,12,8,6,2,17,12,0,0.07631269,0.09875419,0.04979253112033195,0.008849557522123894,0.6666666666666666,0.03319502074688797,USE_EXISTING_HUMAN_HARD
rule_e47906aec49b09ca,compatible_model has different explicit values,compatible_model,different_value,RARE_SAFE,298,17,281,1,17,18,8,4,4,81,74,1,0.055100095,0.094986625,0.06040268456375839,0.0035587188612099642,1.0,0.026845637583892617,LOW_OBSERVED_MODEL_ERROR
rule_ecedb87a894f9151,hook_size has different explicit values,hook_size,different_value,RARE_SAFE,71,4,67,1,4,5,4,3,1,26,23,0,0.07694833,0.13079013,0.07042253521126761,0.014925373134328358,1.0,0.056338028169014086,LOW_OBSERVED_MODEL_ERROR
rule_e35082696c4369a5,lash_curl has different explicit values,lash_curl,different_value,RARE_SAFE,59,0,59,1,0,1,2,2,0,17,17,1,0.044231396,0.044231396,0.01694915254237288,0.01694915254237288,,0.03389830508474576,LOW_OBSERVED_MODEL_ERROR
