category,support,positives,positive_rate,s2_ap,catboost_ap,catboost_minus_s2_ap,token_budget_hit_rate,critical_conflict_rate,sku_human_asymmetry_rate,mean_order_gap
Мебель,339,43,0.12684365781710916,0.15631241595855894,0.14535921715104583,-0.01095319880751311,0.41002949852507375,0.5191740412979351,0.17404129793510326,0.040502071380615234
Спорт и отдых,300,80,0.26666666666666666,0.2106877126537231,0.2016953391569807,-0.008992373496742395,0.03,0.3566666666666667,0.13,0.041247934103012085
Строительство и ремонт,298,64,0.21476510067114093,0.25188165879953867,0.24383628365585108,-0.008045375143687583,0.08053691275167785,0.5637583892617449,0.1644295302013423,0.05250273272395134
Бытовая химия,311,150,0.48231511254019294,0.5181370388989699,0.513990328157186,-0.0041467107417838545,0.14790996784565916,0.2508038585209003,0.03215434083601286,0.05897403135895729
Обувь,325,30,0.09230769230769231,0.08491830793588868,0.08228547226144972,-0.002632835674438963,0.046153846153846156,0.10153846153846154,0.09538461538461539,0.0523599237203598
Электроника,407,82,0.20147420147420148,0.3014940395154282,0.29987365009605377,-0.001620389419374424,0.2113022113022113,0.3906633906633907,0.17936117936117937,0.06026826053857803
Канцелярские товары,282,97,0.34397163120567376,0.3817858120143368,0.38314616236759963,0.001360350353262818,0.0035460992907801418,0.2198581560283688,0.05673758865248227,0.04682634770870209
Продукты питания,311,89,0.2861736334405145,0.39355565839927537,0.3950509032825666,0.0014952448832912246,0.3215434083601286,0.20257234726688103,0.04501607717041801,0.05237036570906639
Аптека,308,24,0.07792207792207792,0.2654931134894137,0.26803066586286384,0.002537552373450158,0.6233766233766234,0.7077922077922078,0.06168831168831169,0.021331874653697014
Дом и сад,284,71,0.25,0.3245191389089348,0.32802101014272467,0.003501871233789866,0.08450704225352113,0.323943661971831,0.13028169014084506,0.05350939556956291
Галантерея и аксессуары,308,49,0.1590909090909091,0.1927346381292287,0.2026480245714935,0.009913386442264804,0.00974025974025974,0.06493506493506493,0.05519480519480519,0.03549443930387497
Автотовары,316,58,0.18354430379746836,0.15533794199759976,0.16590100764131074,0.010563065643710984,0.14556962025316456,0.6835443037974683,0.13291139240506328,0.03922639414668083
Красота и гигиена,287,103,0.3588850174216028,0.3634810406696459,0.3750474851627051,0.011566444493059158,0.289198606271777,0.24738675958188153,0.03832752613240418,0.055057670921087265
Музыкальные инструменты,431,87,0.20185614849187936,0.34502533476255803,0.35927447924816514,0.014249144485607101,0.004640371229698376,0.37587006960556846,0.1716937354988399,0.03143369406461716
Товары для животных,319,114,0.3573667711598746,0.407856941452999,0.4245480309994786,0.016691089546479576,0.27899686520376177,0.3072100313479624,0.09717868338557993,0.055183786898851395
Хобби и творчество,295,138,0.46779661016949153,0.5292317809292744,0.5532872469335711,0.024055466004296755,0.030508474576271188,0.23728813559322035,0.1016949152542373,0.047532591968774796
Детские товары,294,164,0.5578231292517006,0.5211708994167756,0.5530389335903239,0.03186803417354822,0.0,0.14625850340136054,0.09863945578231292,0.06121115759015083
Ювелирные изделия,399,38,0.09523809523809523,0.12812330510729392,0.1662702078142138,0.038146902706919894,0.5513784461152882,0.41854636591478694,0.10275689223057644,0.04906743764877319
