slice,hard_support,hard_support_rate,hard_positive_rate,iid_support,iid_support_rate,iid_positive_rate,hard_vs_iid_support_enrichment
all,5814,1.0,0.2547299621603027,12000,1.0,0.25983333333333336,1.0
title_exact,209,0.03594771241830065,0.023923444976076555,102,0.0085,0.37254901960784315,4.2291426374471355
high_title_similarity,3077,0.5292397660818714,0.09912252193695158,3159,0.26325,0.3817663817663818,2.0104074684971374
token_budget_hit,1088,0.1871345029239766,0.19117647058823528,2239,0.18658333333333332,0.19740955783832068,1.0029540129913888
critical_conflict,2003,0.34451324389404886,0.21168247628557163,4316,0.3596666666666667,0.11260426320667284,0.957868147990868
numeric_context_conflict,1192,0.20502235982112144,0.21728187919463088,2629,0.21908333333333332,0.09851654621529099,0.935819063466511
unit_conflict,586,0.10079119367045064,0.30716723549488056,1422,0.1185,0.11181434599156118,0.8505585963751109
code_exact,415,0.07137942896456828,0.14216867469879518,519,0.04325,0.41811175337186895,1.6503914211460875
code_conflict,537,0.09236326109391124,0.20297951582867785,1226,0.10216666666666667,0.08482871125611746,0.9040449699240904
brand_match,571,0.09821121431028552,0.22066549912434325,1088,0.09066666666666667,0.2610294117647059,1.0832119225399137
brand_conflict,503,0.08651530787753697,0.2664015904572565,1239,0.10325,0.2397094430992736,0.8379206574095591
model_match,36,0.006191950464396285,0.16666666666666666,88,0.007333333333333333,0.625,0.8443568815085843
model_conflict,479,0.0823873409012728,0.19832985386221294,1183,0.09858333333333333,0.15469146238377007,0.8357126718641366
memory_match,34,0.005847953216374269,0.14705882352941177,130,0.010833333333333334,0.06923076923076923,0.5398110661268556
memory_conflict,17,0.0029239766081871343,0.11764705882352941,35,0.002916666666666667,0.14285714285714285,1.0025062656641603
color_match,948,0.16305469556243551,0.20042194092827004,1765,0.14708333333333334,0.21246458923512748,1.1085871652970118
color_conflict,1358,0.23357413140694874,0.17673048600883653,2842,0.23683333333333334,0.1171710063335679,0.9862384155113951
sku_human_asymmetry,622,0.10698314413484693,0.4292604501607717,1757,0.14641666666666667,0.21343198634035287,0.7306759986443728
