dataset,slice,support,support_rate,positives,positive_rate,negative_support,positive_support
hard,all,5814,1.0,1481,0.2547299621603027,4333,1481
hard,title_exact,209,0.03594771241830065,5,0.023923444976076555,204,5
hard,high_title_similarity,3077,0.5292397660818714,305,0.09912252193695158,2772,305
hard,token_budget_hit,1088,0.1871345029239766,208,0.19117647058823528,880,208
hard,critical_conflict,2003,0.34451324389404886,424,0.21168247628557163,1579,424
hard,numeric_context_conflict,1192,0.20502235982112144,259,0.21728187919463088,933,259
hard,unit_conflict,586,0.10079119367045064,180,0.30716723549488056,406,180
hard,code_exact,415,0.07137942896456828,59,0.14216867469879518,356,59
hard,code_conflict,537,0.09236326109391124,109,0.20297951582867785,428,109
hard,brand_match,571,0.09821121431028552,126,0.22066549912434325,445,126
hard,brand_conflict,503,0.08651530787753697,134,0.2664015904572565,369,134
hard,model_match,36,0.006191950464396285,6,0.16666666666666666,30,6
hard,model_conflict,479,0.0823873409012728,95,0.19832985386221294,384,95
hard,memory_match,34,0.005847953216374269,5,0.14705882352941177,29,5
hard,memory_conflict,17,0.0029239766081871343,2,0.11764705882352941,15,2
hard,color_match,948,0.16305469556243551,190,0.20042194092827004,758,190
hard,color_conflict,1358,0.23357413140694874,240,0.17673048600883653,1118,240
hard,sku_human_asymmetry,622,0.10698314413484693,267,0.4292604501607717,355,267
iid,all,12000,1.0,3118,0.25983333333333336,8882,3118
iid,title_exact,102,0.0085,38,0.37254901960784315,64,38
iid,high_title_similarity,3159,0.26325,1206,0.3817663817663818,1953,1206
iid,token_budget_hit,2239,0.18658333333333332,442,0.19740955783832068,1797,442
iid,critical_conflict,4316,0.3596666666666667,486,0.11260426320667284,3830,486
iid,numeric_context_conflict,2629,0.21908333333333332,259,0.09851654621529099,2370,259
iid,unit_conflict,1422,0.1185,159,0.11181434599156118,1263,159
iid,code_exact,519,0.04325,217,0.41811175337186895,302,217
iid,code_conflict,1226,0.10216666666666667,104,0.08482871125611746,1122,104
iid,brand_match,1088,0.09066666666666667,284,0.2610294117647059,804,284
iid,brand_conflict,1239,0.10325,297,0.2397094430992736,942,297
iid,model_match,88,0.007333333333333333,55,0.625,33,55
iid,model_conflict,1183,0.09858333333333333,183,0.15469146238377007,1000,183
iid,memory_match,130,0.010833333333333334,9,0.06923076923076923,121,9
iid,memory_conflict,35,0.002916666666666667,5,0.14285714285714285,30,5
iid,color_match,1765,0.14708333333333334,375,0.21246458923512748,1390,375
iid,color_conflict,2842,0.23683333333333334,333,0.1171710063335679,2509,333
iid,sku_human_asymmetry,1757,0.14641666666666667,375,0.21343198634035287,1382,375
