pattern,category,analogy_score,lexical_analogy,structure_analogy,target1_target,target1_pair,target1_title1,target1_title2,target1_numbers1,target1_numbers2,target1_codes1,target1_codes2,target1_s2_score,target1_catboost_score,target0_target,target0_title1,target0_pair,target0_title2,target0_numbers1,target0_numbers2,target0_codes1,target0_codes2,target0_s2_score,target0_catboost_score,manual_policy_verdict,manual_comment
code_conflict,Электроника,0.9810419252546803,1.0000000000000002,0.92416770101872,1.0,[A] для acer a315-42-r9rd aspire зарядное устройство блок питания ноутбука (зарядка адаптер + кабель\шнур) || [B] для acer a315-21-68x1 aspire зарядное устройство блок питания ноутбука (зарядка адаптер + кабель/шнур),для acer a315-42-r9rd aspire зарядное устройство блок питания ноутбука (зарядка адаптер + кабель\шнур),для acer a315-21-68x1 aspire зарядное устройство блок питания ноутбука (зарядка адаптер + кабель/шнур),12 | 19 | 42,12 | 21 | 59189,a31542r9rd,a3152168x1,0.021488719,0.027043298,0.0,для acer a315-42g-r61r aspire зарядное устройство блок питания ноутбука (зарядка адаптер + кабель\шнур),[A] для acer a315-42g-r61r aspire зарядное устройство блок питания ноутбука (зарядка адаптер + кабель\шнур) || [B] для acer a315-42g-r9xv aspire зарядное устройство блок питания ноутбука (зарядка адаптер + кабель/шнур),для acer a315-42g-r9xv aspire зарядное устройство блок питания ноутбука (зарядка адаптер + кабель/шнур),12 | 19,12 | 59360,a31542gr61r,a31542gr9xv,0.024066737,0.033212032,,
code_conflict,Музыкальные инструменты,0.9585058931975239,1.0000000000000002,0.8340235727900944,1.0,[A] акустическая гитара greg bennett gd100s || [B] greg bennett gd100rs/n акустическая гитара,акустическая гитара greg bennett gd100s,greg bennett gd100rs/n акустическая гитара,1 | 12 | 4000 | 6,20 | 4 | 6 | 648,gd100s,gd100rs,0.018644555,0.022791648,0.0,акустическая гитара greg bennett gj100s/n,[A] акустическая гитара greg bennett gj100s/n || [B] акустическая гитара greg bennett gd100s,акустическая гитара greg bennett gd100s,20 | 255 | 6,1 | 12 | 20 | 3000 | 43 | 6 | 650,gj100s,gd100s,0.0464614,0.031114815,,
code_conflict,Музыкальные инструменты,0.9311761225538715,0.9674644071497462,0.8223112687662475,1.0,"[A] электро-акустическая гитара с чехлом cort gold-oc6-nat gold series с вырезом, цвет натуральный,  || [B] gold-oc6-wcase-nat электро-акустическая гитара, с вырезом, цвет натуральный, с чехлом, cort","электро-акустическая гитара с чехлом cort gold-oc6-nat gold series с вырезом, цвет натуральный, ","gold-oc6-wcase-nat электро-акустическая гитара, с вырезом, цвет натуральный, с чехлом, cort",12 | 20 | 3900 | 42 | 6 | 643,20 | 4 | 6 | 643,goldoc6nat | pc110,goldoc6wcasenat,0.4162684,0.3582392,0.0,"gold-a6-nat gold series электро-акустическая гитара, с вырезом, цвет натуральный, с чехлом, cort","[A] gold-a6-nat gold series электро-акустическая гитара, с вырезом, цвет натуральный, с чехлом, cort || [B] gold-oc6-wcase-nat электро-акустическая гитара, с вырезом, цвет натуральный, с чехлом, cort","gold-oc6-wcase-nat электро-акустическая гитара, с вырезом, цвет натуральный, с чехлом, cort",20 | 4100 | 44 | 6,20 | 4 | 6 | 643,golda6nat,goldoc6wcasenat,0.013832669,0.026548091,,
code_conflict,Музыкальные инструменты,0.9203317096225809,1.0000000000000004,0.6813268384903223,1.0,"[A] пластик для барабана evans b12ecsrd || [B] ec reverse dot пластик для малого, том и тимбалес барабана 10"", evans b10ecsrd",пластик для барабана evans b12ecsrd,"ec reverse dot пластик для малого, том и тимбалес барабана 10"", evans b10ecsrd",1 | 12 | 7,10,b12ecsrd,b10ecsrd,0.014632332,0.023261879,0.0,пластик для барабана evans b08g14,[A] пластик для барабана evans b08g14 || [B] пластик для барабана evans b12gpw,пластик для барабана evans b12gpw,1 | 8,1,b08g14,b12gpw,0.021224905,0.028393405,,
code_conflict,Музыкальные инструменты,0.9171648476414006,1.0000000000000002,0.6686593905656014,1.0,"[A] evans / tt14ec2s пластик для малого и том барабана 14"" || [B] genera resonant пластик для том барабана 14"", резонансный, evans tt14gr","evans / tt14ec2s пластик для малого и том барабана 14""","genera resonant пластик для том барабана 14"", резонансный, evans tt14gr",1 | 14,14,tt14ec2s,tt14gr,0.026612375,0.024763135,0.0,"evans / tt14ec2s пластик для малого и том барабана 14""","[A] evans / tt14ec2s пластик для малого и том барабана 14"" || [B] g plus clear пластик для том барабана 10"", evans tt10gp","g plus clear пластик для том барабана 10"", evans tt10gp",1 | 14,10,tt14ec2s,tt10gp,0.011048911,0.020764733,,
code_conflict,Музыкальные инструменты,0.8479767800219855,0.827866650186502,0.9083071695284362,1.0,"[A] c. a. seydel sohne seydel sohne 16301c 1847 silver c губная гармошка || [B] 1847 noble high bb губная гармошка, seydel sohne 16501hbb",c. a. seydel sohne seydel sohne 16301c 1847 silver c губная гармошка,"1847 noble high bb губная гармошка, seydel sohne 16501hbb",10 | 1847 | 20,1847,16301c,16501hbb,0.029017825,0.03301514,0.0,"1847 noble high bb губная гармошка, seydel sohne 16501hbb","[A] 1847 noble high bb губная гармошка, seydel sohne 16501hbb || [B] c. a. seydel sohne 16501hab 1847 noble high ab губная гармошка, seydel sohne","c. a. seydel sohne 16501hab 1847 noble high ab губная гармошка, seydel sohne",1847,1847,16501hbb,16501hab,0.023288716,0.023218941,,
code_conflict,Музыкальные инструменты,0.7888691822080371,0.7399065487687805,0.9357570825258071,1.0,"[A] sr2635 java трости для саксофона альт №3,5 (10шт) vandoren || [B] vandoren sr2615 трости для саксофона альт №1,5 (10шт)","sr2635 java трости для саксофона альт №3,5 (10шт) vandoren","vandoren sr2615 трости для саксофона альт №1,5 (10шт)",5,1.5 | 10 | 110 | 30 | 5 | 60,sr2635,sr2615,0.021960936,0.034222275,0.0,sr343 java трости для саксофона баритон №3 (5шт) vandoren,"[A] sr343 java трости для саксофона баритон №3 (5шт) vandoren || [B] sr3425 трости для саксофона баритон №2,5 (5шт) vandoren","sr3425 трости для саксофона баритон №2,5 (5шт) vandoren",,1 | 2.5 | 5,sr343,sr3425,0.01402688,0.03670369,,
code_conflict,Автотовары,0.7683828284998849,0.846998644903389,0.5325353792893724,1.0,[A] стойка стабилизатора avantech арт. asl0203 || [B] стойка стабилизатора арт. asl0103,стойка стабилизатора avantech арт. asl0203,стойка стабилизатора арт. asl0103,0223 | 1 | 111035 | 54618 | 555 | 66,1,0223r20 | 546180f000 | 546182u600 | 546184m400 | 5461850y00 | 54618d5000 | 54618d5010 | 54618mb40a | asl0203 | cln66 | sln030,asl0103,0.04124835,0.030506661,0.0,стойка стабилизатора asp rj30036,[A] стойка стабилизатора asp rj30036 || [B] стойка стабилизатора asp rj30006,стойка стабилизатора asp rj30006,1 | 600007559226,,rj30036,rj30006,0.027106136,0.045484517,,
code_conflict,Музыкальные инструменты,0.765070950245517,0.8106875611436566,0.628221117551098,1.0,[A] чехол для классической гитары 3/4 flight fbg-5055 || [B] flight fbg-7055 чехол для 12-струнной акустической гитары,чехол для классической гитары 3/4 flight fbg-5055,flight fbg-7055 чехол для 12-струнной акустической гитары,3 | 4 | 5055,12 | 7055,fbg5055,12струнной | fbg7055,0.041350614,0.043205563,0.0,flight fbg-1009 чехол для классической гитары,[A] flight fbg-1009 чехол для классической гитары || [B] flight / fbg-1039 butterfly чехол для классической гитары,flight / fbg-1039 butterfly чехол для классической гитары,1 | 1009 | 540,1039 | 110 | 16 | 45,fbg1009,fbg1039,0.012230016,0.029252473,,
code_conflict,Музыкальные инструменты,0.722436949782952,0.7121399242394815,0.7533280264133636,1.0,"[A] w81-12e-wbag-op электро-акустическая гитара 12-струнная с чехлом, parkwood || [B] cort / af510e-op standard series электро-акустическая гитара","w81-12e-wbag-op электро-акустическая гитара 12-струнная с чехлом, parkwood",cort / af510e-op standard series электро-акустическая гитара,12 | 20 | 42 | 6782113292,1 | 108 | 14 | 2 | 20 | 46 | 6 | 647,12струнная | ce304t | w8112ewbagop,af510e | af510eop,0.007524566,0.015016398,0.0,гитара акустическая aria-205 n,[A] гитара акустическая aria-205 n || [B] гитара акустическая foix za-83cm-na,гитара акустическая foix za-83cm-na,1 | 20 | 205 | 44 | 6 | 650,,aria205,za83cmna,0.00876884,0.0095103,,
