pattern,category,analogy_score,lexical_analogy,structure_analogy,target1_id1,target1_id2,target1_target,target1_title1,target1_title2,target1_attributes1,target1_attributes2,target1_numbers1,target1_numbers2,target1_codes1,target1_codes2,target1_shared_title_tokens,target1_s2_score,target1_catboost_score,target1_title_token_jaccard,target1_numeric_context_conflict_count,target1_unit_conflict_count,target1_code_conflict,target1_model_conflict,target1_memory_conflict,target1_color_conflict,target1_sku_human_asymmetry,target1_token_budget_hit,target0_id1,target0_id2,target0_target,target0_title1,target0_title2,target0_attributes1,target0_attributes2,target0_numbers1,target0_numbers2,target0_codes1,target0_codes2,target0_shared_title_tokens,target0_s2_score,target0_catboost_score,target0_title_token_jaccard,target0_numeric_context_conflict_count,target0_unit_conflict_count,target0_code_conflict,target0_model_conflict,target0_memory_conflict,target0_color_conflict,target0_sku_human_asymmetry,target0_token_budget_hit,manual_policy_verdict,manual_comment
code_conflict,Электроника,0.9810419252546803,1.0000000000000002,0.92416770101872,377957240319,283467891972,1.0,для acer a315-42-r9rd aspire зарядное устройство блок питания ноутбука (зарядка адаптер + кабель\шнур),для acer a315-21-68x1 aspire зарядное устройство блок питания ноутбука (зарядка адаптер + кабель/шнур),назначение: блок питания; совместимость: acer; выходное напряжение: 19 в; наличие сетевого кабеля: в комплекте; гарантийный срок: 12 мес.,бренд: acer; цвет товара: черный; партномер: 59189; комплектация: полный комплект с кабелем; тип: блок питания для ноутбука; гарантийный срок: 12 мес,12 | 19 | 42,12 | 21 | 59189,a31542r9rd,a3152168x1,a315 | acer | aspire | адаптер | блок | для | зарядка | зарядное | кабель | ноутбука | питания | устройство | шнур,0.021488719,0.027043298,0.7647058823529411,0,0,1.0,0.0,0.0,0.0,0.0,False,661425025392,171798845530,0.0,для acer a315-42g-r61r aspire зарядное устройство блок питания ноутбука (зарядка адаптер + кабель\шнур),для acer a315-42g-r9xv aspire зарядное устройство блок питания ноутбука (зарядка адаптер + кабель/шнур),назначение: блок питания; совместимость: acer; выходное напряжение: 19 в; наличие сетевого кабеля: в комплекте; гарантийный срок: 12 мес.,бренд: acer; цвет товара: черный; партномер: 59360; комплектация: полный комплект с кабелем; тип: блок питания для ноутбука; гарантийный срок: 12 мес,12 | 19,12 | 59360,a31542gr61r,a31542gr9xv,42g | a315 | acer | aspire | адаптер | блок | для | зарядка | зарядное | кабель | ноутбука | питания | устройство | шнур,0.024066737,0.033212032,0.875,0,0,1.0,0.0,0.0,0.0,0.0,False,,
code_conflict,Музыкальные инструменты,0.9585058931975239,1.0000000000000002,0.8340235727900944,566935794596,154618865586,1.0,акустическая гитара greg bennett gd100s,greg bennett gd100rs/n акустическая гитара,"бренд: greg bennett; страна-изготовитель: индонезия; партномер: 1; комплектация: гитара 1 шт; количество струн: 6; тип: акустическая гитара; гарантийный срок: 12 месяцев; вес товара, г: 4000","тип: акустическая гитара; тип корпуса: drednought; тип грифа: вклеенный; размер: 4/4; ориентация: правосторонняя; наличие звукоснимателя: без звукоснимателя; количество ладов: 20; мензура: 648 mm; колки: закрытые; количество струн: 6; тип обмотки струн: круглая; материал корпуса: ель, палисандр; отделка: матовая; материал грифа: красное дерево; материал накладки на гриф: палисандр; материал нижней деки и обечайки: палисандр; материал верхней деки: ель; цвет: бежевый",1 | 12 | 4000 | 6,20 | 4 | 6 | 648,gd100s,gd100rs,bennett | greg | акустическая | гитара,0.018644555,0.022791648,0.5714285714285714,0,0,1.0,0.0,0.0,0.0,0.0,False,343597412393,798864002048,0.0,акустическая гитара greg bennett gj100s/n,акустическая гитара greg bennett gd100s,тип: акустическая гитара; тип корпуса: jumbo; количество ладов: 20; мензура: 255 mm; количество струн: 6; цвет: бежевый,"материал корпуса/верхней деки: ель; материал нижней деки: палисандр; бренд: greg bennett guitars; цвет товара: бежевый; название цвета: natural; страна-изготовитель: сша; материал накладки грифа: палисандр; ширина грифа, мм: 43; количество ладов, шт.: 20; форма гитары: дредноут; мензура, мм: 650; партномер: gd100s; комплектация: акустическая гитара - 1 шт, документация - 1 шт; материал обечайки: палисандр; наличие звукоснимателя: false; материал струн: металл; количество струн: 6; тип: акустическая гитара; гарантийный срок: 12 мес; вес товара, г: 3000",20 | 255 | 6,1 | 12 | 20 | 3000 | 43 | 6 | 650,gj100s,gd100s,bennett | greg | акустическая | гитара,0.0464614,0.031114815,0.5714285714285714,0,0,1.0,0.0,0.0,0.0,0.0,False,,
code_conflict,Музыкальные инструменты,0.9311761225538715,0.9674644071497462,0.8223112687662475,644245146877,68719538253,1.0,"электро-акустическая гитара с чехлом cort gold-oc6-nat gold series с вырезом, цвет натуральный, ","gold-oc6-wcase-nat электро-акустическая гитара, с вырезом, цвет натуральный, с чехлом, cort","материал корпуса/верхней деки: ель; материал нижней деки: красное дерево; бренд: cort; цвет товара: светло-коричневый; название цвета: натуральный; материал накладки грифа: черное дерево; ширина грифа, мм: 42; количество ладов, шт.: 20; мензура, мм: 643; партномер: pc110; материал грифа: красное дерево; крепление грифа: вклеенный; комплектация: гитара, чехол; материал обечайки: красное дерево; наличие звукоснимателя: false; материал струн: бронза; количество струн: 6; тип: электроакустическая гитара; гарантийный срок: 12 месяцев; вес товара, г: 3900","тип: электроакустическая гитара; тип корпуса: orchestra model; размер: 4/4; с вырезом: да; количество ладов: 20; мензура: 643 mm; количество струн: 6; материал корпуса: ель, пау ферро; материал грифа: красное дерево; материал накладки на гриф: черное дерево; материал нижней деки и обечайки: ель; материал верхней деки: ель",12 | 20 | 3900 | 42 | 6 | 643,20 | 4 | 6 | 643,goldoc6nat | pc110,goldoc6wcasenat,cort | gold | nat | oc6 | акустическая | вырезом | гитара | натуральный | с | цвет | чехлом | электро,0.4162684,0.3582392,0.8571428571428571,0,0,1.0,0.0,0.0,0.0,0.0,False,249108226340,68719538253,0.0,"gold-a6-nat gold series электро-акустическая гитара, с вырезом, цвет натуральный, с чехлом, cort","gold-oc6-wcase-nat электро-акустическая гитара, с вырезом, цвет натуральный, с чехлом, cort","бренд: cort; цвет товара: бежевый; название цвета: натуральный; материал накладки грифа: черное дерево; ширина грифа, мм: 44; количество ладов, шт.: 20; наличие звукоснимателя: false; количество струн: 6; тип: акустическая гитара; вес товара, г: 4100","тип: электроакустическая гитара; тип корпуса: orchestra model; размер: 4/4; с вырезом: да; количество ладов: 20; мензура: 643 mm; количество струн: 6; материал корпуса: ель, пау ферро; материал грифа: красное дерево; материал накладки на гриф: черное дерево; материал нижней деки и обечайки: ель; материал верхней деки: ель",20 | 4100 | 44 | 6,20 | 4 | 6 | 643,golda6nat,goldoc6wcasenat,cort | gold | nat | акустическая | вырезом | гитара | натуральный | с | цвет | чехлом | электро,0.013832669,0.026548091,0.7333333333333333,0,0,1.0,0.0,0.0,0.0,0.0,False,,
code_conflict,Музыкальные инструменты,0.9203317096225809,1.0000000000000004,0.6813268384903223,695784751110,644245159731,1.0,пластик для барабана evans b12ecsrd,"ec reverse dot пластик для малого, том и тимбалес барабана 10"", evans b10ecsrd","цвет товара: белый; тип: пластик; количество в наборе: 1 шт.; диаметр: 12""; количество слоев: 1; резонансный: есть; особенности: с усиленным центром; покрытие: прозрачное; толщина пластика: 7 мил",бренд: evans; назначение муз. аксессуара: для барабана; тип: аксессуар для ударных,1 | 12 | 7,10,b12ecsrd,b10ecsrd,evans | барабана | для | пластик,0.014632332,0.023261879,0.2857142857142857,0,0,1.0,0.0,0.0,0.0,0.0,False,618475404863,188978648710,0.0,пластик для барабана evans b08g14,пластик для барабана evans b12gpw,"цвет товара: белый; тип: пластик; назначение: для малого и том барабанов; диаметр: 8""; количество слоев: 1; материал: пленка; покрытие: матовое","бренд: evans; цвет товара: белый; страна-изготовитель: великобритания; материал муз. инструмента/аксессуара: пластик; партномер: b12gpw; назначение муз. аксессуара: для барабана; комплектация: пластик для барабана - 1 шт; количество в упаковке, шт: 1; тип: аксессуар для ударных",1 | 8,1,b08g14,b12gpw,evans | барабана | для | пластик,0.021224905,0.028393405,0.6666666666666666,0,0,1.0,0.0,0.0,0.0,0.0,False,,
code_conflict,Музыкальные инструменты,0.9171648476414006,1.0000000000000002,0.6686593905656014,249108153951,429496743834,1.0,"evans / tt14ec2s пластик для малого и том барабана 14""","genera resonant пластик для том барабана 14"", резонансный, evans tt14gr",цвет: прозрачный; комплектация: 1 упаковка; валюта: rub,бренд: evans; цвет товара: разноцветный; вид музыкального аксессуара: пластик для барабана; назначение муз. аксессуара: для барабана; тип: аксессуар для ударных,1 | 14,14,tt14ec2s,tt14gr,14 | evans | барабана | для | пластик | том,0.026612375,0.024763135,0.46153846153846156,0,0,1.0,0.0,0.0,1.0,0.0,False,249108153951,154618833459,0.0,"evans / tt14ec2s пластик для малого и том барабана 14""","g plus clear пластик для том барабана 10"", evans tt10gp",цвет: прозрачный; комплектация: 1 упаковка; валюта: rub,бренд: evans; тип: аксессуар для ударных,1 | 14,10,tt14ec2s,tt10gp,evans | барабана | для | пластик | том,0.011048911,0.020764733,0.35714285714285715,0,0,1.0,0.0,0.0,0.0,0.0,False,,
code_conflict,Музыкальные инструменты,0.8479767800219855,0.827866650186502,0.9083071695284362,566935731358,489626309637,1.0,c. a. seydel sohne seydel sohne 16301c 1847 silver c губная гармошка,"1847 noble high bb губная гармошка, seydel sohne 16501hbb",цвет товара: серебристый; тип: губная гармошка; вид гармоники: диатоническая; тональность: c; количество отверстий: 10; количество язычков: 20; материал крышки: сталь; материал гребенки: пластик; материал пластин: нейзильбер,бренд: seydel sohne; тип: губная гармошка,10 | 1847 | 20,1847,16301c,16501hbb,1847 | seydel | sohne | гармошка | губная,0.029017825,0.03301514,0.38461538461538464,0,0,1.0,0.0,0.0,0.0,0.0,False,489626309637,481036415143,0.0,"1847 noble high bb губная гармошка, seydel sohne 16501hbb","c. a. seydel sohne 16501hab 1847 noble high ab губная гармошка, seydel sohne",бренд: seydel sohne; тип: губная гармошка,тип: губная гармошка; вид гармоники: диатоническая; тональность: ab,1847,1847,16501hbb,16501hab,1847 | high | noble | seydel | sohne | гармошка | губная,0.023288716,0.023218941,0.5384615384615384,0,0,1.0,0.0,0.0,0.0,0.0,False,,
code_conflict,Музыкальные инструменты,0.7888691822080371,0.7399065487687805,0.9357570825258071,352187382045,188978590027,1.0,"sr2635 java трости для саксофона альт №3,5 (10шт) vandoren","vandoren sr2615 трости для саксофона альт №1,5 (10шт)",бренд: vandoren; тип: аксессуар для духовых,"цвет товара: зеленый; тип аксессуара: трость; тип комплектующей: трость; назначение: саксофон; вид инструмента: альт-саксофон, саксофон; материал: дерево; маркировка трости: 1.5; количество в упаковке: 10 шт.; длина: 60 cm; ширина: 30 cm; высота: 110 cm",5,1.5 | 10 | 110 | 30 | 5 | 60,sr2635,sr2615,10шт | 5 | vandoren | альт | для | саксофона | трости,0.021960936,0.034222275,0.5833333333333334,0,0,1.0,0.0,0.0,0.0,0.0,False,403727060961,472446512139,0.0,sr343 java трости для саксофона баритон №3 (5шт) vandoren,"sr3425 трости для саксофона баритон №2,5 (5шт) vandoren",бренд: vandoren; тип: аксессуар для духовых,цвет товара: бежевый; тип комплектующей: трость; назначение: саксофон; вид инструмента: баритон; материал: дерево; маркировка трости: 2.5; количество в упаковке: 5 шт.; подробная комплектация: 1 шт.,,1 | 2.5 | 5,sr343,sr3425,5шт | vandoren | баритон | для | саксофона | трости,0.01402688,0.03670369,0.5,0,0,1.0,0.0,0.0,0.0,0.0,False,,
code_conflict,Автотовары,0.7683828284998849,0.846998644903389,0.5325353792893724,326417593886,592705600876,1.0,стойка стабилизатора avantech арт. asl0203,стойка стабилизатора арт. asl0103,"альтернативные артикулы товара: sl-n030 (555); cln-66 (ctr); 0223-r20 (febest); артикул: 111035; бренд: avantech; страна-изготовитель: турция; количество в упаковке, шт: 1; oem-номер: 54618-0f000; 54618-mb40a; 54618-50y00; 54618-4m400; 54618-d5000; 54618-d5010; 54618-2u600; комплектация: стойка стабилизатора avantech арт. asl0203 - 1 шт.; партномер (артикул производителя): asl0203; тип: стойка стабилизатора; вид техники: легковые автомобили",тип: стойка стабилизатора; гарантийный срок: 1 g.,0223 | 1 | 111035 | 54618 | 555 | 66,1,0223r20 | 546180f000 | 546182u600 | 546184m400 | 5461850y00 | 54618d5000 | 54618d5010 | 54618mb40a | asl0203 | cln66 | sln030,asl0103,арт | стабилизатора | стойка,0.04124835,0.030506661,0.5,0,0,1.0,0.0,0.0,0.0,0.0,False,240518251555,652835088793,0.0,стойка стабилизатора asp rj30036,стойка стабилизатора asp rj30006,бренд: asp; артикул производителя: rj30036; примечание: внешний вид изделия может отличаться от фотографий; цена за: 1 шт.; код товара: 600007559226,артикул: asp_rj30006; бренд: asp; партномер (артикул производителя): rj30006; тип: стойка стабилизатора,1 | 600007559226,,rj30036,rj30006,asp | стабилизатора | стойка,0.027106136,0.045484517,0.6,0,0,1.0,1.0,0.0,0.0,0.0,False,,
code_conflict,Музыкальные инструменты,0.765070950245517,0.8106875611436566,0.628221117551098,420906803236,180388630458,1.0,чехол для классической гитары 3/4 flight fbg-5055,flight fbg-7055 чехол для 12-струнной акустической гитары,бренд: flight; цвет товара: черный; страна-изготовитель: россия; материал муз. инструмента/аксессуара: полиэстер; назначение муз. аксессуара: для классической гитары; тип: чехол для музыкального инструмента,цвет товара: черный; тип: чехол; назначение: для акустической гитары; особенности: утепленный,3 | 4 | 5055,12 | 7055,fbg5055,12струнной | fbg7055,fbg | flight | гитары | для | чехол,0.041350614,0.043205563,0.38461538461538464,0,0,1.0,0.0,0.0,0.0,0.0,False,240518268372,369367192649,0.0,flight fbg-1009 чехол для классической гитары,flight / fbg-1039 butterfly чехол для классической гитары,"бренд: flight; цвет товара: черный; страна-изготовитель: россия; материал муз. инструмента/аксессуара: полиэстер; назначение муз. аксессуара: для классической гитары; количество в упаковке, шт: 1; тип: чехол для музыкального инструмента; вес товара, г: 540",длина упаковки: 110 cm; высота упаковки: 16 cm; ширина упаковки: 45 cm; валюта: rub,1 | 1009 | 540,1039 | 110 | 16 | 45,fbg1009,fbg1039,fbg | flight | гитары | для | классической | чехол,0.012230016,0.029252473,0.6666666666666666,0,0,1.0,0.0,0.0,0.0,0.0,False,,
code_conflict,Музыкальные инструменты,0.722436949782952,0.7121399242394815,0.7533280264133636,532575964141,111669238953,1.0,"w81-12e-wbag-op электро-акустическая гитара 12-струнная с чехлом, parkwood",cort / af510e-op standard series электро-акустическая гитара,"материал корпуса/верхней деки: ель; материал нижней деки: красное дерево; бренд: parkwood; тип бриджа: фиксированный; название цвета: натуральный; образец цвета: https://cdn1.ozone.ru/s3/multimedia-w/6782113292.jpg; материал накладки грифа: палисандр; ширина грифа, мм: 42; количество ладов, шт.: 20; материал грифа: красное дерево; крепление грифа: вклеенный; материал обечайки: красное дерево; наличие звукоснимателя: true; звукосниматели: cort ce304t eq; вид обмотки струн: круглая; материал струн: бронза; количество струн: 12; тип: акустическая гитара; гарантийный срок: 12 месяцев при соблюдении правил хранения и эксплуатации",цвет: натуральный; материал грифа: красное дерево; материал верхней деки: ель; материал нижней деки: красное дерево; материал обечайки: красное дерево; количество струн инструмента: 6 шт.; количество ладов: 20 шт.; крепление грифа: ласточкин хвост; форма корпуса гитары: фолк; мензура: 647 mm; страна производства: индонезия; комплектация: электро-акустическая гитара cort af510e standard series - 1 шт; вес товара без упаковки (г): 2 g; длина упаковки: 108 cm; высота упаковки: 14 cm; ширина упаковки: 46 cm; валюта: rub,12 | 20 | 42 | 6782113292,1 | 108 | 14 | 2 | 20 | 46 | 6 | 647,12струнная | ce304t | w8112ewbagop,af510e | af510eop,op | акустическая | гитара | электро,0.007524566,0.015016398,0.25,0,0,1.0,0.0,0.0,0.0,0.0,False,549755895162,377957131400,0.0,гитара акустическая aria-205 n,гитара акустическая foix za-83cm-na,"материал корпуса/верхней деки: ель; материал нижней деки: палисандр; бренд: aria; цвет товара: бежевый; название цвета: натуральный; страна-изготовитель: индонезия; материал накладки грифа: палисандр; ширина грифа, мм: 44; количество ладов, шт.: 20; мензура, мм: 650; материал грифа: махагони; материал обечайки: палисандр; количество струн: 6; тип: акустическая гитара; гарантийный срок: 1 мес",тип: акустическая гитара; с вырезом: да; материал корпуса: ель; материал накладки на гриф: палисандр,1 | 20 | 205 | 44 | 6 | 650,,aria205,za83cmna,акустическая | гитара,0.00876884,0.0095103,0.2222222222222222,0,0,1.0,0.0,0.0,0.0,0.0,False,,
