slice,target,support,s2_mean_score,s2_median_score,catboost_mean_score,catboost_median_score,mean_rank_utility_delta
all_hard,0,4333,0.24690383672714233,0.07643136382102966,0.24451857805252075,0.06384557485580444,0.00027404577342461585
all_hard,1,1481,0.3708597421646118,0.2961212992668152,0.36744046211242676,0.2705112099647522,0.0008017828063800526
title_exact,0,204,0.11173513531684875,0.016908682882785797,0.08745887130498886,0.014541326090693474,0.044412120536881816
title_exact,1,5,0.7275202870368958,0.9510716199874878,0.7126557230949402,0.9448869228363037,-0.003941221964423836
token_budget_hit,0,880,0.19328738749027252,0.048522915691137314,0.186073899269104,0.039438702166080475,0.011843435368682478
token_budget_hit,1,208,0.3425384759902954,0.19315758347511292,0.33188679814338684,0.19713112711906433,-0.007538796315746947
no_token_budget_hit,0,3453,0.2605680525302887,0.09029681980609894,0.2594132125377655,0.07506662607192993,-0.0026744230489984715
no_token_budget_hit,1,1273,0.3754872679710388,0.31482475996017456,0.37324967980384827,0.29109835624694824,0.0021645797092884715
high_order_instability,0,383,0.4665793478488922,0.46918749809265137,0.4597286581993103,0.48572903871536255,0.0020227186192890672
high_order_instability,1,199,0.4642370045185089,0.4490123987197876,0.46512293815612793,0.4518046975135803,0.008357881589782146
high_title_similarity,0,2772,0.18124261498451233,0.03269648551940918,0.17901866137981415,0.036018773913383484,0.0015126050514236886
high_title_similarity,1,305,0.43276873230934143,0.4008825123310089,0.4245578944683075,0.37866854667663574,-0.004053576110422813
critical_conflict,0,1579,0.1328880935907364,0.023931968957185745,0.12741035223007202,0.02941248007118702,0.003841796443519027
critical_conflict,1,424,0.20411613583564758,0.06252726912498474,0.18719631433486938,0.05537665635347366,-0.01812382787889872
numeric_context_conflict,0,933,0.1091298907995224,0.01586328074336052,0.10175856947898865,0.022486194968223572,0.010093591449682016
numeric_context_conflict,1,259,0.2274882048368454,0.0666745975613594,0.21157735586166382,0.05990436673164368,-0.01931023755347096
unit_conflict,0,406,0.14700764417648315,0.022180858999490738,0.13113638758659363,0.026529991999268532,0.019843998058602076
unit_conflict,1,180,0.23388883471488953,0.06686730682849884,0.21106168627738953,0.05658424645662308,-0.029311937972075503
code_conflict,0,428,0.09947457909584045,0.02339426428079605,0.0932169035077095,0.031176742166280746,-0.013142646690493262
code_conflict,1,109,0.11712206900119781,0.03807992488145828,0.09842531383037567,0.03422227501869202,-0.033377079444016765
model_conflict,0,384,0.2537154257297516,0.11424156278371811,0.24786196649074554,0.10786155611276627,0.00027171898688607005
model_conflict,1,95,0.19388505816459656,0.06305103003978729,0.17620079219341278,0.05578644573688507,0.001402095302087482
memory_conflict,0,15,0.22571688890457153,0.07049798965454102,0.2254560887813568,0.046549033373594284,0.06104303382784396
memory_conflict,1,2,0.22267191112041473,0.22267191112041473,0.23193202912807465,0.23193202912807465,-0.02762572699281563
sku_human_asymmetry,0,355,0.3804287910461426,0.3685712218284607,0.4018775522708893,0.4011167883872986,-0.024320754703452352
sku_human_asymmetry,1,267,0.3385627269744873,0.2384898066520691,0.3468749523162842,0.26025936007499695,0.01976435255485743
high_attribute_value_overlap,0,1,0.7555199265480042,0.7555199265480042,0.6395571827888489,0.6395571827888489,0.0949152542372882
high_attribute_value_overlap,1,2,0.17624691128730774,0.17624691128730774,0.2832939922809601,0.2832939922809601,0.04088231758624835
low_attribute_value_overlap,0,2707,0.24515564739704132,0.06196469068527222,0.24213942885398865,0.052919287234544754,0.0028540404169108153
low_attribute_value_overlap,1,1004,0.36567389965057373,0.27520617842674255,0.3605976402759552,0.2621670961380005,-0.0017084064031807043
negative_exact_title,0,204,0.11173513531684875,0.016908682882785797,0.08745887130498886,0.014541326090693474,0.044412120536881816
negative_exact_title,1,0,,,,,
positive_critical_conflict,0,0,,,,,
positive_critical_conflict,1,424,0.20411613583564758,0.06252726912498474,0.18719631433486938,0.05537665635347366,-0.01812382787889872
positive_numeric_conflict,0,0,,,,,
positive_numeric_conflict,1,259,0.2274882048368454,0.0666745975613594,0.21157735586166382,0.05990436673164368,-0.01931023755347096
positive_code_conflict,0,0,,,,,
positive_code_conflict,1,109,0.11712206900119781,0.03807992488145828,0.09842531383037567,0.03422227501869202,-0.033377079444016765
