subset,model,pairs,positives,prevalence,categories,eligible_categories,macro_average_precision,macro_roc_auc,overall_average_precision,overall_roc_auc,positive_mean_score,negative_mean_score,fnr_at_0_5,fpr_at_0_5,slice
hard_clean::numeric_conflict,S0,932,0,0.0,18,0,,,,,,0.11009365320205688,,0.08047210300429185,numeric_conflict
hard_clean::numeric_conflict,S2,932,0,0.0,18,0,,,,,,0.1092318594455719,,0.08369098712446352,numeric_conflict
hard_clean::numeric_conflict,S2_CATBOOST,932,0,0.0,18,0,,,,,,0.10185886919498444,,0.07618025751072961,numeric_conflict
hard_clean::code_conflict,S0,428,0,0.0,16,0,,,,,,0.08137725293636322,,0.04439252336448598,code_conflict
hard_clean::code_conflict,S2,428,0,0.0,16,0,,,,,,0.09947457909584045,,0.0794392523364486,code_conflict
hard_clean::code_conflict,S2_CATBOOST,428,0,0.0,16,0,,,,,,0.0932169035077095,,0.06542056074766354,code_conflict
hard_clean::model_conflict,S0,380,0,0.0,13,0,,,,,,0.22236481308937073,,0.1394736842105263,model_conflict
hard_clean::model_conflict,S2,380,0,0.0,13,0,,,,,,0.25608983635902405,,0.21052631578947367,model_conflict
hard_clean::model_conflict,S2_CATBOOST,380,0,0.0,13,0,,,,,,0.25034698843955994,,0.2131578947368421,model_conflict
hard_clean::sku_vs_human_title,S0,494,139,0.2813765182186235,18,17,0.39713323448726506,0.43089281042973154,0.35130991467633454,0.554970108420306,0.368030846118927,0.3117283880710602,0.7050359712230215,0.22816901408450704,sku_vs_human_title
hard_clean::sku_vs_human_title,S2,494,139,0.2813765182186235,18,17,0.39578822314431267,0.42761725422864344,0.3330049364705794,0.523497821461141,0.40236642956733704,0.3804287910461426,0.6618705035971223,0.37746478873239436,sku_vs_human_title
hard_clean::sku_vs_human_title,S2_CATBOOST,494,139,0.2813765182186235,18,17,0.3879284895140338,0.4178266953924025,0.31777239282918257,0.5231735738170028,0.4206177592277527,0.4018775522708893,0.6187050359712231,0.4169014084507042,sku_vs_human_title
hard_clean::very_high_lexical_similarity_negatives,S0,297,0,0.0,18,0,,,,,,0.2278771698474884,,0.2053872053872054,very_high_lexical_similarity_negatives
hard_clean::very_high_lexical_similarity_negatives,S2,297,0,0.0,18,0,,,,,,0.21467262506484985,,0.1717171717171717,very_high_lexical_similarity_negatives
hard_clean::very_high_lexical_similarity_negatives,S2_CATBOOST,297,0,0.0,18,0,,,,,,0.20740601420402527,,0.18518518518518517,very_high_lexical_similarity_negatives
hard_clean::very_low_lexical_similarity_positives,S0,269,269,1.0,18,0,,,,,0.42714372277259827,,0.5910780669144982,,very_low_lexical_similarity_positives
hard_clean::very_low_lexical_similarity_positives,S2,269,269,1.0,18,0,,,,,0.47968125343322754,,0.5278810408921933,,very_low_lexical_similarity_positives
hard_clean::very_low_lexical_similarity_positives,S2_CATBOOST,269,269,1.0,18,0,,,,,0.49106520414352417,,0.5130111524163569,,very_low_lexical_similarity_positives
