id1,id2,canonical_id1,canonical_id2,target,category,hard_subset,title1,title2,normalized_title1,normalized_title2,attributes1,attributes2,full_representation_sha256_1,full_representation_sha256_2,exact_normalized_title_match,numeric_conflict,code_conflict,model_code_conflict,critical_attribute_conflict,sku_vs_human_title,identical_full_representation,unordered_id_pair_target_conflict,representation_pair_target_conflict,definite_label_conflict,suspicious_negative_identity,suspicious_positive_conflict,strong_label_suspicion,very_high_lexical_similarity_negative,very_low_lexical_similarity_positive,title_token_jaccard,title_char_tfidf_cosine,numeric_context_conflict_count,unit_conflict_count,brand_conflict,model_conflict,memory_conflict,color_conflict,s0_score,s2_score,catboost_score
7076,420906848759,7076,420906848759,1.0,Продукты питания,hard_suspicious,азерчай / чай 25 черн. с имбирь+лимон / 4шт,"чай azercay tea черный с имбирем и лимоном 25пак.конверт*1,8гр. 4 уп.",азерчай / чай 25 черн. с имбирь+лимон / 4шт,чай azercay tea черный с имбирем и лимоном 25пак.конверт*1.8 g. 4 уп.,"{""состав"":""чай черный байховый высшего сорта, имбирь, лимонная трава, цедра лимона."",""вес товара без упаковки (г)"":""200 г"",""вес товара с упаковкой (г)"":""220 г"",""длина упаковки"":""15 см"",""высота упаковки"":""10 см"",""ширина упаковки"":""10 см"",""валюта"":""rub""}","{""бренд"":""azercay"",""условия хранения"":""хранить в сухом и прохладном месте."",""состав"":""чай черный байховый высшего сорта, имбирь, лимонная трава, цедра лимона\n\n"",""страна-изготовитель"":""россия"",""особенности напитков, продуктов питания"":""вегетарианский продукт"",""не содержит"":""без ароматизаторов"",""упаковка"":""картонная коробка"",""единиц в одном товаре"":""4"",""максимальная температура"":""25"",""минимальная температура"":""0"",""срок годности в днях"":""1080"",""вкус/добавки"":""лимон"",""вид чая"":""черный"",""число пакетиков"":""25"",""тип"":""чай в пакетиках"",""вес товара, г"":""315""}",cc7ed26b5b16e84f38ab986f48a7f77573b7b82d78f201c37b0c1e67816e3fb7,248717cc86b7cce36c21f629654334af317be74483c7331bd53936aac7b3cf22,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,0.09523809523809523,0.19780100882053375,1,1,0.0,0.0,0.0,0.0,0.8586792,0.8690769,0.88995796
11135,575525698156,11135,575525698156,1.0,Обувь,hard_suspicious,кроссовки dunks nike,shoeslaboratory / кроссовки nike sb dunk,кроссовки dunks nike,shoeslaboratory / кроссовки nike sb dunk,"{""целевая аудитория"":""взрослая"",""бренд в одежде и обуви"":""dunks"",""страна бренда"":""сша"",""коллекция"":""весна-лето 2024"",""цвет товара"":""разноцветный"",""название цвета"":""color2"",""страна-изготовитель"":""китай"",""особенности модели"":""контрастная строчка"",""высота каблука, см"":""3"",""материал подкладки обуви"":""eva"",""материал стельки"":""lunarlon+текстиль"",""материал верха"":""композиционная кожа"",""ортопедический"":""нет"",""высота платформы, см"":""3"",""российский размер"":""36"",""сезон"":""на любой сезон"",""серия в одежде и обуви"":""nike"",""пол"":""мужской"",""вид застёжки"":""шнурки"",""посадка"":""нормальная"",""высота подошвы, см"":""3"",""информация о размерах"":""36-47"",""размер производителя"":""eur37"",""материал подошвы обуви"":""резиновая смесь"",""тип пронации"":""нейтральная"",""спортивное назначение"":""бег"",""вид каблука"":""платформа"",""полнота"":""1""}","{""состав"":""текстиль"",""цвет"":""дикий кактус, бежевый, коричневый"",""сезон"":""круглогодичный; демисезон; лето"",""материал подошвы обуви"":""резина"",""материал подкладки обуви"":""текстиль"",""материал стельки"":""текстиль"",""высота подошвы"":""4 см"",""полнота обуви (eur)"":""f (6)"",""особенности модели"":""cactus jack"",""страна производства"":""тайвань"",""тип пронации"":""нейтральная"",""комплектация"":""кроссовки кроссовки nike sb dunk - 1 пара"",""валюта"":""rub"",""российский размер"":""39""}",f6d56c4e10106a295efb5db0c27605f2c81040b44c72847dda89a7e6142c6f3c,cec37d6d4db82c5bb07c589289a28dd984727bf5a1f1b675728437cbdd273492,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,0.3333333333333333,0.4690872132778168,0,0,0.0,1.0,0.0,1.0,0.120740026,0.06305103,0.0404724
18734,558345772390,18734,558345772390,1.0,Строительство и ремонт,hard_suspicious,"бур по бетону sds plus с двойной резьбой 14х460 мм, mos 32557м",бур по бетону sds plus с двойной резьбой 14х160 мм mos,"бур по бетону sds plus с двойной резьбой 14х460 мм, mos 32557м",бур по бетону sds plus с двойной резьбой 14х160 мм mos,"{""бренд"":""full ind tools"",""патрон/шпиндель/крепление"":""sds-plus"",""совместимый инструмент"":""перфоратор"",""страна-изготовитель"":""китай"",""диаметр сверл, мм"":""14"",""материал"":""легированная сталь"",""назначение"":""для бетона"",""тип"":""бур"",""длина, мм"":""460""}","{""тип рабочей части"":""бур"",""диаметр"":""14 мм"",""общая длина"":""160 мм"",""тип хвостовика"":""sds-plus"",""диаметр хвостовика"":""10 мм"",""обрабатываемый материал"":""бетон""}",8c9552c9156083a66fbf962dfe25b6d933d16c5564627d2977532c0971bb40c3,5c8573d3db3402eec14b6f1e24f0500f5c2b4e47222bb397e0c7a8152c2b6c0a,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,0.7692307692307693,0.7552287578582764,0,0,0.0,0.0,0.0,0.0,0.017683057,0.018805742,0.022612821
24482,171798822859,24482,171798822859,0.0,Галантерея и аксессуары,hard_suspicious,"кошелёк на кнопке, цвет красный","кошелёк на кнопке, цвет красный","кошелек на кнопке, цвет красный","кошелек на кнопке, цвет красный","{""страна производства"":""китай"",""комплектация"":""уточни у продавца"",""валюта"":""rub""}","{""бренд"":""нет бренда"",""коллекция"":""базовая коллекция"",""название цвета"":""красный"",""пол"":""женский"",""тип"":""кошелек""}",a9be54c2884fd364bb77462fe3a11f287d3ccaa7c0f0feb24e8c36a865186ac0,23acc44d513c4e9c86ebe7d00f13956776325278dd14d1b8cd1214b59e2139b2,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.11318691,0.3186423,0.12464053
27884,575525739076,27884,575525739076,1.0,Спорт и отдых,hard_suspicious,спальный мешок 9357770 200 см,"не определен спальный мешок туристический, цвет чёрный",спальный мешок 9357770 200 cm,"не определен спальный мешок туристический, цвет черный","{""целевая аудитория"":""взрослая"",""бренд"":""нет бренда"",""цвет товара"":""темно-синий"",""экстремальная температура, °c"":""-20"",""число слоев наполнителя"":""3"",""длина, см"":""200"",""нижняя температура комфорта, °c "":""от -11 до -19"",""материал наружного слоя"":""полиэстер"",""тип"":""спальный мешок"",""ширина в ногах, см"":""85"",""ширина в плечах, см"":""85""}","{""цвет товара"":""черный"",""длина"":""200 см"",""назначение"":""туристический"",""тип"":""спальник-кокон"",""нижняя температура комфорта"":""-20 °c""}",652c321bbee3683f447894f54329b9c56d307de866d60a49c25a2f14e59ace77,1ff19003af76f831053f88bca7da6dcb8fb2f44ccf54f44470a28e78c291d4fa,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,0.2,0.3547952175140381,0,0,0.0,0.0,0.0,1.0,0.40804952,0.046241105,0.07567
32914,197568645009,32914,197568645009,1.0,Детские товары,hard_suspicious,"детский вертолёт инерционный ""спецназ"", ","nobrand вертолёт инерционный спецназ, цвета микс","детский вертолет инерционный ""спецназ"",","nobrand вертолет инерционный спецназ, цвета микс","{""бренд"":""нет бренда"",""цвет товара"":""разноцветный"",""название цвета"":""разноцветный"",""дополнительные функции"":""без эффектов"",""материал"":""пластик"",""максимальный возраст ребенка"":""до 18 лет"",""минимальный возраст ребенка"":""от 3 лет"",""пол ребенка"":""мальчик"",""тип"":""вертолет""}","{""бренд"":""nobrand"",""возрастное ограничение"":""3+"",""набор"":""нет"",""тип"":""вертолет"",""вид"":""авиационный транспорт"",""тематика"":""омон"",""материал"":""пластик"",""цвет"":""разноцветный"",""работает от электропитания"":""нет"",""количество машинок"":""1"",""трансформер"":""нет"",""инерционность"":""да"",""примечание"":""товар представлен в ассортименте без возможности выбора цвета/дизайна"",""код товара"":""100038724465""}",ae26538f080be4fdde1b2201495bb41663607b8243d04c4fd32db57378b8ca2e,5c4c6c387b2a22bf4a844b223781bd1092bb53b29404ea13fcea174e8cf2fc01,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,0.42857142857142855,0.6081529855728149,0,0,1.0,0.0,0.0,0.0,0.50331706,0.59959656,0.54927707
39895,618475358924,39895,618475358924,0.0,Галантерея и аксессуары,hard_suspicious,"сумка детская на магните, цвет белый","сумка детская на магните, цвет белый","сумка детская на магните, цвет белый","сумка детская на магните, цвет белый","{""целевая аудитория"":""детская"",""бренд"":""нет бренда"",""коллекция"":""базовая коллекция"",""цвет товара"":""белый"",""название цвета"":""белый"",""страна-изготовитель"":""китай"",""формат а4"":""не вмещает"",""материал"":""искусственная кожа"",""материал фурнитуры"":""искусственная кожа"",""комплектация"":""товар в фабричной упаковке"",""вид принта"":""без рисунка"",""пол"":""девочки"",""стиль"":""повседневное"",""тип"":""сумка на плечо"",""вес товара, г"":""137""}","{""страна производства"":""китай"",""валюта"":""rub""}",7d480a3be0ec00247b87bb8e4dce724713c7b856aa151dc733ba2034dcf17025,2d772aa18ddbcd0ffae0bd971e802578d9a1aecab83d664a5e7f92d17ed62c90,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.28051782,0.47212654,0.38059217
50550,68719606572,50550,68719606572,0.0,Обувь,hard_suspicious,кроссовки anta,кроссовки anta,кроссовки anta,кроссовки anta,"{""страна производства"":""китай"",""материал подошвы"":""eva"",""цвет"":""белый"",""сезон"":""демисезон"",""материал верха"":""комбинированный материал"",""материал (состав)"":""материал верха: 80% сетка нейлон, 20% термополиуретан. материал подошвы: 80% эва, 20% термополиуретан."",""размер"":""31""}","{""бренд в одежде и обуви"":""anta"",""страна бренда"":""китай"",""коллекция"":""осень-зима 2023"",""цвет товара"":""черный"",""материал стельки"":""эва (вспененный полимер)"",""материал верха"":""полимерные материалы"",""ортопедический"":""нет"",""российский размер (обуви)"":""35"",""пол"":""мальчики"",""вид застёжки"":""система скоростной шнуровки boa"",""материал подошвы"":""eva"",""тип"":""кроссовки"",""тип пронации"":""нейтральная"",""гарантийный срок"":""2"",""полнота"":""r (средняя)""}",55b2ac8903faaad329407765e01f0f5abea2a7c6696c3b65002dcc9d77e38052,101dd145dd2922f0d97c232a09e7bc80f763dee19973b0edfea26d6ff98422f0,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,1.0,1.0,0,0,0.0,0.0,0.0,1.0,0.03321117,0.04498343,0.01914656
64531,807454007283,64531,807454007283,0.0,Обувь,hard_suspicious,лоферы reversal,лоферы reversal,лоферы reversal,лоферы reversal,"{""целевая аудитория"":""взрослая"",""бренд в одежде и обуви"":""reversal"",""страна бренда"":""россия"",""коллекция"":""осень-зима 2023"",""цвет товара"":""коричневый"",""название цвета"":""коричневый-(черный-коричневый)"",""страна-изготовитель"":""россия"",""особенности модели"":""круглый нос"",""высота каблука, см"":""5.5"",""материал подкладки обуви"":""натуральная кожа"",""материал стельки"":""кожа"",""высота голенища, см"":""5.5"",""материал верха"":""нубук"",""материал"":""нубук"",""ортопедический"":""нет"",""российский размер"":""37"",""сезон"":""лето"",""пол"":""женский"",""вид застёжки"":""без застёжки"",""посадка"":""нормальная"",""высота подошвы, см"":""3.5"",""информация о размерах"":""37"",""размер производителя"":""37"",""материал подошвы обуви"":""полиуретан"",""тип пронации"":""нейтральная"",""полнота"":""f""}","{""страна производства"":""россия"",""материал подошвы"":""тэп"",""цвет"":""бежевый"",""сезон"":""лето"",""материал верха"":""натуральная кожа"",""материал (состав)"":""натуральная кожа"",""внутренний материал"":""натуральная кожа"",""размер"":""39""}",7cb20c17a84b6735738d757afcf9b18f4b861a2d0b1f5193bc7c668bb86f0213,7e9cb95e3cb5fa7754109b31ffec769b795e770b50c748b4cf64363f10a2ef38,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,1.0,1.0,0,0,0.0,0.0,0.0,1.0,0.08225395,0.0006110257,0.007825036
68540,317827630625,68540,317827630625,1.0,Бытовая химия,hard_suspicious,dr.tuttelle стиральный порошок 983 г 20  стирок для детского белья,dr.tuttelle / порошок стиральный dr.tuttelle детский 900г dt030,dr.tuttelle стиральный порошок 983 g 20 стирок для детского белья,dr.tuttelle / порошок стиральный dr.tuttelle детский 900 g dt030,"{""бренд"":""dr.tuttelle"",""состав"":""мыло, ионные пав, фосфонаты; поликарбосилаты; анионные пав; кислородный пятновыводитель; активатор стирки при низкой температуре; вещества, препятствующие образованию накипи"",""страна-изготовитель"":""израиль"",""форма выпуска средства"":""порошок"",""вид стирки"":""автоматическая"",""число стирок"":""20"",""единиц в одном товаре"":""1"",""тип"":""стиральный порошок"",""назначение средства для стирки"":""для детского белья"",""вес товара, г"":""983""}","{""длина упаковки"":""6 см"",""высота упаковки"":""6 см"",""ширина упаковки"":""9 см"",""валюта"":""rub""}",7add4e3f599d88f997cea8872dc2fadc0f4a8dac187010a0ee39f78d235cfeaf,d4dcfab827f2d67a989c69e14d31f1b22b0a18a612a46adb1388d8e29629a4d0,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,0.35714285714285715,0.6860135793685913,1,1,0.0,0.0,0.0,0.0,0.07570445,0.08024334,0.085943416
