audit_issue,id1,id2,canonical_id1,canonical_id2,target,category,hard_subset,title1,title2,normalized_title1,normalized_title2,attributes1,attributes2,full_representation_sha256_1,full_representation_sha256_2,exact_normalized_title_match,numeric_conflict,code_conflict,model_code_conflict,critical_attribute_conflict,sku_vs_human_title,identical_full_representation,unordered_id_pair_target_conflict,representation_pair_target_conflict,definite_label_conflict,suspicious_negative_identity,suspicious_positive_conflict,strong_label_suspicion,very_high_lexical_similarity_negative,very_low_lexical_similarity_positive,title_token_jaccard,title_char_tfidf_cosine,numeric_context_conflict_count,unit_conflict_count,brand_conflict,model_conflict,memory_conflict,color_conflict,s0_score,s2_score,catboost_score
definite_label_conflict,223338314794,377957183557,223338314794,377957183557,1.0,Детские товары,hard_conflicting,мягкая плюшевая игрушка подушка гусь обнимусь 130 см,asras - toy / мягкая игрушка подушка гусь обнимусь 130 см большая,мягкая плюшевая игрушка подушка гусь обнимусь 130 cm,asras - toy / мягкая игрушка подушка гусь обнимусь 130 cm большая,"{""бренд"":""toy enjoy"",""цвет товара"":""белый"",""высота игрушки, см"":""130"",""минимальный возраст ребенка"":""0 месяцев"",""пол ребенка"":""унисекс"",""вид мягкой игрушки"":""гусь"",""тип"":""мягкая игрушка""}","{""цвет"":""розовый"",""материал игрушки"":""плюш; мех плюшевый; синтепух"",""наполнитель"":""плюшевый"",""эффекты"":""позитив и яркие эмоции"",""вид упаковки"":""пакет"",""высота предмета"":""130 см"",""глубина предмета"":""13 см"",""ширина предмета"":""9 см"",""страна производства"":""китай"",""комплектация"":""набор мягких игрушек гусь и фламинго по 90 см - 2 шт"",""вес товара с упаковкой (г)"":""125 г"",""длина упаковки"":""30 см"",""высота упаковки"":""30 см"",""ширина упаковки"":""20 см"",""валюта"":""rub""}",5efe7e2ba21dc924281d6cf14adcf848b2fef0a6f87fe532e67b532d3a5f9494,9e26f2e5ceb42a8004b916dffb3efe49563ca2025b7a62baee0c709436ae8b89,False,False,False,False,True,False,False,False,True,True,False,True,True,False,False,0.6363636363636364,0.6914168000221252,0,0,0.0,0.0,0.0,1.0,0.8231508,0.21230611,0.1708061
definite_label_conflict,377957183557,240518299856,240518299856,377957183557,0.0,Детские товары,hard_conflicting,asras - toy / мягкая игрушка подушка гусь обнимусь 130 см большая,мягкая плюшевая игрушка подушка гусь обнимусь 130 см,asras - toy / мягкая игрушка подушка гусь обнимусь 130 cm большая,мягкая плюшевая игрушка подушка гусь обнимусь 130 cm,"{""цвет"":""розовый"",""материал игрушки"":""плюш; мех плюшевый; синтепух"",""наполнитель"":""плюшевый"",""эффекты"":""позитив и яркие эмоции"",""вид упаковки"":""пакет"",""высота предмета"":""130 см"",""глубина предмета"":""13 см"",""ширина предмета"":""9 см"",""страна производства"":""китай"",""комплектация"":""набор мягких игрушек гусь и фламинго по 90 см - 2 шт"",""вес товара с упаковкой (г)"":""125 г"",""длина упаковки"":""30 см"",""высота упаковки"":""30 см"",""ширина упаковки"":""20 см"",""валюта"":""rub""}","{""бренд"":""toy enjoy"",""цвет товара"":""белый"",""высота игрушки, см"":""130"",""минимальный возраст ребенка"":""0 месяцев"",""пол ребенка"":""унисекс"",""вид мягкой игрушки"":""гусь"",""тип"":""мягкая игрушка""}",9e26f2e5ceb42a8004b916dffb3efe49563ca2025b7a62baee0c709436ae8b89,5efe7e2ba21dc924281d6cf14adcf848b2fef0a6f87fe532e67b532d3a5f9494,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,0.6363636363636364,0.6914168000221252,0,0,0.0,0.0,0.0,1.0,0.8231508,0.21230611,0.1708061
definite_label_conflict,730144555490,377957183557,377957183557,730144555490,0.0,Детские товары,hard_conflicting,мягкая плюшевая игрушка подушка гусь обнимусь 130 см,asras - toy / мягкая игрушка подушка гусь обнимусь 130 см большая,мягкая плюшевая игрушка подушка гусь обнимусь 130 cm,asras - toy / мягкая игрушка подушка гусь обнимусь 130 cm большая,"{""бренд"":""toy enjoy"",""цвет товара"":""белый"",""высота игрушки, см"":""130"",""минимальный возраст ребенка"":""0 месяцев"",""пол ребенка"":""унисекс"",""вид мягкой игрушки"":""гусь"",""тип"":""мягкая игрушка""}","{""цвет"":""розовый"",""материал игрушки"":""плюш; мех плюшевый; синтепух"",""наполнитель"":""плюшевый"",""эффекты"":""позитив и яркие эмоции"",""вид упаковки"":""пакет"",""высота предмета"":""130 см"",""глубина предмета"":""13 см"",""ширина предмета"":""9 см"",""страна производства"":""китай"",""комплектация"":""набор мягких игрушек гусь и фламинго по 90 см - 2 шт"",""вес товара с упаковкой (г)"":""125 г"",""длина упаковки"":""30 см"",""высота упаковки"":""30 см"",""ширина упаковки"":""20 см"",""валюта"":""rub""}",5efe7e2ba21dc924281d6cf14adcf848b2fef0a6f87fe532e67b532d3a5f9494,9e26f2e5ceb42a8004b916dffb3efe49563ca2025b7a62baee0c709436ae8b89,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,0.6363636363636364,0.6914168000221252,0,0,0.0,0.0,0.0,1.0,0.8231508,0.21230611,0.1708061
negative_exact_normalized_title,34359876498,111669167130,34359876498,111669167130,0.0,Дом и сад,hard_suspicious,трусы,трусы,трусы,трусы,"{""состав"":""хлопок; спандекс"",""цвет"":""синий"",""параметры модели на фото (ог-от-об)"":""90-60-90"",""рост модели на фото"":""185 см"",""особенности белья"":""мягкая ткань"",""тип посадки"":""средняя"",""фактура материала белья"":""хлопковая"",""страна производства"":""китай"",""комплектация"":""трусы 1 пара"",""валюта"":""rub"",""российский размер"":""52""}","{""артикул"":""412075/21-4-8658-12/кубики на синем 50"",""бренд"":""нет бренда"",""цвет товара"":""синий"",""название цвета"":""кубики на синем"",""страна-изготовитель"":""беларусь"",""вид выпуска товара"":""фабричное производство"",""тип"":""трусы""}",b2c8bdb9475dec45ff2ca9742e8f4e8bb4ae19726d60ded73bf5e5dbdb034f42,70fb3e83a2e37db313a1fc672efd152fd9018d53a8425b8ec1cac3113a75be85,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,1.0,1.0,0,0,0.0,1.0,0.0,0.0,0.04185213,0.015968084,0.0064793713
negative_exact_normalized_title,283467899562,197568544190,197568544190,283467899562,0.0,Обувь,hard_suspicious,кроссовки nike jordan,кроссовки nike jordan,кроссовки nike jordan,кроссовки nike jordan,"{""состав"":""кожа; текстиль"",""цвет"":""белый, черный, коричневый"",""сезон"":""демисезон; лето"",""материал подошвы обуви"":""резина"",""материал подкладки обуви"":""текстиль"",""особенности модели"":""высокие"",""страна производства"":""вьетнам"",""комплектация"":""кроссовки - 1 пара"",""валюта"":""rub"",""российский размер"":""37""}","{""целевая аудитория"":""взрослая"",""бренд в одежде и обуви"":""nike"",""страна бренда"":""сша"",""коллекция"":""базовая коллекция"",""цвет товара"":""черный"",""страна-изготовитель"":""вьетнам"",""особенности модели"":""рельефный рисунок подошвы"",""материал подкладки обуви"":""синтетическая дышащая сетка"",""материал стельки"":""эва (вспененный полимер)+текстиль"",""материал верха"":""натуральная кожа"",""материал"":""breathable"",""ортопедический"":""нет"",""российский размер"":""40"",""сезон"":""на любой сезон"",""серия в одежде и обуви"":""jordan"",""пол"":""мужской"",""вид застёжки"":""шнурки"",""посадка"":""нормальная"",""размер производителя"":""eur41/26cm"",""материал подошвы обуви"":""вулканизированная резина"",""тип пронации"":""нейтральная"",""спортивное назначение"":""баскетбол"",""вид каблука"":""каблук + платформа""}",0fb127b88df4fd1a4d0aed878a444b93671cb3f7269346c7044b9f0fe1165924,df50e1758347e7203db5608ef346b00cdf3841087ee7d32f4597e5687316dcfa,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,1.0,1.0,0,0,0.0,1.0,0.0,1.0,0.028652668,0.054077365,0.01671279
negative_exact_normalized_title,266288127262,730144568448,266288127262,730144568448,0.0,Автотовары,hard_suspicious,ролик натяжителя поликлинового ремня,ролик натяжителя поликлинового ремня,ролик натяжителя поликлинового ремня,ролик натяжителя поликлинового ремня,"{""артикул"":""tfd1281#tatsumi"",""бренд"":""tmi tatsumi"",""количество, штук"":""1"",""oem-номер"":""55ca386; 0187at220; t38031; 531085210; rp215; pb5034; 0n1725; pt61000; st8844017010; vkm61000; 8844002020; 8844017010; 8844020160; 8844020170"",""комплектация"":""1 штука"",""партномер (артикул производителя)"":""tfd1281"",""тип"":""ролик натяжителя""}","{""тип"":""ролик натяжителя"",""oe-код"":""06j903133a, 06j903133d, 0n1832, 0n1832s, 0n1887, 0n1887s, 1118306400, 30936203, 36203, 381282, 534042210, 55ca127, ag03020, apv2834, ga35758, pb5265, pt3054, pt52133b, sr1021, t39087"",""модель автомобиля"":""audi a3, skoda skoda superb, skoda yeti, smart roadster, volkswagen golf, volkswagen jetta, volkswagen passat, volkswagen sharan, volkswagen tiguan, volkswagen transporter""}",643e5c86c8f328c7508a9c351942e6f12562059d8740b3deced9aa7dc222f792,b05be0583f3c08f0d1c42391abfdc1926c8d36a6749fae728d15c3811c61e5c2,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,1.0,1.0,0,0,0.0,1.0,0.0,0.0,0.22988081,0.029550198,0.015853139
negative_exact_normalized_title,712964622420,790274027881,712964622420,790274027881,0.0,Канцелярские товары,hard_suspicious,канцелярский набор,канцелярский набор,канцелярский набор,канцелярский набор,"{""цвет"":""розовый"",""высота предмета"":""22 см"",""глубина предмета"":""1 см"",""ширина предмета"":""9 см"",""вид застежки"":""зажим"",""декоративные элементы"":""аппликация"",""материал изделия"":""дерево; пластик; резинка"",""страна производства"":""китай"",""комплектация"":""ластик; карандаши; линейка; точилка; пенал"",""валюта"":""rub""}","{""бренд"":""brauberg"",""цвет товара"":""разноцветный"",""название цвета"":""разноцветный"",""страна-изготовитель"":""китай"",""количество заводских упаковок"":""1"",""комплектация"":""зажимы для бумаг 19 мм - 15 шт.; зажимы для бумаг 25 мм - 8 шт.; скрепки 28 мм - 152 шт.; скрепки 50 мм - 50 шт."",""число предметов, шт"":""225"",""тип"":""канцелярский набор""}",837561d0fcd92e1c0ee92d4316d3ae31d9b986d5597e52aa523133821adcd58a,f5aecb2f245f3af397fd31b2b4c2a75a649ba943a5b7628e6fbe8a9b6b29e7cf,True,True,False,False,True,False,False,False,False,False,True,False,True,True,False,1.0,0.9999999403953552,1,1,0.0,0.0,0.0,1.0,0.03534408,0.014103349,0.008279853
negative_exact_normalized_title,764504318389,790274109401,764504318389,790274109401,0.0,Автотовары,hard_suspicious,колодки тормозные,колодки тормозные,колодки тормозные,колодки тормозные,"{""артикул"":""quattrofreniqf84600"",""бренд"":""qf quattro freni"",""oem-номер"":""adr340211; 3000048; kdy93328z9c; k0y13328za"",""партномер (артикул производителя)"":""qf84600"",""тип"":""колодки тормозные""}","{""артикул производителя"":""47104"",""страна производства"":""китай"",""вес товара с упаковкой (г)"":""520 г"",""длина упаковки"":""8 см"",""высота упаковки"":""19 см"",""ширина упаковки"":""8 см"",""валюта"":""rub""}",44e1ecc7485c36e87482176ef89da463ac330381af25c70c1acf3a6af6523f52,61953e2f74e6e8b4b9f7828be1837949c2b625fa3c990de4f9ca85d17d0af9d8,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,1.0,1.0,0,0,0.0,1.0,0.0,0.0,0.0113756005,0.0129994545,0.008095387
negative_exact_normalized_title,50550,68719606572,50550,68719606572,0.0,Обувь,hard_suspicious,кроссовки anta,кроссовки anta,кроссовки anta,кроссовки anta,"{""страна производства"":""китай"",""материал подошвы"":""eva"",""цвет"":""белый"",""сезон"":""демисезон"",""материал верха"":""комбинированный материал"",""материал (состав)"":""материал верха: 80% сетка нейлон, 20% термополиуретан. материал подошвы: 80% эва, 20% термополиуретан."",""размер"":""31""}","{""бренд в одежде и обуви"":""anta"",""страна бренда"":""китай"",""коллекция"":""осень-зима 2023"",""цвет товара"":""черный"",""материал стельки"":""эва (вспененный полимер)"",""материал верха"":""полимерные материалы"",""ортопедический"":""нет"",""российский размер (обуви)"":""35"",""пол"":""мальчики"",""вид застёжки"":""система скоростной шнуровки boa"",""материал подошвы"":""eva"",""тип"":""кроссовки"",""тип пронации"":""нейтральная"",""гарантийный срок"":""2"",""полнота"":""r (средняя)""}",55b2ac8903faaad329407765e01f0f5abea2a7c6696c3b65002dcc9d77e38052,101dd145dd2922f0d97c232a09e7bc80f763dee19973b0edfea26d6ff98422f0,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,1.0,1.0,0,0,0.0,0.0,0.0,1.0,0.03321117,0.04498343,0.01914656
negative_exact_normalized_title,64531,807454007283,64531,807454007283,0.0,Обувь,hard_suspicious,лоферы reversal,лоферы reversal,лоферы reversal,лоферы reversal,"{""целевая аудитория"":""взрослая"",""бренд в одежде и обуви"":""reversal"",""страна бренда"":""россия"",""коллекция"":""осень-зима 2023"",""цвет товара"":""коричневый"",""название цвета"":""коричневый-(черный-коричневый)"",""страна-изготовитель"":""россия"",""особенности модели"":""круглый нос"",""высота каблука, см"":""5.5"",""материал подкладки обуви"":""натуральная кожа"",""материал стельки"":""кожа"",""высота голенища, см"":""5.5"",""материал верха"":""нубук"",""материал"":""нубук"",""ортопедический"":""нет"",""российский размер"":""37"",""сезон"":""лето"",""пол"":""женский"",""вид застёжки"":""без застёжки"",""посадка"":""нормальная"",""высота подошвы, см"":""3.5"",""информация о размерах"":""37"",""размер производителя"":""37"",""материал подошвы обуви"":""полиуретан"",""тип пронации"":""нейтральная"",""полнота"":""f""}","{""страна производства"":""россия"",""материал подошвы"":""тэп"",""цвет"":""бежевый"",""сезон"":""лето"",""материал верха"":""натуральная кожа"",""материал (состав)"":""натуральная кожа"",""внутренний материал"":""натуральная кожа"",""размер"":""39""}",7cb20c17a84b6735738d757afcf9b18f4b861a2d0b1f5193bc7c668bb86f0213,7e9cb95e3cb5fa7754109b31ffec769b795e770b50c748b4cf64363f10a2ef38,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,1.0,1.0,0,0,0.0,0.0,0.0,1.0,0.08225395,0.0006110257,0.007825036
