category,pairs,positive_examples,unweighted_prevalence,weighted_prevalence,average_precision,roc_auc
Автотовары,2859,512,0.17908359566281917,0.17908359566281917,0.4514389835433673,0.7074926934650617
Аптека,2692,210,0.07800891530460624,0.07800891530460624,0.4832314538540944,0.8962645332105446
Бытовая техника,2682,969,0.36129753914988816,0.36129753914988816,0.6208248643841893,0.7362697805948201
Бытовая химия,2571,1226,0.4768572539867756,0.4768572539867756,0.6732363500320084,0.682611266426921
Галантерея и аксессуары,2649,444,0.16761041902604756,0.16761041902604756,0.3528738798915285,0.7165757594329023
Детские товары,2683,1528,0.569511740588893,0.569511740588893,0.7539189939711548,0.6977298225334876
Дом и сад,2632,656,0.24924012158054712,0.24924012158054712,0.5272441274983274,0.7383923391675719
Канцелярские товары,2570,857,0.33346303501945523,0.33346303501945523,0.5245585680190383,0.6828767043972204
Красота и гигиена,2635,943,0.3578747628083491,0.3578747628083491,0.5888408805107568,0.7190778637666118
Мебель,2806,401,0.1429080541696365,0.1429080541696365,0.34395211574623097,0.7114142917135436
Музыкальные инструменты,2709,592,0.21853082318198597,0.21853082318198597,0.6503033487347004,0.8379048628221987
Обувь,2797,281,0.10046478369681802,0.10046478369681802,0.25079830131538844,0.7318697701259979
Одежда,3531,415,0.11753044463324837,0.11753044463324837,0.22775994414366216,0.7182660036809627
Продукты питания,2685,754,0.2808193668528864,0.2808193668528864,0.5692030966943097,0.7245984474997493
Спорт и отдых,2651,709,0.26744624669935874,0.26744624669935874,0.4987686546312058,0.7180621667279162
Строительство и ремонт,2724,612,0.22466960352422907,0.22466960352422907,0.514966940444542,0.7667007854278074
Товары для животных,2734,979,0.3580833942940746,0.3580833942940746,0.6116233117473011,0.7135131202546932
Хобби и творчество,2680,1236,0.46119402985074626,0.46119402985074626,0.7416916723994953,0.7757479336435109
Электроника,2748,471,0.17139737991266377,0.17139737991266377,0.42365811664340197,0.7739193839996942
Ювелирные изделия,2849,333,0.11688311688311688,0.11688311688311688,0.22186224340044375,0.6648405161918676
