audit_id,human_row_id,id1,id2,category,target,predict,mismatch_type,selection_reason,title1,title2,compact1,compact2,product_text_1,product_text_2
1,21817,42949810472,446676691344,Автотовары,1.0,0.0001313517646193531,FN,confident_minilm_v1_error,sailun atrezzo zsr шины летние 225/40 r18 92y,sailun / шины летние 225/60r18 104w atrezzo elite,"Название: sailun atrezzo zsr шины летние 225/40 r18 92y | бренд: sailun | партномер (артикул производителя): 3220004720 | тип: шины для легковых автомобилей | вид шин: нешипованные | высота профиля, %: 40 | диаметр, дюймы: 18 | серия: atrezzo zsr | ширина профиля, мм: 225","Название: sailun / шины летние 225/60r18 104w atrezzo elite | модель: atrezzo elite | артикул производителя: 3220010741 | вес с упаковкой (кг): 12.03 кг | комплектация: шина 1шт. | высота упаковки: 66 см | диаметр, дюймы: 18 | длина упаковки: 66 см | назначение шин: легковая | ширина упаковки: 19 см","Категория: Автотовары
Название: sailun atrezzo zsr шины летние 225/40 r18 92y
бренд: sailun
партномер (артикул производителя): 3220004720
тип: шины для легковых автомобилей
вид шин: нешипованные
oem-номер: 3220004720
runflat: нет
высота профиля, %: 40
диаметр, дюймы: 18
индекс нагрузки: 92
индекс скорости: y
сезонность: лето
серия: atrezzo zsr
ширина профиля, мм: 225","Категория: Автотовары
Название: sailun / шины летние 225/60r18 104w atrezzo elite
модель: atrezzo elite
артикул производителя: 3220010741
вес с упаковкой (кг): 12.03 кг
комплектация: шина 1шт.
валюта: rub
высота упаковки: 66 см
диаметр, дюймы: 18
длина упаковки: 66 см
индекс нагрузки: 104
индекс скорости: w
назначение шин: легковая
сезонность: лето
страна производства: китай
технология runflat: нет
шипы: нет
ширина упаковки: 19 см"
2,58243,137438975125,755914362551,Автотовары,1.0,0.00037998453259431635,FN,confident_minilm_v1_error,ремонт сколов кузова (подкраска) + грунт комплект ford europe adag zinc/indian yellow 40 мл,kiwix / штрих корректор + грунт комплект skoda lha7 anthracite 40 мл,"Название: ремонт сколов кузова (подкраска) + грунт комплект ford europe adag zinc/indian yellow 40 мл | бренд: kiwix | альтернативные артикулы товара: adag-016911lg | партномер (артикул производителя): adag-016911lg | тип: средство для ремонта царапин | вид техники: внедорожники | объем, мл: 40 | комплектация: ремонт сколов кузова (подкраска) + грунт комплект ford europe adag zinc/indian yellow 40 мл | страна-изготовитель: россия | форма выпуска: готовый раствор",Название: kiwix / штрих корректор + грунт комплект skoda lha7 anthracite 40 мл | артикул производителя: lha7-048827lg | объем (мл): 40 мл | вес товара с упаковкой (г): 150 г | материал обработки: металл; пластик | комплектация: маркер + грунт acura (акура) yr82m bahama gold 40 мл | высота упаковки: 9 см | длина упаковки: 3 см | ширина упаковки: 12 см,"Категория: Автотовары
Название: ремонт сколов кузова (подкраска) + грунт комплект ford europe adag zinc/indian yellow 40 мл
бренд: kiwix
альтернативные артикулы товара: adag-016911lg
партномер (артикул производителя): adag-016911lg
тип: средство для ремонта царапин
вид техники: внедорожники
объем, мл: 40
комплектация: ремонт сколов кузова (подкраска) + грунт комплект ford europe adag zinc/indian yellow 40 мл
область применения: кузов
сезон: на любой сезон
страна-изготовитель: россия
упаковка: коробка
форма выпуска: готовый раствор","Категория: Автотовары
Название: kiwix / штрих корректор + грунт комплект skoda lha7 anthracite 40 мл
артикул производителя: lha7-048827lg
объем (мл): 40 мл
вес товара с упаковкой (г): 150 г
материал обработки: металл; пластик
комплектация: маркер + грунт acura (акура) yr82m bahama gold 40 мл
валюта: rub
время высыхания: 20 минут
высота упаковки: 9 см
длина упаковки: 3 см
срок годности: 24 мес
страна производства: россия
ширина упаковки: 12 см"
3,95139,223338311930,51539659572,Автотовары,1.0,3.120190393987402e-05,FN,component_companion,опора шаровая,ctr опора шаровая,Название: опора шаровая | бренд: japanparts | артикул: japan-parts-bj-k01 mo#nn | партномер (артикул производителя): bjk01 | тип: опора шаровая,Название: ctr опора шаровая | тип автотехники: легковые автомобили,"Категория: Автотовары
Название: опора шаровая
бренд: japanparts
артикул: japan-parts-bj-k01 mo#nn
партномер (артикул производителя): bjk01
тип: опора шаровая
oem-номер: 517602h000; 517600q000; 517602g000; 517600q000; 517602h000; j4860316; 81082; sbj4010; sbj3028; 730kk01; n4860313; adg086138; 14583130; 73k01; mbj8k01; 517602h000; 517600q000; 51760 2g000; 517600q000; 517602h000; j4860316; 81082; sbj-4010; sbj-3028; 73-0k-k01; n4860313; adg086138; 1458-3130; 73k01; mbj-8k01; bjk01","Категория: Автотовары
Название: ctr опора шаровая
тип автотехники: легковые автомобили"
4,203541,472446533657,712964702592,Автотовары,1.0,0.009708474753363424,FN,lexical_surprise,набор автохимии,"grass чистящее средство iron 500мл, шт",Название: набор автохимии | бренд: нет бренда | партномер (артикул производителя): detail::dt0132 | тип: набор автохимии | вид техники: легковые автомобили,"Название: grass чистящее средство iron 500мл, шт | бренд: grass | артикул производителя: dt0132 | код товара: 100037137915 | тип: шампунь | примечание: внешний вид изделия может отличаться от фотографий","Категория: Автотовары
Название: набор автохимии
бренд: нет бренда
партномер (артикул производителя): detail::dt0132
тип: набор автохимии
вид техники: легковые автомобили","Категория: Автотовары
Название: grass чистящее средство iron 500мл, шт
бренд: grass
артикул производителя: dt0132
код товара: 100037137915
тип: шампунь
примечание: внешний вид изделия может отличаться от фотографий"
5,340979,798863946717,446676703891,Автотовары,1.0,0.0015011819937681247,FN,confident_minilm_v1_error,"ikon mg81 колесный диск штампованный 15x7"" pcd6х139.7 et0 d110.5","ikon alloy диск колёсный mg81 7.0x15 5x139.7х110.5 et 10 b, арт.5048/0","Название: ikon mg81 колесный диск штампованный 15x7"" pcd6х139.7 et0 d110.5 | бренд: ikon | партномер (артикул производителя): 5004/0 | тип: колесный диск | вид диска: штампованный | вид техники: легковые автомобили | цвет товара: черный | материал: сталь | диаметр расположения отверстий (pcd): 139.7 | диаметр центр. отверстия, мм: 110.5 | диаметр, дюймы: 15 | количество, штук: 1 | серия: mg81 | ширина обода: 7""","Название: ikon alloy диск колёсный mg81 7.0x15 5x139.7х110.5 et 10 b, арт.5048/0 | вес в транспортной упаковке: 12.1 кг | цвет товара: b | материал: сталь","Категория: Автотовары
Название: ikon mg81 колесный диск штампованный 15x7"" pcd6х139.7 et0 d110.5
бренд: ikon
партномер (артикул производителя): 5004/0
тип: колесный диск
вид диска: штампованный
вид техники: легковые автомобили
цвет товара: черный
материал: сталь
вылет, мм: 0
диаметр расположения отверстий (pcd): 139.7
диаметр центр. отверстия, мм: 110.5
диаметр, дюймы: 15
кол-во крепежных отверстий: 6
количество, штук: 1
серия: mg81
ширина обода: 7""","Категория: Автотовары
Название: ikon alloy диск колёсный mg81 7.0x15 5x139.7х110.5 et 10 b, арт.5048/0
вид: штампованные
вес в транспортной упаковке: 12.1 кг
цвет товара: b
материал: сталь
габариты транспортной упаковки: 42х42х20 см
гарантийный срок: 1 г."
6,348748,816043841280,94489352819,Автотовары,1.0,1.892514598661872e-05,FN,lexical_surprise,camozzi фитинг тройник 15 (camozzi),patron шланг тормозной пер. лев. hyundai kia ix35 / sportage (sl) 10-16 арт. pbh0232,Название: camozzi фитинг тройник 15 (camozzi),"Название: patron шланг тормозной пер. лев. hyundai kia ix35 / sportage (sl) 10-16 арт. pbh0232 | бренд: patron | артикул: pbh0232 | партномер (артикул производителя): pbh0232 | тип: шланг тормозной для автомобиля | количество, штук: 1","Категория: Автотовары
Название: camozzi фитинг тройник 15 (camozzi)
форма: тройник","Категория: Автотовары
Название: patron шланг тормозной пер. лев. hyundai kia ix35 / sportage (sl) 10-16 арт. pbh0232
бренд: patron
артикул: pbh0232
партномер (артикул производителя): pbh0232
тип: шланг тормозной для автомобиля
количество, штук: 1"
7,341346,798863964305,446676733802,Аптека,1.0,0.00020342704657999323,FN,model_disagreement_or_order_gap,alcon / контактные линзы dailies aquacomfort plus 30 / 8.7 / -2.00,"alcon астигматические линзы dailies aquacomfort plus toric_160_-1.25, 30 шт., -2.00 / 8.8/-1.25/160, 1 день",Название: alcon / контактные линзы dailies aquacomfort plus 30 / 8.7 / -2.00 | тип линз: прозрачные | комплектация: контактные линзы - 30 шт. | диаметр мкл: 14 мм | количество предметов в упаковке: 30 шт. | состав: гидрогель,"Название: alcon астигматические линзы dailies aquacomfort plus toric_160_-1.25, 30 шт., -2.00 / 8.8/-1.25/160, 1 день | бренд: alcon | тип: астигматические линзы | цвет товара: прозрачный | материал контактных линз: незофилкон а | количество в упаковке: 30 | страна-изготовитель: сша","Категория: Аптека
Название: alcon / контактные линзы dailies aquacomfort plus 30 / 8.7 / -2.00
тип линз: прозрачные
комплектация: контактные линзы - 30 шт.
валюта: rub
влагосодержание: 69 %
диаметр мкл: 14 мм
количество предметов в упаковке: 30 шт.
коэффициент пропускания кислорода: 26 dk/t
оптическая сила: -2
радиус кривизны: 8.7
режим замены: 1 день
режим ношения: дневной
состав: гидрогель
страна производства: сша","Категория: Аптека
Название: alcon астигматические линзы dailies aquacomfort plus toric_160_-1.25, 30 шт., -2.00 / 8.8/-1.25/160, 1 день
бренд: alcon
тип: астигматические линзы
цвет товара: прозрачный
материал контактных линз: незофилкон а
влагосодержание, %: 69
дней до замены: 1 день
кислородопропускание, dk/t: 26
количество в упаковке: 30
оптическая сила: -2.00
особенности контактных линз: гидрогель
ось (axis): 160
радиус кривизны: 8.8
режим ношения: дневной
страна-изготовитель: сша
цилиндр (cyl): -1.25"
8,142230,335007492903,8590012489,Бытовая химия,1.0,0.22270013882530884,FN,model_disagreement_or_order_gap,"аэрозоль комароед супер для защиты от комаров, слепней, других насекомых и клещей, 128 г, 125 мл","комароед супер аэрозоль 125 мл, современное эффективное средство-спрей от комаров, мошек, слепней и клещей","Название: аэрозоль комароед супер для защиты от комаров, слепней, других насекомых и клещей, 128 г, 125 мл | тип: аэрозоль | вид насекомых: комары, слепни | объем: 125 мл | вес: 128 г | вес в транспортной упаковке: 0.128 кг | цвет товара: белый | количество в упаковке: 1 шт. | количество упаковок: 1 шт. | назначение: уничтожение насекомых, от комаров | состав: n,n-диэтилтолуамид+спирт изопропиловый+дикарбоксимид","Название: комароед супер аэрозоль 125 мл, современное эффективное средство-спрей от комаров, мошек, слепней и клещей | бренд: avgust | тип: средство от насекомых | вид вредителя: комар | объем, мл: 125 | вес товара, г: 135 | цвет товара: красный | комплектация: аэрозоль 1 штука 125 мл | назначение средства от насекомых/грызунов: отпугивание насекомых | состав: вспомогательные компоненты 100 % | страна-изготовитель: россия | форма выпуска средств от вредителей: аэрозоль","Категория: Бытовая химия
Название: аэрозоль комароед супер для защиты от комаров, слепней, других насекомых и клещей, 128 г, 125 мл
тип: аэрозоль
вид насекомых: комары, слепни
объем: 125 мл
вес: 128 г
вес в транспортной упаковке: 0.128 кг
цвет товара: белый
время действия: 4 часа
габариты транспортной упаковки: 4.50х16х4.50 см
дополнительная информация: баллон под давлением, не разбирать, не давать детям; предохранять от действия прямых солнечных лучей и нагревания выше 40 со; хранить препарат отдельно от лекарств, пищевых продуктов и кормов для животных в сухом, прохладном месте, недоступном для детей и животных
количество в упаковке: 1 шт.
количество упаковок: 1 шт.
назначение: уничтожение насекомых, от комаров
особенности: с отдушкой
состав: n,n-диэтилтолуамид+спирт изопропиловый+дикарбоксимид
способ применения: открытые участки тела: распылить средство на ладонь и нанести, не втирая, на открытые части тела; одежда: средство распылять на одежду и другие ткани
срок годности: 3 г.","Категория: Бытовая химия
Название: комароед супер аэрозоль 125 мл, современное эффективное средство-спрей от комаров, мошек, слепней и клещей
бренд: avgust
тип: средство от насекомых
вид вредителя: комар
объем, мл: 125
вес товара, г: 135
цвет товара: красный
комплектация: аэрозоль 1 штука 125 мл
единиц в одном товаре: 1
назначение средства от насекомых/грызунов: отпугивание насекомых
период использования: 1095
состав: вспомогательные компоненты 100 %
страна-изготовитель: россия
форма выпуска средств от вредителей: аэрозоль"
9,194538,455266598061,34359770867,Бытовая химия,1.0,0.0293122327122782,FN,lexical_surprise,"kao / средство ""attack ex"" (концентрат тройного действия) 690 г","kao attack bio gelc высокоэффективный гель для стирки белья с биоэнзимами, с ароматом зелени, з/б 690 гр.","Название: kao / средство ""attack ex"" (концентрат тройного действия) 690 г | объем (л): 0.69 л | вес с упаковкой (кг): 0.74 кг | комплектация: 1 упаковка - 690 мл | аромат: осежающий аромат кристальной чистоты | высота упаковки: 15 см | длина упаковки: 21 см | назначение стирального средства: для белого; для цветного; универсальное | ширина упаковки: 15 см | эффект средства: антибактериальный; ароматизация; смягчение ткани","Название: kao attack bio gelc высокоэффективный гель для стирки белья с биоэнзимами, с ароматом зелени, з/б 690 гр. | бренд: kao | тип: жидкое средство для стирки | вид стирки: автоматическая | вес товара, г: 690 | комплектация: гель для стирки (сменный блок) 1 упаковка 690 г | аромат: эвкалипт | название аромата: эвкалипт | назначение средства для стирки: для белых тканей | состав: пав (37% полиоксиэтиленалкилэфир, алкилбензолы с неразветвленной цепью), стабилизатор, щелочь, регулятор ph, диспергатор, ферменты, флуоресцентный усилитель белизны. | страна-изготовитель: япония | форма выпуска средства: гель","Категория: Бытовая химия
Название: kao / средство ""attack ex"" (концентрат тройного действия) 690 г
объем (л): 0.69 л
вес с упаковкой (кг): 0.74 кг
комплектация: 1 упаковка - 690 мл
аромат: осежающий аромат кристальной чистоты
валюта: rub
высота упаковки: 15 см
длина упаковки: 21 см
назначение стирального средства: для белого; для цветного; универсальное
срок годности: 36 мес
страна производства: япония
ширина упаковки: 15 см
эффект средства: антибактериальный; ароматизация; смягчение ткани","Категория: Бытовая химия
Название: kao attack bio gelc высокоэффективный гель для стирки белья с биоэнзимами, с ароматом зелени, з/б 690 гр.
бренд: kao
тип: жидкое средство для стирки
вид стирки: автоматическая
вес товара, г: 690
комплектация: гель для стирки (сменный блок) 1 упаковка 690 г
аромат: эвкалипт
единиц в одном товаре: 1
название аромата: эвкалипт
назначение средства для стирки: для белых тканей
особенности применения: антибактериальный эффект
состав: пав (37% полиоксиэтиленалкилэфир, алкилбензолы с неразветвленной цепью), стабилизатор, щелочь, регулятор ph, диспергатор, ферменты, флуоресцентный усилитель белизны.
страна-изготовитель: япония
упаковка: дой-пак
форма выпуска средства: гель
число стирок: 27"
10,219355,515396089044,627065252973,Бытовая химия,1.0,0.0015011819937681247,FN,confident_minilm_v1_error,cillit bang / cillit bang мегаблеск+защита 450мл,"средство чистящее cillit bang мегаблеск + защита, спрей, с курком, 750 мл","Название: cillit bang / cillit bang мегаблеск+защита 450мл | высота упаковки: 28 см | длина упаковки: 11 см | состав: менее 5%: щавелевая кислота, неионогенные пав, ароматизирующие добавки. | ширина упаковки: 5 см","Название: средство чистящее cillit bang мегаблеск + защита, спрей, с курком, 750 мл | бренд: cillit | артикул: rc-288989-1-cheestsrva261 | тип: средство чистящее для ванной и туалета | объем, мл: 750 | состав: менее 5% щавелевая кислота, неионогенные пав, ароматизатор.","Категория: Бытовая химия
Название: cillit bang / cillit bang мегаблеск+защита 450мл
валюта: rub
высота упаковки: 28 см
длина упаковки: 11 см
состав: менее 5%: щавелевая кислота, неионогенные пав, ароматизирующие добавки.
ширина упаковки: 5 см","Категория: Бытовая химия
Название: средство чистящее cillit bang мегаблеск + защита, спрей, с курком, 750 мл
бренд: cillit
артикул: rc-288989-1-cheestsrva261
тип: средство чистящее для ванной и туалета
объем, мл: 750
единиц в одном товаре: 1
состав: менее 5% щавелевая кислота, неионогенные пав, ароматизатор."
