split,category,pairs,positives,positive_rate,average_precision,roc_auc
iid,Автотовары,707,118,0.1669024045261669,0.6807406849391383,0.8266452763949238
iid,Аптека,624,42,0.0673076923076923,0.7712302387576915,0.9640607101947307
iid,Бытовая химия,642,294,0.45794392523364486,0.8293931083781432,0.8434983188677772
iid,Галантерея и аксессуары,629,101,0.16057233704292528,0.40974228724544803,0.7064956495649565
iid,Детские товары,676,413,0.6109467455621301,0.842551154454682,0.782229628333901
iid,Дом и сад,668,165,0.2470059880239521,0.6521948709456573,0.8271100668714984
iid,Канцелярские товары,637,187,0.29356357927786497,0.6256823550104863,0.7543553178847296
iid,Красота и гигиена,674,238,0.35311572700296734,0.7433560545930247,0.8127071929689307
iid,Мебель,741,105,0.1417004048582996,0.49595398369987265,0.8095612458820005
iid,Музыкальные инструменты,660,151,0.2287878787878788,0.8045238195115745,0.9104984452048557
iid,Обувь,693,78,0.11255411255411256,0.3416799570395457,0.7694392328538671
iid,Продукты питания,690,191,0.2768115942028985,0.8469834774604295,0.9203642887869979
iid,Спорт и отдых,624,161,0.25801282051282054,0.5856762073323272,0.7539205559207437
iid,Строительство и ремонт,664,158,0.23795180722891565,0.6996424866437366,0.8406776904988242
iid,Товары для животных,624,232,0.3717948717948718,0.8299649185687786,0.8781667839549613
iid,Хобби и творчество,628,286,0.4554140127388535,0.8779633237660297,0.8808786242996769
iid,Электроника,696,99,0.14224137931034483,0.73232995858415,0.8902762973114732
iid,Ювелирные изделия,723,99,0.13692946058091288,0.6353973552829822,0.8629079254079254
hard,Автотовары,316,58,0.18354430379746836,0.1564592518075588,0.39284282277465915
hard,Аптека,308,24,0.07792207792207792,0.5824155004924365,0.8223298122065728
hard,Бытовая химия,311,150,0.48231511254019294,0.5978335826587823,0.5962939958592133
hard,Галантерея и аксессуары,308,49,0.1590909090909091,0.13682083063231443,0.42510440469624144
hard,Детские товары,294,164,0.5578231292517006,0.54277564420073,0.4166979362101313
hard,Дом и сад,284,71,0.25,0.3048685703342474,0.5294253785624545
hard,Канцелярские товары,282,97,0.34397163120567376,0.3122511030978611,0.4216773474505433
hard,Красота и гигиена,287,103,0.3588850174216028,0.41416972420729764,0.5457207682566484
hard,Мебель,339,43,0.12684365781710916,0.20228196835221499,0.583791640477687
hard,Музыкальные инструменты,431,87,0.20185614849187936,0.3618450396552866,0.6403033948142207
hard,Обувь,325,30,0.09230769230769231,0.07327844557881068,0.3694350282485876
hard,Продукты питания,311,89,0.2861736334405145,0.4401339554943764,0.6194705941896953
hard,Спорт и отдых,300,80,0.26666666666666666,0.18560123890002933,0.27551136363636364
hard,Строительство и ремонт,298,64,0.21476510067114093,0.29425545080135224,0.5785924145299145
hard,Товары для животных,319,114,0.3573667711598746,0.5385646325701712,0.6557338468121523
hard,Хобби и творчество,295,138,0.46779661016949153,0.5630492861155527,0.5597941475122311
hard,Электроника,407,82,0.20147420147420148,0.3355861580661797,0.5954409005628518
hard,Ювелирные изделия,399,38,0.09523809523809523,0.2398418861956432,0.6869806094182825
ood,Бытовая техника,17814,6404,0.35949253396205233,0.7957509987106455,0.8464637091410331
ood,Одежда,23357,2751,0.11778053688401764,0.4013723159937385,0.8306657425764511
