coefficient,rule_id,canonical_rule,relation,rule_role,global_support,discovery_effect_class,scope_candidate_frozen
-0.18174204135983255,rule_0013f5001834df67,purpose has different explicit values,different_value,RULE_CANDIDATE,12,UNCERTAIN,UNCERTAIN
-0.18409015851119723,rule_001e9e5140280b39,base_type has different explicit values,different_value,RULE_CANDIDATE,63,NEGATIVE,CATEGORY_SPECIFIC
-0.9067219705959155,rule_0034fc42d6b2dbf9,gemstone_insert is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,69,NEGATIVE,CATEGORY_SPECIFIC
-0.713684289860009,rule_004c75dc5b95a55f,decoration is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,52,NEGATIVE,GLOBAL
0.4009237114129129,rule_005ad7b6970ee99a,puzzle_type has different explicit values,different_value,RULE_CANDIDATE,16,UNCERTAIN,UNCERTAIN
-0.16105147267027198,rule_00674f02d74047be,seat_location is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,11,UNCERTAIN,UNCERTAIN
-0.30745498833145135,rule_008b813c8c12564d,guitar_size has different explicit values,different_value,RULE_CANDIDATE,12,UNCERTAIN,UNCERTAIN
-0.06686651507389449,rule_008f8c94b3a41494,gpu_memory_capacity has different explicit values,different_value,RULE_CANDIDATE,13,UNCERTAIN,CATEGORY_SPECIFIC
-0.024902214382787547,rule_0091290dacf7ce39,scale_length is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,138,UNCERTAIN,UNCERTAIN
0.06592940006007794,rule_00a60745e8c2f71b,stone_count is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,28,UNCERTAIN,UNCERTAIN
-0.6025747736836825,rule_00c50f995184f9b3,hook_size is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,42,NEGATIVE,CATEGORY_SPECIFIC
0.4058501758961897,rule_00d9fac5537672d9,connectivity is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,15,UNCERTAIN,CATEGORY_SPECIFIC
-0.5863850394624701,rule_00f9cd446880112a,back_length_cm is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,14,UNCERTAIN,CATEGORY_SPECIFIC
-0.02632899894205584,rule_011b2b09cec51b79,pickup_configuration is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,50,UNCERTAIN,UNCERTAIN
0.20838111331369835,rule_01268c77b75b5e3a,product_type has a subset or specificity difference,specificity_difference,RULE_CANDIDATE,183,POSITIVE,GLOBAL
-0.3363285593964974,rule_0137d6ea2ccb0a50,item_length is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,10,UNCERTAIN,UNCERTAIN
0.052985157523459996,rule_01b017ef63e2f992,gemstone_cut is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,13,UNCERTAIN,UNCERTAIN
0.17997317727097947,rule_01d9f8077d7cb58e,game_type has different explicit values,different_value,RULE_CANDIDATE,46,POSITIVE,CATEGORY_SPECIFIC
0.11274742711167629,rule_01e2fbdb30425625,special_effect is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,35,UNCERTAIN,UNCERTAIN
-0.1333039556354436,rule_0217ed3b9d781e48,seat_height has different explicit values,different_value,RULE_CANDIDATE,81,UNCERTAIN,UNCERTAIN
0.5163707453815594,rule_021c39fcef98a382,feed_class has different explicit values,different_value,RULE_CANDIDATE,40,POSITIVE,CATEGORY_SPECIFIC
0.21833556326712295,rule_025224df1948cd6d,laundry_purpose has different explicit values,different_value,RULE_CANDIDATE,13,UNCERTAIN,UNCERTAIN
-0.22295209138118785,rule_0287b5a0d4538773,graphics_card_model has different explicit values,different_value,RULE_CANDIDATE,20,NEGATIVE,CATEGORY_SPECIFIC
0.34209547115488576,rule_02bb1edb29a9f7d4,lamp_count is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,63,POSITIVE,CATEGORY_SPECIFIC
-0.06277671793715542,rule_02d6d493d5c4e107,installation_position is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,64,UNCERTAIN,UNCERTAIN
-0.1872042452065646,rule_03027b67105b9cce,finish is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,70,UNCERTAIN,UNCERTAIN
0.3081456227236143,rule_030282eae95336cb,power_watts is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,11,UNCERTAIN,UNCERTAIN
-0.045316201704957544,rule_03685ed9e3765cb0,age_group has different explicit values,different_value,RULE_CANDIDATE,45,UNCERTAIN,UNCERTAIN
-0.14431195239661754,rule_0388ee71e4e41d2c,output_voltage is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,26,UNCERTAIN,UNCERTAIN
0.42890362151669736,rule_03b945c513b6243a,shelf_count is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,77,UNCERTAIN,UNCERTAIN
-0.41195872321091687,rule_03da68ea90bfabe5,bulb_count has different explicit values,different_value,RULE_CANDIDATE,18,UNCERTAIN,UNCERTAIN
-0.6200265446845641,rule_03f1ae8a0ecdbbf9,upper_material has different explicit values,different_value,RULE_CANDIDATE,1387,NEGATIVE,CATEGORY_SPECIFIC
-0.6892304933129458,rule_03fc8403c96891fe,height has different explicit values,different_value,RULE_CANDIDATE,1837,NEGATIVE,GLOBAL
-0.1605154538537583,rule_0432f3646ef257b5,stone_color is explicitly known on only one side,missing_one_side,CONTEXT_ONLY,14,UNCERTAIN,UNCERTAIN
-0.39620078702989464,rule_04442439b217ce54,compatible_laptop_model has different explicit values,different_value,RULE_CANDIDATE,12,UNCERTAIN,UNCERTAIN
