category,pairs,positives,negatives,sparse,rich,hard,single_difference,multiple_differences,asymmetric,empirical_size_band
Автотовары,16188,2835.0,13353,5111,350,3426,1462,1514,810,large
Аптека,15791,1148.0,14643,2407,16,3302,1413,6080,790,large
Бытовая химия,15000,7042.0,7958,4046,197,2573,2811,267,750,very rare
Галантерея и аксессуары,15513,2607.0,12906,4040,221,3447,1708,2852,776,rare
Детские товары,15098,8456.0,6642,3385,626,2115,2165,246,755,very rare
Дом и сад,15126,3979.0,11147,3120,382,2572,2202,1269,757,very rare
Канцелярские товары,15030,5113.0,9917,3171,308,2700,2038,477,752,very rare
Красота и гигиена,14856,5407.0,9449,4088,213,2490,2925,616,743,very rare
Мебель,15730,2373.0,13357,3160,238,3041,1264,5501,787,medium
Музыкальные инструменты,15053,3341.0,11712,3229,418,1746,1929,496,753,rare
Обувь,15783,1552.0,14231,3210,149,3446,1314,6255,790,large
Продукты питания,15382,4153.0,11229,3941,267,2263,2330,2099,770,medium
Спорт и отдых,15114,3923.0,11191,4296,618,2690,2352,972,756,rare
Строительство и ремонт,15426,3336.0,12090,3168,431,2810,2435,1287,772,medium
Товары для животных,15369,5459.0,9910,2857,155,2386,2447,3658,769,medium
Хобби и творчество,15079,7000.0,8079,3674,577,1965,3134,444,754,rare
Электроника,15820,2741.0,13079,3456,663,2896,1676,3861,791,large
Ювелирные изделия,15991,1984.0,14007,3907,51,3362,859,3544,800,large
