category,pair_count,positive_count,negative_count,category_baseline,pilot_pairs,pilot_positive,pilot_category_baseline,pilot_negative
Автотовары,16188,2835,13353,0.1751497930693681,3488,639.0,0.18319954128440366,2849.0
Аптека,15791,1148,14643,0.07272669706180344,3459,227.0,0.06562590344030067,3232.0
Бытовая химия,15000,7042,7958,0.4694687020865276,3265,1515.0,0.46401225114854516,1750.0
Галантерея и аксессуары,15513,2607,12906,0.16807399767951528,3314,546.0,0.1647555823777912,2768.0
Детские товары,15098,8456,6642,0.5600702033247235,3292,1807.0,0.548906439854192,1485.0
Дом и сад,15126,3979,11147,0.26307265155020826,3249,852.0,0.26223453370267774,2397.0
Канцелярские товары,15030,5113,9917,0.34019692635220544,3268,1078.0,0.3298653610771114,2190.0
Красота и гигиена,14856,5407,9449,0.3639698458639025,3201,1202.0,0.3755076538581693,1999.0
Мебель,15730,2373,13357,0.15088042718199732,3416,497.0,0.14549180327868852,2919.0
Музыкальные инструменты,15053,3341,11712,0.2219675833665471,3155,689.0,0.21838351822503962,2466.0
Обувь,15783,1552,14231,0.0983590978205778,3387,328.0,0.09684086211987009,3059.0
Продукты питания,15382,4153,11229,0.2700058506143145,3401,879.0,0.25845339605998235,2522.0
Спорт и отдых,15114,3923,11191,0.25957657955673175,3286,838.0,0.2550213024954352,2448.0
Строительство и ремонт,15426,3336,12090,0.21627665780773966,3319,703.0,0.21181078638144019,2616.0
Товары для животных,15369,5459,9910,0.3552049446974626,3312,1164.0,0.35144927536231885,2148.0
Хобби и творчество,15079,7000,8079,0.4642241379310345,3248,1529.0,0.4707512315270936,1719.0
Электроника,15820,2741,13079,0.17328234624865685,3435,587.0,0.17088791848617177,2848.0
Ювелирные изделия,15991,1984,14007,0.12409329664832416,3505,435.0,0.12410841654778887,3070.0
