metric,quantile,value
global_support,0.0,1.0
global_support,0.1,1.0
global_support,0.25,1.0
global_support,0.5,1.0
global_support,0.75,4.0
global_support,0.9,13.0
global_support,1.0,12159.0
category_count,0.0,1.0
category_count,0.1,1.0
category_count,0.25,1.0
category_count,0.5,1.0
category_count,0.75,1.0
category_count,0.9,2.0
category_count,1.0,18.0
global_effect,0.0,-6.364141075358488
global_effect,0.1,-2.0203330016870042
global_effect,0.25,-1.3399054300163684
global_effect,0.5,-0.5275998835058141
global_effect,0.75,0.627923472773927
global_effect,0.9,2.8151444979060747
global_effect,1.0,5.905311249261669
uncertainty,0.0,0.09669742444788183
uncertainty,0.1,2.9732463479695115
uncertainty,0.25,5.477556052932783
uncertainty,0.5,9.34923128005038
uncertainty,0.75,9.625693041346
uncertainty,0.9,9.77677902698023
uncertainty,1.0,10.350382211134031
single_difference_support,0.0,0.0
single_difference_support,0.1,0.0
single_difference_support,0.25,0.0
single_difference_support,0.5,0.0
single_difference_support,0.75,0.0
single_difference_support,0.9,0.0
single_difference_support,1.0,384.0
max_2_differences_support,0.0,0.0
max_2_differences_support,0.1,0.0
max_2_differences_support,0.25,0.0
max_2_differences_support,0.5,0.0
max_2_differences_support,0.75,0.0
max_2_differences_support,0.9,1.0
max_2_differences_support,1.0,1579.0
heterogeneity_tau2,0.0,0.0
heterogeneity_tau2,0.1,0.0
heterogeneity_tau2,0.25,0.0
heterogeneity_tau2,0.5,0.0
heterogeneity_tau2,0.75,0.0
heterogeneity_tau2,0.9,0.0
heterogeneity_tau2,1.0,6.937632853928265
