category,pairs,positives,prevalence,unique_products,negatives,share_of_train_pairs,empirical_size_band,pair_count_rank_ascending
Красота и гигиена,16325,5942,0.36398162327718225,32401,10383,0.05323329061626705,very rare,1
Бытовая химия,16483,7739,0.4695140447734029,31470,8744,0.0537485040874689,very rare,2
Канцелярские товары,16516,5619,0.3402155485589731,32627,10897,0.05385611196436549,very rare,3
Детские товары,16591,9292,0.5600626845880297,32871,7299,0.054100675320948644,very rare,4
Дом и сад,16622,4372,0.2630249067500902,33034,12250,0.054201761508336346,very rare,5
Музыкальные инструменты,16726,3712,0.2219299294511539,30025,13014,0.05454088936279833,rare,6
Хобби и творчество,16754,7778,0.46424734391787037,33187,8976,0.0546321930159227,rare,7
Спорт и отдых,16793,4359,0.2595724408979932,33259,12434,0.054759365961345945,rare,8
Галантерея и аксессуары,17047,2865,0.1680647621282337,33598,14182,0.05558762052897424,rare,9
Строительство и ремонт,17140,3707,0.2162777129521587,34177,13433,0.05589087909113735,medium,10
Товары для животных,17268,6134,0.3552235348621728,33818,11134,0.056308267219705936,medium,11
Продукты питания,17283,4666,0.2699762772666782,33643,12617,0.05635717989102257,medium,12
Мебель,17286,2608,0.15087353928034247,33445,14678,0.056366962425285896,medium,13
Обувь,17344,1705,0.09830488929889299,33956,15639,0.056556091421043536,large,14
Аптека,17353,1262,0.07272517720278915,33797,16091,0.05658543902383351,large,15
Ювелирные изделия,17573,2180,0.12405394639503785,32718,15393,0.057302824869810774,large,16
Электроника,17578,3046,0.1732847878029355,32504,14532,0.057319129093582985,large,17
Автотовары,17987,3150,0.1751264802357258,35732,14837,0.0586528145981498,large,18
