scope,label,pairs,share_within_scope
all,0,226533,0.738688944758029
all,1,80136,0.26131105524197096
Автотовары,0,14837,0.8248735197642741
Автотовары,1,3150,0.1751264802357258
Аптека,0,16091,0.9272748227972109
Аптека,1,1262,0.07272517720278915
Бытовая химия,0,8744,0.5304859552265971
Бытовая химия,1,7739,0.4695140447734029
Галантерея и аксессуары,0,14182,0.8319352378717663
Галантерея и аксессуары,1,2865,0.1680647621282337
Детские товары,0,7299,0.43993731541197034
Детские товары,1,9292,0.5600626845880297
Дом и сад,0,12250,0.7369750932499097
Дом и сад,1,4372,0.2630249067500902
Канцелярские товары,0,10897,0.6597844514410269
Канцелярские товары,1,5619,0.3402155485589731
Красота и гигиена,0,10383,0.6360183767228178
Красота и гигиена,1,5942,0.36398162327718225
Мебель,0,14678,0.8491264607196575
Мебель,1,2608,0.15087353928034247
Музыкальные инструменты,0,13014,0.7780700705488461
Музыкальные инструменты,1,3712,0.2219299294511539
Обувь,0,15639,0.901695110701107
Обувь,1,1705,0.09830488929889299
Продукты питания,0,12617,0.7300237227333217
Продукты питания,1,4666,0.2699762772666782
Спорт и отдых,0,12434,0.7404275591020067
Спорт и отдых,1,4359,0.2595724408979932
Строительство и ремонт,0,13433,0.7837222870478413
Строительство и ремонт,1,3707,0.2162777129521587
Товары для животных,0,11134,0.6447764651378272
Товары для животных,1,6134,0.3552235348621728
Хобби и творчество,0,8976,0.5357526560821296
Хобби и творчество,1,7778,0.46424734391787037
Электроника,0,14532,0.8267152121970646
Электроника,1,3046,0.1732847878029355
Ювелирные изделия,0,15393,0.8759460536049621
Ювелирные изделия,1,2180,0.12405394639503785
