strategy,category,pair_size_band,positive_support_band,validation_rate_target,target_validation_pairs,discovery_pairs,validation_pairs,validation_pair_error,discovery_positives,validation_positives,target_validation_positives,validation_positive_error,discovery_prevalence,validation_prevalence,source_prevalence,rationale
random_pair_grouped,Красота и гигиена,very rare,large,0.09,1469,14856,1469,0,5407,535,535,0,0.36396068928379105,0.3641933287950987,0.36398162327718225,Категория очень малая по числу пар; positive support не требует дополнительного уменьшения validation.
random_pair_grouped,Бытовая химия,very rare,large,0.09,1483,15000,1483,0,7042,697,697,0,0.46946666666666664,0.46999325691166555,0.4695140447734029,Категория очень малая по числу пар; positive support не требует дополнительного уменьшения validation.
random_pair_grouped,Канцелярские товары,very rare,medium,0.09,1486,15030,1486,0,5113,506,506,0,0.34018629407850964,0.3405114401076716,0.3402155485589731,Категория очень малая по числу пар; positive support не требует дополнительного уменьшения validation.
random_pair_grouped,Детские товары,very rare,large,0.09,1493,15098,1493,0,8456,836,836,0,0.5600741820108623,0.5599464166108507,0.5600626845880297,Категория очень малая по числу пар; positive support не требует дополнительного уменьшения validation.
random_pair_grouped,Дом и сад,very rare,medium,0.09,1496,15126,1496,0,3979,393,393,0,0.2630569879677377,0.2627005347593583,0.2630249067500902,Категория очень малая по числу пар; positive support не требует дополнительного уменьшения validation.
random_pair_grouped,Музыкальные инструменты,rare,rare,0.1,1673,15053,1673,0,3341,371,371,0,0.22194911313359464,0.2217573221757322,0.2219299294511539,Категория малая по числу пар; positive support не требует дополнительного уменьшения validation.
random_pair_grouped,Хобби и творчество,rare,large,0.1,1675,15079,1675,0,7000,778,778,0,0.4642217653690563,0.4644776119402985,0.46424734391787037,Категория малая по числу пар; positive support не требует дополнительного уменьшения validation.
random_pair_grouped,Спорт и отдых,rare,medium,0.1,1679,15114,1679,0,3923,436,436,0,0.2595606722244277,0.2596783799880881,0.2595724408979932,Категория малая по числу пар; positive support не требует дополнительного уменьшения validation.
random_pair_grouped,Галантерея и аксессуары,rare,very rare,0.09,1534,15513,1534,0,2607,258,258,0,0.16805260104428543,0.1681877444589309,0.1680647621282337,"Категория малая по числу пар, но очень малая по positive support; validation уменьшена, чтобы сохранить положительные discovery-примеры."
random_pair_grouped,Строительство и ремонт,medium,rare,0.1,1714,15426,1714,0,3336,371,371,0,0.2162582652664333,0.2164527421236873,0.2162777129521587,"Категория средняя по числу пар, но малая по positive support; validation уменьшена, чтобы сохранить положительные discovery-примеры."
random_pair_grouped,Товары для животных,medium,large,0.11,1899,15369,1899,0,5459,675,675,0,0.35519552345630817,0.35545023696682465,0.3552235348621728,Категория средняя по числу пар; positive support не требует дополнительного уменьшения validation.
random_pair_grouped,Продукты питания,medium,medium,0.11,1901,15382,1901,0,4153,513,513,0,0.26999089845273694,0.2698579694897422,0.2699762772666782,Категория средняя по числу пар; positive support не требует дополнительного уменьшения validation.
random_pair_grouped,Мебель,medium,very rare,0.09,1556,15730,1556,0,2373,235,235,0,0.1508582326764145,0.15102827763496143,0.15087353928034247,"Категория средняя по числу пар, но очень малая по positive support; validation уменьшена, чтобы сохранить положительные discovery-примеры."
random_pair_grouped,Обувь,large,very rare,0.09,1561,15783,1561,0,1552,153,153,0,0.09833365012988658,0.0980140935297886,0.09830488929889299,"Категория крупная по числу пар, но очень малая по positive support; validation уменьшена, чтобы сохранить положительные discovery-примеры."
random_pair_grouped,Аптека,large,very rare,0.09,1562,15791,1562,0,1148,114,114,0,0.07269963903489329,0.07298335467349552,0.07272517720278915,"Категория крупная по числу пар, но очень малая по positive support; validation уменьшена, чтобы сохранить положительные discovery-примеры."
random_pair_grouped,Ювелирные изделия,large,very rare,0.09,1582,15991,1582,0,1984,196,196,0,0.12406978925645676,0.12389380530973451,0.12405394639503785,"Категория крупная по числу пар, но очень малая по positive support; validation уменьшена, чтобы сохранить положительные discovery-примеры."
random_pair_grouped,Электроника,large,rare,0.1,1758,15820,1758,0,2741,305,305,0,0.17326169405815423,0.17349260523321958,0.1732847878029355,"Категория крупная по числу пар, но малая по positive support; validation уменьшена, чтобы сохранить положительные discovery-примеры."
random_pair_grouped,Автотовары,large,rare,0.1,1799,16188,1799,0,2835,315,315,0,0.1751297257227576,0.17509727626459143,0.1751264802357258,"Категория крупная по числу пар, но малая по positive support; validation уменьшена, чтобы сохранить положительные discovery-примеры."
content_grouped,Красота и гигиена,very rare,large,0.09,1469,14856,1469,0,5407,535,535,0,0.36396068928379105,0.3641933287950987,0.36398162327718225,Категория очень малая по числу пар; positive support не требует дополнительного уменьшения validation.
content_grouped,Бытовая химия,very rare,large,0.09,1483,15000,1483,0,7042,697,697,0,0.46946666666666664,0.46999325691166555,0.4695140447734029,Категория очень малая по числу пар; positive support не требует дополнительного уменьшения validation.
content_grouped,Канцелярские товары,very rare,medium,0.09,1486,15030,1486,0,5113,506,506,0,0.34018629407850964,0.3405114401076716,0.3402155485589731,Категория очень малая по числу пар; positive support не требует дополнительного уменьшения validation.
content_grouped,Детские товары,very rare,large,0.09,1493,15098,1493,0,8456,836,836,0,0.5600741820108623,0.5599464166108507,0.5600626845880297,Категория очень малая по числу пар; positive support не требует дополнительного уменьшения validation.
content_grouped,Дом и сад,very rare,medium,0.09,1496,15126,1496,0,3979,393,393,0,0.2630569879677377,0.2627005347593583,0.2630249067500902,Категория очень малая по числу пар; positive support не требует дополнительного уменьшения validation.
content_grouped,Музыкальные инструменты,rare,rare,0.1,1673,15053,1673,0,3341,371,371,0,0.22194911313359464,0.2217573221757322,0.2219299294511539,Категория малая по числу пар; positive support не требует дополнительного уменьшения validation.
content_grouped,Хобби и творчество,rare,large,0.1,1675,15079,1675,0,7000,778,778,0,0.4642217653690563,0.4644776119402985,0.46424734391787037,Категория малая по числу пар; positive support не требует дополнительного уменьшения validation.
content_grouped,Спорт и отдых,rare,medium,0.1,1679,15114,1679,0,3923,436,436,0,0.2595606722244277,0.2596783799880881,0.2595724408979932,Категория малая по числу пар; positive support не требует дополнительного уменьшения validation.
content_grouped,Галантерея и аксессуары,rare,very rare,0.09,1534,15513,1534,0,2607,258,258,0,0.16805260104428543,0.1681877444589309,0.1680647621282337,"Категория малая по числу пар, но очень малая по positive support; validation уменьшена, чтобы сохранить положительные discovery-примеры."
content_grouped,Строительство и ремонт,medium,rare,0.1,1714,15426,1714,0,3336,371,371,0,0.2162582652664333,0.2164527421236873,0.2162777129521587,"Категория средняя по числу пар, но малая по positive support; validation уменьшена, чтобы сохранить положительные discovery-примеры."
content_grouped,Товары для животных,medium,large,0.11,1899,15369,1899,0,5459,675,675,0,0.35519552345630817,0.35545023696682465,0.3552235348621728,Категория средняя по числу пар; positive support не требует дополнительного уменьшения validation.
content_grouped,Продукты питания,medium,medium,0.11,1901,15382,1901,0,4153,513,513,0,0.26999089845273694,0.2698579694897422,0.2699762772666782,Категория средняя по числу пар; positive support не требует дополнительного уменьшения validation.
content_grouped,Мебель,medium,very rare,0.09,1556,15730,1556,0,2373,235,235,0,0.1508582326764145,0.15102827763496143,0.15087353928034247,"Категория средняя по числу пар, но очень малая по positive support; validation уменьшена, чтобы сохранить положительные discovery-примеры."
content_grouped,Обувь,large,very rare,0.09,1561,15783,1561,0,1552,153,153,0,0.09833365012988658,0.0980140935297886,0.09830488929889299,"Категория крупная по числу пар, но очень малая по positive support; validation уменьшена, чтобы сохранить положительные discovery-примеры."
content_grouped,Аптека,large,very rare,0.09,1562,15791,1562,0,1148,114,114,0,0.07269963903489329,0.07298335467349552,0.07272517720278915,"Категория крупная по числу пар, но очень малая по positive support; validation уменьшена, чтобы сохранить положительные discovery-примеры."
content_grouped,Ювелирные изделия,large,very rare,0.09,1582,15991,1582,0,1984,196,196,0,0.12406978925645676,0.12389380530973451,0.12405394639503785,"Категория крупная по числу пар, но очень малая по positive support; validation уменьшена, чтобы сохранить положительные discovery-примеры."
content_grouped,Электроника,large,rare,0.1,1758,15820,1758,0,2741,305,305,0,0.17326169405815423,0.17349260523321958,0.1732847878029355,"Категория крупная по числу пар, но малая по positive support; validation уменьшена, чтобы сохранить положительные discovery-примеры."
content_grouped,Автотовары,large,rare,0.1,1799,16188,1799,0,2835,315,315,0,0.1751297257227576,0.17509727626459143,0.1751264802357258,"Категория крупная по числу пар, но малая по positive support; validation уменьшена, чтобы сохранить положительные discovery-примеры."
product_disjoint,Красота и гигиена,very rare,large,0.09,1469,14856,1469,0,5407,535,535,0,0.36396068928379105,0.3641933287950987,0.36398162327718225,Категория очень малая по числу пар; positive support не требует дополнительного уменьшения validation.
product_disjoint,Бытовая химия,very rare,large,0.09,1483,15000,1483,0,7042,697,697,0,0.46946666666666664,0.46999325691166555,0.4695140447734029,Категория очень малая по числу пар; positive support не требует дополнительного уменьшения validation.
