split,route_expert,oracle_policy,score_mode,route_budget,pairs,routed_pairs,route_coverage,positive_benefit_pairs,baseline_macro_ap,macro_ap,macro_ap_gain,gain_per_route_coverage,baseline_overall_ap,overall_ap,ap_category_count,routed_minilm,routed_rumodernbert,selection_uses_label
iid,minilm,global_directional,replace,0.05,12000,600,0.05,5842,0.7822219461825138,0.8225073714721925,0.04028542528967871,0.8057085057935742,0.8366439668804049,0.8639474329618239,18,600,0,True
iid,minilm,global_directional,replace,0.1,12000,1200,0.1,5842,0.7822219461825138,0.8400217570085919,0.0577998108260781,0.577998108260781,0.8366439668804049,0.8761712533446857,18,1200,0,True
iid,minilm,global_directional,replace,0.15,12000,1800,0.15,5842,0.7822219461825138,0.8506069285220705,0.0683849823395567,0.45589988226371136,0.8366439668804049,0.8841551076822778,18,1800,0,True
iid,minilm,global_directional,replace,0.2,12000,2400,0.2,5842,0.7822219461825138,0.8563316542863126,0.0741097081037988,0.370548540518994,0.8366439668804049,0.8884118333499461,18,2400,0,True
iid,minilm,global_directional,replace,0.3,12000,3600,0.3,5842,0.7822219461825138,0.8615330648950648,0.07931111871255092,0.26437039570850307,0.8366439668804049,0.8934284382758065,18,3600,0,True
iid,minilm,global_directional,replace,0.4,12000,4800,0.4,5842,0.7822219461825138,0.8625970268207683,0.08037508063825449,0.20093770159563623,0.8366439668804049,0.8944830690844806,18,4800,0,True
iid,minilm,category_balanced_directional,replace,0.05,12000,593,0.049416666666666664,5842,0.7822219461825138,0.8252180943947672,0.04299614821225339,0.8700738255430704,0.8366439668804049,0.8629197903661532,18,593,0,True
iid,minilm,category_balanced_directional,replace,0.1,12000,1192,0.09933333333333333,5842,0.7822219461825138,0.8407291191325837,0.05850717295006991,0.5889983854033883,0.8366439668804049,0.8740495650720336,18,1192,0,True
iid,minilm,category_balanced_directional,replace,0.15,12000,1793,0.14941666666666667,5842,0.7822219461825138,0.8511134209898619,0.06889147480734803,0.4610695469538072,0.8366439668804049,0.8822502076852503,18,1793,0,True
iid,minilm,category_balanced_directional,replace,0.2,12000,2391,0.19925,5842,0.7822219461825138,0.8555688793931312,0.07334693321061736,0.36811509766934686,0.8366439668804049,0.8869165143072074,18,2391,0,True
iid,minilm,category_balanced_directional,replace,0.3,12000,3593,0.29941666666666666,5842,0.7822219461825138,0.8605680173162674,0.07834607113375358,0.2616623583648881,0.8366439668804049,0.8923742260579045,18,3593,0,True
iid,minilm,category_balanced_directional,replace,0.4,12000,4723,0.39358333333333334,5842,0.7822219461825138,0.862354046453608,0.08013210027109419,0.20359627424372861,0.8366439668804049,0.8942666060159948,18,4723,0,True
iid,rumodernbert,global_directional,replace,0.05,12000,600,0.05,3367,0.7822219461825138,0.8249081228800565,0.04268617669754271,0.8537235339508542,0.8366439668804049,0.8668201247908702,18,0,600,True
