split,specialist,direction,id1,id2,category,target,bge_probability,specialist_probability,absolute_error_gain,logloss_gain,title_1,title_2,title_token_set,brand_match,brand_conflict,model_code_match,model_code_conflict,title_code_match,title_code_conflict,primary_conflict_type
iid,minilm,specialist_better,42949754542,541165974063,Красота и гигиена,0.0,0.8068734407424927,0.07980849593877792,0.7270649448037148,1.5612360835250967,rever l322/rever parfum/collection for women/tobacco vanille/7 мл,rever parfum мдp l3262 духи-масло 7 мл,0.446601927280426,0.0,0.0,0.0,0.0,0.0,1.0,model_number
iid,minilm,specialist_better,223338372326,618475346370,Мебель,1.0,0.15213114023208618,0.8133479356765747,0.6612167954444885,1.6764160695951438,"прямой диван мечта, серый, артикул 112854",лига диванов прямой диван мечта,0.5833333134651184,0.0,0.0,0.0,0.0,0.0,0.0,weight
iid,minilm,specialist_better,223338401945,257698126671,Строительство и ремонт,0.0,0.6750196218490601,0.024859998375177383,0.6501596234738827,1.0988162465127482,"стан шина медная 5х30 мм. длина 100 мм. ( 10 см. ) гост 434-78 медь м1 твёрдая полоса для строительства, реализации токопроводов, электротехническая","шина медная 5х30 мм. длина 1000 мм. ( 100 см. ) гост 434-78 медь м1 твёрдая полоса для строительства, реализации токопроводов, электротехническая",0.9819494485855103,1.0,1.0,0.0,0.0,1.0,0.0,dimensions
iid,minilm,specialist_better,506806185027,111669227523,Хобби и творчество,1.0,0.13279908895492554,0.760193943977356,0.6273948550224304,1.744736213429352,школа талантов набор археолога серия с фигуркой-игрушкой динозавра «паразаулоф»,"набор для творчества набор археолога тарбозавр, серия с фигуркой-игрушкой динозавра",0.796875,0.0,0.0,0.0,0.0,0.0,0.0,none
iid,minilm,specialist_better,94489397081,60129591489,Детские товары,1.0,0.3061907887458801,0.9266926050186157,0.6205018162727356,1.1074135083569157,lego / конструктор сити cities город стремительная погоня 318 дет,"конструктор ""полицейская погоня"" 318 дет 8704",0.59375,0.0,0.0,0.0,0.0,0.0,0.0,pack_count
iid,minilm,specialist_better,377957240978,609885498964,Аптека,1.0,0.010994739830493927,0.6110758781433105,0.6000811383128166,4.017804177077192,"контактные линзы acuvue oasys 1-day with hydraluxe, 30 шт., r 8,5, d -5,25","acuvue контактные линзы 1-day oasys with hydraluxe_прозрачный, 30 шт., -5.25 / 8.5/ 1 день",0.8292682766914368,0.0,0.0,0.0,0.0,1.0,0.0,none
iid,minilm,specialist_better,292057829047,446676706037,Детские товары,0.0,0.6431432962417603,0.051811154931783676,0.5913321413099766,0.9772193749069087,"не определен воздушный змей «анна и эльза», холодное сердце, 70 х 105 см","воздушный змей "" анна и эльза "",  х олодное сердце, 70 x 105 см 5437522",0.7746478915214539,0.0,0.0,0.0,0.0,0.0,0.0,dimensions
iid,minilm,specialist_better,541165960448,120259212187,Электроника,1.0,0.05242761969566345,0.6350468397140503,0.5826192200183868,2.494265213610783,intel 3 тб внутренний ssd-диск dc p4610 ssdpe2ke032t807 (ssdpe2ke032t807),"ssd накопитель intel p4610 3,2 тб (ssdpe2ke032t807)",0.7710843086242676,1.0,0.0,0.0,0.0,1.0,1.0,ram_storage
iid,minilm,specialist_better,283467861884,841813613819,Строительство и ремонт,0.0,0.6460530757904053,0.06377390027046204,0.5822791755199432,0.9727100365652962,lightstar накладной светильник  lightstar arco qua led 226202,накладной светильник mebelion arco qua led 226262,0.8484848737716675,0.0,0.0,0.0,0.0,0.0,0.0,weight
iid,minilm,specialist_better,352187473546,266287980741,Детские товары,1.0,0.2920459508895874,0.8721844553947449,0.5801385045051575,1.094089777007583,"конструктор краски дня. утро, 55 дет.","designer / конструктор ""краски дня. утро"", 55 деталей",0.7111111283302307,0.0,0.0,0.0,0.0,0.0,0.0,weight
