split,specialist,slice_type,slice_value,n,positive_rate,ap_category_count,bge_macro_ap,specialist_macro_ap,macro_ap_delta,bge_overall_ap,specialist_overall_ap,overall_ap_delta,bge_binary_error_rate_at_0p5,specialist_binary_error_rate_at_0p5,binary_corrected,binary_regressed,binary_net_correction,binary_net_correction_rate,logloss_specialist_better,logloss_bge_better,bge_logloss,specialist_logloss,logloss_gain,absolute_error_specialist_better,absolute_error_bge_better,bge_mae,specialist_mae,mae_gain
iid,minilm,category,Автотовары,707,0.1669024045261669,1,0.7047224695607315,0.6983610091117665,-0.006361460448965017,0.7047224695607315,0.6983610091117665,-0.006361460448965017,0.09900990099009901,0.10891089108910891,4,11,-7,-0.009900990099009901,344,265,0.2960956831618347,0.30958319319580774,-0.013487510033972958,281,224,0.14967366829702217,0.15055796912923333,-0.0008843008322111704
iid,minilm,category,Аптека,624,0.0673076923076923,1,0.8018116592403273,0.8370258994467784,0.03521424020645114,0.8018116592403273,0.8370258994467784,0.03521424020645114,0.035256410256410256,0.03365384615384615,6,5,1,0.0016025641025641025,92,65,0.09369324729417601,0.08851138895564817,0.005181858338527845,69,53,0.0465270507946652,0.04304501035335889,0.003482040441306312
iid,minilm,category,Бытовая химия,642,0.45794392523364486,1,0.8866722453746422,0.88199033680348,-0.00468190857116213,0.8866722453746422,0.88199033680348,-0.00468190857116213,0.14797507788161993,0.14797507788161993,21,21,0,0.0,284,271,0.370103568135148,0.3675158387460086,0.002587729389139328,239,234,0.21224563090784207,0.21070678234919965,0.0015388485586424459
iid,minilm,category,Галантерея и аксессуары,629,0.16057233704292528,1,0.6681806775510581,0.6678299268976197,-0.0003507506534384808,0.6681806775510581,0.6678299268976197,-0.0003507506534384808,0.1192368839427663,0.11128775834658187,18,13,5,0.00794912559618442,214,246,0.28473632233662,0.294045155498513,-0.009308833161893024,179,206,0.15709053052337865,0.1589996135885565,-0.0019090830651778189
iid,minilm,category,Детские товары,676,0.6109467455621301,1,0.9357273174979128,0.9329409691090165,-0.0027863483888963536,0.9357273174979128,0.9329409691090165,-0.0027863483888963536,0.15976331360946747,0.17159763313609466,22,30,-8,-0.011834319526627219,262,336,0.3902561310938407,0.405299350473466,-0.015043219379625192,224,299,0.2293153873582084,0.24053148148869324,-0.01121609413048484
iid,minilm,category,Дом и сад,668,0.2470059880239521,1,0.8394735412903032,0.8177520427721311,-0.021721498518172067,0.8394735412903032,0.8177520427721311,-0.021721498518172067,0.11976047904191617,0.11377245508982035,18,14,4,0.005988023952095809,227,273,0.2737637451154571,0.28554405944056865,-0.01178031432511156,185,238,0.16727282641140792,0.17106102902481124,-0.0037882026134033217
iid,minilm,category,Канцелярские товары,637,0.29356357927786497,1,0.7853949067693771,0.7909120634765717,0.005517156707194659,0.7853949067693771,0.7909120634765717,0.005517156707194659,0.18681318681318682,0.1726844583987441,46,37,9,0.0141287284144427,247,289,0.377088487763218,0.38144402973866554,-0.004355541975447511,215,271,0.23622482872794323,0.24085100185311745,-0.0046261731251742355
iid,minilm,category,Красота и гигиена,674,0.35311572700296734,1,0.8244052909182986,0.8230709793847217,-0.0013343115335768818,0.8244052909182986,0.8230709793847217,-0.0013343115335768818,0.18100890207715134,0.17062314540059348,34,27,7,0.010385756676557863,277,328,0.39768049767582886,0.39443076779167585,0.003249729884153055,244,286,0.24245849007620401,0.24168350575947775,0.0007749843167262677
iid,minilm,category,Мебель,741,0.1417004048582996,1,0.6666543017523899,0.6662687130566151,-0.0003855886957748744,0.6666543017523899,0.6662687130566151,-0.0003855886957748744,0.09986504723346828,0.09851551956815115,15,14,1,0.001349527665317139,216,265,0.25647169684848287,0.2638074686868153,-0.007335771838332432,162,223,0.12748957821968263,0.13298596079045655,-0.005496382570773908
iid,minilm,category,Музыкальные инструменты,660,0.2287878787878788,1,0.8813198453797705,0.8896511253002747,0.008331279920504198,0.8813198453797705,0.8896511253002747,0.008331279920504198,0.0803030303030303,0.08181818181818182,12,13,-1,-0.0015151515151515152,259,251,0.23414727413947384,0.23040404856934646,0.003743225570127448,180,202,0.1241263970007739,0.12521760236149104,-0.0010912053607171402
iid,minilm,category,Обувь,693,0.11255411255411256,1,0.5314531002264711,0.5094755170051981,-0.021977583221272967,0.5314531002264711,0.5094755170051981,-0.021977583221272967,0.09523809523809523,0.09812409812409813,9,11,-2,-0.002886002886002886,131,316,0.2524680617368608,0.25020007582006315,0.0022679859167976345,103,264,0.12599765028642473,0.13616940365560973,-0.01017175336918499
iid,minilm,category,Продукты питания,690,0.2768115942028985,1,0.8840136456116856,0.8813701531117285,-0.0026434924999571008,0.8840136456116856,0.8813701531117285,-0.0026434924999571008,0.10144927536231885,0.09855072463768116,14,12,2,0.002898550724637681,227,312,0.2677809129620731,0.2630879252729756,0.004692987689097614,176,242,0.1415947289443558,0.1442858473275471,-0.0026911183831912966
iid,minilm,category,Спорт и отдых,624,0.25801282051282054,1,0.694405188583946,0.712174590383667,0.017769401799721085,0.694405188583946,0.712174590383667,0.017769401799721085,0.17147435897435898,0.16185897435897437,17,11,6,0.009615384615384616,269,237,0.4391497663591889,0.41901449800267354,0.02013526835651537,223,205,0.21701017201718434,0.21375065116071476,0.003259520856469559
iid,minilm,category,Строительство и ремонт,664,0.23795180722891565,1,0.747999885380319,0.7726019612759383,0.024602075895619246,0.747999885380319,0.7726019612759383,0.024602075895619246,0.15060240963855423,0.1355421686746988,27,17,10,0.015060240963855422,270,244,0.3442492776730924,0.3309235017360786,0.013325775937013845,228,210,0.18933457245933472,0.18362007743263645,0.0057144950266982885
iid,minilm,category,Товары для животных,624,0.3717948717948718,1,0.8618089578178876,0.8619860150580829,0.00017705724019534408,0.8618089578178876,0.8619860150580829,0.00017705724019534408,0.14102564102564102,0.13782051282051283,17,15,2,0.003205128205128205,257,243,0.36440239147145304,0.361854084782599,0.002548306688854035,216,197,0.19199616112223922,0.18827456740939688,0.003721593712842337
iid,minilm,category,Хобби и творчество,628,0.4554140127388535,1,0.9260068993570639,0.9241693390636637,-0.0018375602934002089,0.9260068993570639,0.9241693390636637,-0.0018375602934002089,0.1178343949044586,0.12738853503184713,13,19,-6,-0.009554140127388535,208,315,0.2977946554020634,0.30292644255689527,-0.005131787154831904,186,263,0.1680495937874468,0.17788003869803332,-0.009830444910586515
iid,minilm,category,Электроника,696,0.14224137931034483,1,0.7599359591229894,0.7398385891664616,-0.020097369956527777,0.7599359591229894,0.7398385891664616,-0.020097369956527777,0.09051724137931035,0.09195402298850575,13,14,-1,-0.0014367816091954023,188,263,0.19869045714771547,0.2121180590516927,-0.013427601903977253,151,219,0.1230303471058359,0.1297027539644921,-0.006672406858656202
