specialist,slice_type,slice_value,iid_n,iid_macro_ap_delta,iid_logloss_gain,iid_mae_gain,iid_binary_net_correction_rate,hard_n,hard_macro_ap_delta,hard_logloss_gain,hard_mae_gain,hard_binary_net_correction_rate,ood_n,ood_macro_ap_delta,ood_logloss_gain,ood_mae_gain,ood_binary_net_correction_rate,iid_better,hard_better,ood_better,stable_iid_hard,stable_all_three,production_candidate,min_iid_hard_logloss_gain
minilm,numeric_volume_state,match,984.0,0.0026948453983260956,0.006843105107727877,0.004250549449234239,0.008130081300813009,452.0,0.023283442990019054,0.007595604980580386,0.003653073377919639,0.011061946902654867,2745.0,-0.0009866256922136385,-0.007823893617630372,-0.00783180820438434,-0.0025500910746812386,True,True,False,True,False,True,0.006843105107727877
rumodernbert,numeric_ram_storage_state,conflict,41.0,0.0,0.05513933757702175,0.011114616849049415,0.024390243902439025,,,,,,,,,,,False,False,False,False,False,False,0.05513933757702175
rumodernbert,label,1,3118.0,,0.038629290671863825,-0.012782641479318676,0.0012828736369467607,1481.0,,0.1358670261833849,-0.01143016041520446,-0.018906144496961513,9155.0,,0.12505570594923582,0.003973854830588256,0.004696886947023485,False,False,True,False,False,False,0.038629290671863825
minilm,numeric_ram_storage_state,conflict,41.0,-0.25,0.036277053981110606,0.013853377420717862,0.024390243902439025,,,,,,,,,,,False,False,False,False,False,False,0.036277053981110606
rumodernbert,category,Спорт и отдых,624.0,0.013171792099133106,0.03156803532253104,-0.01034606445113567,0.004807692307692308,300.0,-0.01218267000083828,0.08512103936316896,-0.016773891748550037,-0.016666666666666666,,,,,,False,False,False,False,False,False,0.03156803532253104
minilm,numeric_power_state,one_missing,268.0,-0.0224362507451632,0.020503616952422588,0.004149811930679491,0.026119402985074626,108.0,0.06473803658655403,0.07417163396698515,0.03851834993191813,0.05555555555555555,4946.0,0.24335955299445444,-0.015769586169270582,-0.007813384335582636,-0.005458956732713303,False,True,False,False,False,False,0.020503616952422588
minilm,numeric_power_state,match,259.0,0.023127433493023708,0.018043028542685732,0.005004327422305474,0.0,151.0,-0.013417701854323394,0.039921301530006406,0.0043497588956248265,0.006622516556291391,4365.0,-0.0034379930544625736,-0.01390851184637063,-0.008975536116470346,-0.0013745704467353953,True,False,False,False,False,False,0.018043028542685732
rumodernbert,numeric_power_state,one_missing,268.0,-0.031803015824274694,0.017784592029558212,-0.009677396434144883,-0.0037313432835820895,108.0,0.018629957002808173,0.03150054612345319,-0.005046231010325115,-0.018518518518518517,4946.0,0.2479874580965652,0.014386258078590834,-0.015432445740433093,0.000606550748079256,False,False,False,False,False,False,0.017784592029558212
rumodernbert,numeric_ram_storage_state,one_missing,155.0,0.008664021164021207,0.017474146051216943,-0.011417931921671206,0.0,93.0,-0.0267857142857143,0.061670125680002734,0.004041699316447741,0.0,42.0,0.08500264886628517,0.09831865405297593,0.01454130954447291,0.023809523809523808,False,False,False,False,False,False,0.017474146051216943
rumodernbert,numeric_primary_conflict,ram_storage,173.0,-0.012861104037574567,0.01723461552750468,-0.002977234987687384,0.005780346820809248,45.0,0.011714975845410619,0.23161068858233197,0.04378460041350789,0.13333333333333333,,,,,,False,False,False,False,False,False,0.01723461552750468
