similarity,left_category,left_concept,left_attribute_role,left_value_family,right_concept,right_attribute_role,right_value_family,manual_same_attribute,manual_notes
0.9927945137023926,Музыкальные инструменты,cymbal_type,тип | тип тарелки,text,cymbal_type,вид тарелки | тип,text,,
0.9118363857269287,Галантерея и аксессуары,packaging,упаковка,text,packaging,доп. опции зонта | упаковка,text,,
0.9555075168609619,Строительство и ремонт,thickness,длина. мм,length,thickness,толщина мм | толщина. мм,length,,
0.8854732513427734,Автотовары,compatible_car_brand,марка тс,text,compatible_car_brand,марка автомобиля | страна-изготовитель,text,,
0.9256393909454346,Электроника,processor_model,бренд процессора | процессор,numeric,processor_model,модель процессора | процессор,numeric,,
0.9715980887413025,Строительство и ремонт,max_voltage,макс. напряжение. в | напряжение работы. в вольтах,numeric,max_voltage,макс. напряжение. в | максимальное рабочее напряжение,numeric,,
0.939658522605896,Строительство и ремонт,heating_area_m2,отапливаемая площадь | рекомендуемая площадь. м,numeric,heating_area,площадь обогрева конвектора | рекомендуемая площадь. м,numeric,,
0.9820413589477539,Ювелирные изделия,material_finish,состав ювелирного изделия,text,material_finish,покрытие | состав ювелирного изделия,text,,
0.9121339917182922,Товары для животных,type,тип | тип товара,text,type,состав наполнителя | тип,text,,
0.9621233940124512,Детские товары,model,артикул производителя,identifier,model,артикул | артикул производителя,identifier,,
0.9178467988967896,Электроника,ssd_capacity,общий объем накопителей ssd,data,ssd_capacity,общий объем накопителей ssd | суммарный объем всех дисков. гб,data,,
0.9339125752449036,Продукты питания,package_count,единиц в одном товаре | комплектация,count,package_count,единиц в одном товаре | количество предметов в упаковке,count,,
0.9587116837501526,Продукты питания,spice_type,вид специи / пряности,text,spice_variety,вид специи / пряности | форма выпуска специи и пряности,text,,
0.8334580659866333,Товары для животных,size,размер,volume,size,размер одежды,volume,,
0.9448678493499756,Детские товары,package_dimensions,особенности | упаковка,length,package_dimensions,длина упаковки | тип,length,,
0.8928759098052979,Строительство и ремонт,bowl_length,глубина. см | длина чаши,length,bowl_height,высота чаши см | высота чаши. см,length,,
0.9110338091850281,Бытовая химия,form,состав | тип средства,text,form,особенности,text,,
0.9203175902366638,Аптека,product_color,название цвета | цвет товара,text,color_description,цвет товара,text,,
0.8568198680877686,Галантерея и аксессуары,movement_type,особенности часов | тип часов,text,movement_type,источник энергии | функции часов,text,,
0.876976490020752,Мебель,filling_material,материал наполнителя | особенности,text,filler_material,дополнительная информация | материал наполнителя,text,,
0.9672043323516846,Канцелярские товары,thickness,комплектация | толщина обложки. мм,length,thickness,толщина обложки. мм,length,,
0.9586203098297119,Дом и сад,scent_type,аромат,text,scent_description,аромат,text,,
0.976775050163269,Мебель,leg_count,количество ножек | количество тумб,count,leg_count,количество ножек | особенности,count,,
0.9703332185745239,Ювелирные изделия,diamond_description,бриллиант | форма вставки,numeric,diamond_details,бриллиант | форма вставки,numeric,,
0.9944995045661926,Электроника,cable_length,длина кабеля | длина. м,length,cable_length,длина кабеля. м | длина. см,length,,
0.8717544078826904,Дом и сад,country,страна | страна-изготовитель,count,origin_country,страна производства | страна-изготовитель,count,,
0.9815496802330017,Хобби и творчество,diameter,диаметр спиц. мм | диаметр. мм,length,diameter,диаметр спиц. мм | диаметр спицы,length,,
0.8261154890060425,Спорт и отдых,package_contents,комплектация | конструктивные особенности,count,package_contents,карманы | комплектация,count,,
0.8714789152145386,Дом и сад,power,мощность. вт | номинальная мощность,power,max_power,максимальная мощность | мощность. вт,power,,
0.8801530003547668,Дом и сад,fabric_density,из названия товара,numeric,fabric_density,плотность ткани. г/кв.м | плотность ткани. г/м2,numeric,,
0.9739053845405579,Детские товары,child_gender,для кого | пол ребенка,text,child_gender,пол | пол ребенка,text,,
0.8080981969833374,Канцелярские товары,usage,назначение маркера,text,marker_purpose,назначение маркера,text,,
0.9882605075836182,Детские товары,height,высота игрушки. см | ширина предмета,length,height,высота игрушки. см | размеры дхшхв,length,,
0.8007931113243103,Продукты питания,origin_region,из названия товара,text,origin,состав,text,,
0.9549676775932312,Дом и сад,country_of_origin,страна | страна-изготовитель,count,country_of_origin,страна производства,count,,
0.9683014750480652,Бытовая химия,volume_unit,объем л | объем. мл,volume,volume_unit,объем товара | объем. мл,volume,,
0.9130682945251465,Канцелярские товары,format,формат листов | формат/размеры,length,format,формат листов,length,,
0.8688188791275024,Канцелярские товары,dimensions,размер картины | размеры. мм,numeric,size,размер скоб,numeric,,
0.9473262429237366,Электроника,max_read_speed,максимальная скорость чтения | скорость чтения. мб/с,numeric,read_speed,скорость чтения | скорость чтения. мб/с,numeric,,
0.9762976765632629,Строительство и ремонт,mounting_type,способ крепления,text,mounting_type,вид крепления | крепление,text,,
0.9438196420669556,Дом и сад,width,размер пакета. см | ширина. в сантиметрах,length,width,диаметр дна. см | ширина упаковки,length,,
0.8528264164924622,Галантерея и аксессуары,volume,объем главного отделения. л | объем. л,volume,volume,объем л,volume,,
0.9106292724609375,Продукты питания,ingredients,вид смеси | вкус и добавки,text,ingredients,содержит | состав,text,,
0.9695435166358948,Красота и гигиена,package_quantity,единиц в одном товаре | штук в упаковке,count,package_quantity,единиц в одном товаре | количество в упаковке. шт.,count,,
0.8851808309555054,Продукты питания,heat_level,состав | степень остроты,text,heat_level,острота соуса | степень остроты,text,,
0.9757455587387085,Мебель,color_name,цвет покрытия | цвет товара,text,color_name,цвет товара | цветовая палитра,text,,
0.9627261757850647,Хобби и творчество,weight,вес товара. г | размеры дхш,mass,weight,вес товара. г | масса,mass,,
0.9226080775260925,Электроника,hdd_size,конфигурация | объем hdd. в гб,data,hdd_size,объем hdd. в гб | тип накопителя,data,,
0.9848390221595764,Продукты питания,storage_temperature_max,максимальная температура | минимальная температура хранения,data,storage_temperature,максимальная температура хранения | минимальная температура,data,,
0.9849501252174377,Спорт и отдых,weight,вес | вес. г,mass,weight,вес. в граммах | вес. г,mass,,
0.8495385646820068,Бытовая химия,target_audience,для кого,text,target_audience,эффект средства,text,,
0.9277713298797607,Аптека,package_unit_type,количество пар в упаковке,count,package_unit,количество пар в упаковке,count,,
0.8769640922546387,Галантерея и аксессуары,model,вид обложки | модель,text,model,модель | тип,text,,
0.8326258659362793,Продукты питания,form,тип | форма выпуска специй/приправ,text,form_factor,форма выпуска специй/приправ,text,,
0.8902865648269653,Детские товары,package_quantity,количество в одной упаковке. шт | количество в упаковке,count,package_quantity,количество предметов в наборе | комплектация,count,,
0.8497733473777771,Бытовая химия,target_surface,назначение моющего. чистящего средства | область применения автохимии,text,target_surface,назначение моющего. чистящего средства | область применения,text,,
0.9324788451194763,Продукты питания,nutrition_type,особенности напитков. продуктов питания | тип питания,text,dietary_features,особенности | особенности напитков. продуктов питания,text,,
0.9363853335380554,Мебель,storage_box,ящики для белья,data,storage_boxes,бельевой ящик | ящики для белья,data,,
0.8974907994270325,Красота и гигиена,volume,вес товара. г,volume,volume_weight,вес товара. г | объем товара,volume,,
0.914172351360321,Канцелярские товары,package_quantity,дополнительная информация | количество заводских упаковок,count,package_quantity,количество блоков | количество заводских упаковок,count,,
0.9219331741333008,Аптека,width,размеры. мм | ширина,length,total_width,общая ширина оправы. в миллиметрах | размеры. мм,length,,
0.8893990516662598,Электроника,connector_type,выходной коннектор | разъемы,length,connector_type,из названия товара,length,,
0.9301724433898926,Электроника,package_quantity,количество в упаковке. шт | количество стекол в комплекте,count,package_quantity,количество предметов в упаковке | комплектация,count,,
0.9749775528907776,Спорт и отдых,weight,вес кг | вес. г,mass,weight,вес самоката. кг | вес. кг,mass,,
0.8896327018737793,Дом и сад,material,материал | состав набора для творчества,text,material,вид искусства | материал,text,,
0.922938883304596,Строительство и ремонт,quantity,количество,count,quantity,количество предметов,count,,
0.8672107458114624,Канцелярские товары,cover_type,обложка,text,cover_type,крепление в бумажной продукции | обложка,text,,
0.9377188682556152,Электроника,processor_model,модель | модель процессора,numeric,processor_model,конфигурация | процессор,numeric,,
0.9441534876823425,Ювелирные изделия,main_stone_weight,вес основных вставок. карат | количество карат,mass,stone_weight_details,вес основных вставок. карат | вставка подробнее,mass,,
0.9799156188964844,Хобби и творчество,material,материал | материал звеньев,text,material,материал | переплет,text,,
0.9742304086685181,Бытовая химия,effect,особенности применения | эффект,text,effect,особенности применения | эффект средства,text,,
