similarity,left_category,left_concept,left_attribute_role,left_value_family,right_concept,right_attribute_role,right_value_family,manual_same_attribute,manual_notes
0.9393660426139832,Музыкальные инструменты,product_scope,из названия товара,text,instrument_type,из названия товара,text,,
0.9311196208000183,Автотовары,volume,объем. л,numeric,diameter_specification,из названия товара,numeric,,
0.9078598022460938,Бытовая химия,product_code,из названия товара,numeric,kit_composition,комплектация,numeric,,
0.9823419451713562,Дом и сад,length,длина | длина. м,length,length,длина гирлянды. м | длина предмета,length,,
0.8503121137619019,Детские товары,article_number,артикул | артикул lego,numeric,model_number,из названия товара,numeric,,
0.9759893417358398,Красота и гигиена,product_form,из названия товара,text,design,из названия товара,text,,
0.7658373713493347,Электроника,speed_class,класс скорости,numeric,compatibility,оригинальность расходника,numeric,,
0.9961724877357483,Канцелярские товары,color,цвет | цвет чернил,text,color,цвет | цвет товара,text,,
0.8055451512336731,Товары для животных,power_consumption,мощность устройства | потребляемая мощность. вт,numeric,sku,артикул | артикул производителя,numeric,,
0.9865843653678894,Музыкальные инструменты,instrument_type,комплектация,text,instrument_type,тип | тип инструмента,text,,
0.9658020734786987,Канцелярские товары,quantity,количество цветов шт.,count,quantity,единиц в одном товаре | цвет товара,count,,
0.9153329133987427,Хобби и творчество,age_rating,возрастное ограничение | целевая аудитория,numeric,age_limit,возраст ребенка | минимальный возраст,numeric,,
0.9962600469589233,Строительство и ремонт,weight,вес | вес товара. г,mass,weight,вес брутто | вес товара. г,mass,,
0.9489426016807556,Строительство и ремонт,fastener_type,тип заклепок,text,type,комплектация | тип,text,,
0.9244893789291382,Музыкальные инструменты,string_note,из названия товара,numeric,diameter,из названия товара,numeric,,
0.9711448550224304,Бытовая химия,country_of_origin,страна бренда | страна-изготовитель,text,country_of_origin,страна | страна-изготовитель,text,,
0.9869523644447327,Музыкальные инструменты,color,комплектация,text,color,материал оплетки | цвет товара,text,,
0.8904315233230591,Бытовая химия,target_fabric_color,из названия товара,text,target_fabric,назначение стирального средства,text,,
0.9750450849533081,Строительство и ремонт,quantity,количество предметов в упаковке,count,quantity,единиц в одном товаре | количество розеток комб. розетка,count,,
0.9955885410308838,Спорт и отдых,material,материал | материал удилища,text,material,материал изделия,text,,
0.9872329235076904,Детские товары,min_age,минимальный возраст ребенка | минимальный рекомендуемый возраст,numeric,age_min,возрастные ограничения | минимальный возраст ребенка,numeric,,
0.9656758308410645,Бытовая химия,package_count,единиц в одном товаре | количество упаковок,count,package_quantity,единиц в одном товаре,count,,
0.9856882095336914,Красота и гигиена,length_mm,длина ресниц. мм,numeric,length,длина ресниц | длина ресниц. мм,numeric,,
0.9318994879722595,Дом и сад,volume,объем бака опрыскивателя | объем. л,volume,volume,объем контейнера для детского питания,volume,,
0.9556676149368286,Канцелярские товары,line_width,толщина линии. мм,length,line_thickness,толщина линии письма | толщина линии. мм,length,,
0.8967771530151367,Канцелярские товары,line_thickness,толщина линии письма | толщина линии. мм,length,thickness,из названия товара,length,,
0.8813444972038269,Строительство и ремонт,color_name,из названия товара,numeric,fitting_type,из названия товара,numeric,,
0.9716498851776123,Музыкальные инструменты,type,из названия товара,text,product_form,из названия товара,text,,
0.8841210603713989,Спорт и отдых,pump_type,тип,text,product_subtype,тип | тип аксессуаров,text,,
0.7966510057449341,Электроника,page_yield_unit,ресурс,text,component_type,из названия товара,text,,
0.7653931975364685,Красота и гигиена,spf_factor,spf-фактор,numeric,thickness,толщина ресниц. мм,numeric,,
0.9887419939041138,Хобби и творчество,color,цвет ленты | цвет товара,text,color,цвет производителя | цвет товара,text,,
0.9726881384849548,Спорт и отдых,weight,вес. г,mass,weight,максимальная нагрузка,mass,,
0.84443199634552,Автотовары,model_series,серия,text,compatible_model,из названия товара,text,,
