threshold,target_label,candidate_centers_before_dedup,representative_rules,cross_split_rules,median_weighted_support,median_target_probability
0.65,0,1833,340,232,40.11439570784569,0.8641470565655293
0.65,1,220,78,49,14.230910807847977,0.8533028981009916
0.7,0,1833,341,233,40.05581170320511,0.8644961117280398
0.7,1,222,80,51,14.230910807847977,0.8545057379976362
0.75,0,1823,342,237,40.11439570784569,0.8641470565655293
0.75,1,226,84,53,13.68247640132904,0.8545057379976362
0.8,0,1812,346,239,37.3837816119194,0.8669687774853312
0.8,1,246,85,54,14.51128739118576,0.8523586670225708
0.85,0,1793,354,239,33.39501640200615,0.8661152219231241
0.85,1,286,101,63,9.96377146244049,0.8547643468158598
